string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string
11812,jup_daily_ch_p2_weapon_kills_ar,a&CHALLENGE/P2_WEAPON_KILLS_AR,a&CHALLENGE/P2_WEAPON_KILLS_AR_DESC,20,2500,,2,,,,,1,,
11813,jup_daily_ch_p2_weapon_kills_ar_hs,a&CHALLENGE/P2_WEAPON_KILLS_AR_HS,a&CHALLENGE/P2_WEAPON_KILLS_AR_HS_DESC,5,2500,,2,,,,,2,,
11814,jup_daily_ch_p2_weapon_kills_smg,a&CHALLENGE/P2_WEAPON_KILLS_SMG,a&CHALLENGE/P2_WEAPON_KILLS_SMG_DESC,20,2500,,2,,,,,3,,
11815,jup_daily_ch_p2_weapon_kills_smg_hs,a&CHALLENGE/P2_WEAPON_KILLS_SMG_HS,a&CHALLENGE/P2_WEAPON_KILLS_SMG_HS_DESC,5,2500,,2,,,,,4,,
11816,jup_daily_ch_p2_weapon_kills_sh,a&CHALLENGE/P2_WEAPON_KILLS_SH,a&CHALLENGE/P2_WEAPON_KILLS_SH_DESC,7,2500,,2,,,,,5,,
11817,jup_daily_ch_p2_weapon_kills_pistol,a&CHALLENGE/P2_WEAPON_KILLS_PISTOL,a&CHALLENGE/P2_WEAPON_KILLS_PISTOL_DESC,5,2500,,2,,,,,6,,
11818,jup_daily_ch_p2_weapon_kills_pistol_hs,a&CHALLENGE/P2_WEAPON_KILLS_PISTOL_HS,a&CHALLENGE/P2_WEAPON_KILLS_PISTOL_HS_DESC,2,2500,,2,,,,,7,,
11819,jup_daily_ch_p2_weapon_kills_sniper,a&CHALLENGE/P2_WEAPON_KILLS_SNIPER,a&CHALLENGE/P2_WEAPON_KILLS_SNIPER_DESC,7,2500,,2,,,,,8,,
11820,jup_daily_ch_p2_weapon_kills_sniper_hs,a&CHALLENGE/P2_WEAPON_KILLS_SNIPER_HS,a&CHALLENGE/P2_WEAPON_KILLS_SNIPER_HS_DESC,3,2500,,2,,,,,9,,
11821,jup_daily_ch_p2_weapon_kills_battle_rifle,a&CHALLENGE/P2_WEAPON_KILLS_BATTLE_RIFLE,a&CHALLENGE/P2_WEAPON_KILLS_BATTLE_RIFLE_DESC,7,2500,,2,,,,,10,,
11822,jup_daily_ch_p2_weapon_kills_battle_rifle_hs,a&CHALLENGE/P2_WEAPON_KILLS_BATTLE_RIFLE_HS,a&CHALLENGE/P2_WEAPON_KILLS_BATTLE_RIFLE_HS_DESC,3,2500,,2,,,,,11,,
11823,jup_daily_ch_p2_weapon_kills_launcher,a&CHALLENGE/P2_WEAPON_KILLS_LAUNCHER,a&CHALLENGE/P2_WEAPON_KILLS_LAUNCHER_DESC,2,2500,,2,,,,,12,,
11824,jup_daily_ch_p2_weapon_kills_lm,a&CHALLENGE/P2_WEAPON_KILLS_LM,a&CHALLENGE/P2_WEAPON_KILLS_LM_DESC,10,2500,,2,,,,,13,,
11825,jup_daily_ch_p2_weapon_kills_lm_hs,a&CHALLENGE/P2_WEAPON_KILLS_LM_HS,a&CHALLENGE/P2_WEAPON_KILLS_LM_HS_DESC,3,2500,,2,,,,,14,,
11826,jup_daily_ch_p2_weapon_kills_dmr,a&CHALLENGE/P2_WEAPON_KILLS_DMR,a&CHALLENGE/P2_WEAPON_KILLS_DMR_DESC,7,2500,,2,,,,,15,,
11827,jup_daily_ch_p2_weapon_kills_dmr_hs,a&CHALLENGE/P2_WEAPON_KILLS_DMR_HS,a&CHALLENGE/P2_WEAPON_KILLS_DMR_HS_DESC,3,2500,,2,,,,,16,,
11869,jup_daily_ch_p3_fieldupgrade_respawn_using_tactical_insertion,a&CHALLENGE/P3_FIELDUPGRADE_RESPAWN_USING_TACTICAL_INSERTION,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_RESPAWN_USING_TACTICAL_INSERTION_DESC,3,2500,,3,,,,,1,,
11874,jup_daily_ch_p3_fieldupgrade_provide_ammo_resupplies,a&CHALLENGE/P3_FIELDUPRADE_PROVIDE_AMMO_RESUPPLIES,a&CHALLENGE/P3_FIELDUPGRADE_PROVIDE_AMMO_RESUPPLIES_DESC,5,2500,,3,,,,,2,,
11920,jup_daily_ch_p3_fieldupgrade_objectives_capture_bot,a&CHALLENGE/P3_FIELDUPGRADE_OBJECTIVES_CAPTURE_BOT,a&CHALLENGE/P3_FIELDUPGRADE_OBJECTIVES_CAPTURE_BOT_DESC,6,2500,,3,,,,,3,,
11902,jup_daily_ch_p3_fieldupgrade_ddos_hits,a&CHALLENGE/P3_FIELDUPGRADE_DDOS_HITS,a&CHALLENGE/P3_FIELDUPGRADE_DDOS_HITS_DESC,4,2500,,3,,,,,4,,
14510,jup_daily_ch_p3_fieldupgrade_use_field_equipment,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_USE_FIELD_UPGRADE,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_USE_FIELD_UPGRADE_DESC,5,2500,,3,,,,,5,,
14516,jup_daily_ch_p3_lethals_kills_frag,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_FRAG,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_FRAG_DESC,2,2500,,3,,,,,6,,
14517,jup_daily_ch_p3_lethals_kills_semtex,a&CHALLENGE/P3_LETHALS_KILLS_SEMTEX,a&CHALLENGE/P3_LETHALS_KILLS_SEMTEX_DESC,2,2500,,3,,,,,7,,
14518,jup_daily_ch_p3_lethals_kills_claymore,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_CLAYMORE,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_CLAYMORE_DESC,2,2500,,3,,,,,8,,
14520,jup_daily_ch_p3_lethals_kills_throwing_knife,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_THROWING_KNIFE,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_THROWING_KNIFE_DESC,2,2500,,3,,,,,9,,
14521,jup_daily_ch_p3_lethals_kills_drill_charge,a&CHALLENGE/P3_LETHALS_KILLS_DRILL_CHARGE,a&CHALLENGE/P3_LETHALS_KILLS_DRILL_CHARGE_DESC,2,2500,,3,,,,,10,,
14523,jup_daily_ch_p3_lethals_kills_c4,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_C4,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_C4_DESC,2,2500,,3,,,,,11,,
11828,jup_daily_ch_p3_tacticals_blind_flash_grenade,a&CHALLENGE/DAILY_P3_TACTICALS_BLIND_FLASH_GRENADE,a&CHALLENGE/DAILY_P3_TACTICALS_BLIND_FLASH_GRENADE_DESC,2,2500,,3,,,,,12,,
14526,jup_daily_ch_p3_tacticals_injure_gas_grenade,a&CHALLENGE/DAILY_P3_TACTICALS_INJURE_GAS_GRENADE,a&CHALLENGE/DAILY_P3_TACTICALS_INJURE_GAS_GRENADE_DESC,5,2500,,3,,,,,13,,
14528,jup_daily_ch_p3_tacticals_spot_tracker_grenade,a&CHALLENGE/P6_SPECIALIZED_SPOT_TRACKER_GRENADE,a&CHALLENGE/P6_SPECIALIZED_SPOT_TRACKER_GRENADE_DESC,2,2500,,3,,,,,14,,
14531,jup_daily_ch_p3_tacticals_butterfly_mine_hits,a&CHALLENGE/P6_SPECIALIZED_BUTTERFLY_MINE_HITS,a&CHALLENGE/P6_SPECIALIZED_BUTTERFLY_MINE_HITS_DESC,3,2500,,3,,,,,15,,
14533,jup_daily_ch_p3_lethals_kills_breacher_drone,a&CHALLENGE/P6_SPECIALIZED_KILLS_BREACHER_DRONE,a&CHALLENGE/P6_SPECIALIZED_KILLS_BREACHER_DRONE_DESC,2,2500,,3,,,,,16,,
11906,jup_daily_ch_p3_fieldupgrade_heals_with_med_crate,a&CHALLENGE/P3_FIELDUPGRADE_HEALS_WITH_MED_CRATE,a&CHALLENGE/P3_FIELDUPGRADE_HEALS_WITH_MED_CRATE_DESC,3,2500,,3,,,,,17,,
14536,jup_daily_ch_p3_lethals_kills_thermobaric,a&CHALLENGE/P6_SPECIALIZED_KILLS_THERMOBARIC,a&CHALLENGE/P6_SPECIALIZED_KILLS_THERMOBARIC_DESC,2,2500,,3,,,,,18,,
14538,jup_daily_ch_p3_lethals_kills_thermite,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_THERMITE,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_THERMITE_DESC,2,2500,,3,,,,,19,,
14540,jup_daily_ch_p3_tacticals_syringe_heals,a&CHALLENGE/P6_SPECIALIZED_SYRINGE_HEALS,a&CHALLENGE/P6_SPECIALIZED_SYRINGE_HEALS_DESC,5,2500,,3,,,,,20,,
14542,jup_daily_ch_p3_lethals_kills_cooked_grenade,a&CHALLENGE/P6_SPECIALIZED_KILLS_COOKED_GRENADE,a&CHALLENGE/P6_SPECIALIZED_KILLS_COOKED_GRENADE_DESC,2,2500,,3,,,,,21,,
21716,jup_daily_mp_ch_bonus,a&,a&,1,,,4,,,,,1,,
