string,string,string,string,string,string,string
121,location_of_power,%s,,,,
122,turning_on_the_power,,int,,,
123,door_location,%s,,,,
124,cost_of_door,%i,,,,
125,opening_the_doors,,int,,,
126,challenge_name,%s,,,,
127,challenge_activated,,int,,,
128,challenge_time,%i,,,,
129,challenge_completed,,int,,,
130,atm_used,,int,,,
131,portal_location,%s,,,,
132,portal_used,,int,,,
133,crafted_item_type,%s,,,,
134,souvenir_coin_dropped,,int,,,
135,weapon_purchase_location,%s,,,,
136,waves_with_weapon,%i,,,,
137,weapon_kills,%i,,,,
138,weapon_downs,%i,,,,
139,new_weapon,%s,,,,
140,old_weapon,%s,,,,
141,purchasing_weapon,,int,,,
142,times_items_picked,%i,,,,
143,times_items_timed_out,%i,,,,
144,times_lostandfound_used,%i,,,,
145,lost_and_found,,int,,,
146,card_name,%s,,,,
147,faf_card_used,,int,,,
148,times_weapon_upgraded,%i,,,,
149,upgraded_weapon,%s,,,,
150,pack_a_punch_used,,int,,,
151,souvenir_coin_type,%s,,,,
152,souvenir_coin_used,,int,,,
153,item_kills,%i,,,,
154,time_item_lasted,%i,,,,
155,crafted_item_placed,,int,,,
156,interaction_name,%s,,,,
157,status_flag,%i,,,,
158,interaction_status,,int,,,
159,perk_name,%s,,,,
160,perk_machine_used,,int,,,
161,revived_another_player,%i,int,,short,
162,returned_perk,%s,,,,
163,perk_returned,,int,,,
164,minigame_name,%s,,,,
165,afterlife_status,%i,,,,
166,number_of_tickets_earned,%i,,,,
167,number_of_times_per_wave,%i,,,,
168,finished_mini_game,,int,,,
169,pillage_bag_type,%s,,,,
170,item_picked,%s,,,,
171,item_ignored,%s,,,,
172,item_uses,%i,,,,
173,item_kills,%i,,,,
174,pillage_event,,int,,,
175,faf_card_refill,,int,,,
176,item_name,%s,,,,
177,item_replaced,,int,,,
180,item_purchase_with_tickets,,int,,,
181,wave_num_head_pickup,%i,,,,
182,wave_num_head_placed,%i,,,,
183,neil_head,,int,,,
184,wave_num_battery_pickup,%i,,,,
185,wave_num_battery_placed,%i,,,,
186,neil_battery,,int,,,
187,wave_num_floppy_pickup,%i,,,,
188,wave_num_floppy_placed,%i,,,,
189,neil_floppy,,int,,,
190,wave_num_balloons_popped,%i,,,,
191,balloons_popped,,int,,,
192,wave_num_shooting_icemonster,%i,,,,
193,shot_icemonster,,int,,,
194,wave_num_ghost_spelled,%i,,,,
195,ghost_spelled,,int,,,
196,wave_num_1984_kills,%i,,,,
197,1984_kills,,int,,,
198,wave_num_beating_arcade_games,%i,,,,
199,beating_arcade_games,,int,,,
200,wave_num_brute_hits_cabinet,%i,,,,
201,brute_hits_cabinet,,int,,,
202,wave_num_activate_enter_ghostskulls_game,%i,,,,
203,activate_enter_ghostskulls_game,,int,,,
204,wave_num_ghost_skulls,%i,,,,
205,game_complete_status,%i,,,,
206,time_spent_in_area,%i,,,,
207,player_exits_ghostskulls_games,,int,,,
208,total_xp_value,%i,,,,
209,xp_earned,,int,,,
210,progress_percentage,%i,,,,
211,failure_count,%i,,,,
212,challenge_failed,,int,,,
213,wave_num_frequency_device_collected,%i,,,,
214,device_location,%s,,,,
215,frequency_device_collected,,int,,,
216,wave_num_frequency_device_crafted,%i,,,,
217,craft_location,%s,,,,
218,frequency_device_crafted_dj,,int,,,
219,wave_num_defence_sequence_end,%i,,,,
220,defence_end_location,%s,,,,
221,defence_sequence_duration,%s,,,,
222,remaining_health_speaker,%i,,,,
223,speaker_defence_sequence_ends,,int,,,
224,wave_num_tone_sequence_activated,%i,,,,
225,tone_sequence_activated,,int,,,
226,wave_num_suicide_bomber_sequence_activated,%i,,,,
227,suicide_bomber_sequence_activated,,int,,,
228,wave_num_grey_sequence_activated,%i,,,,
229,grey_sequence_activated,,int,,,
230,wave_num_UFO_destroyed,%i,,,,
231,ufo_destroyed,,int,,,
232,item_replaced_name,%s,,,,
233,transaction_id,%i,,,,
234,currency_earned,,int,,int,
235,part_name,%s,,,,
236,shots_hit_counter,%i,,,,
237,shots_on_target,,int,,,
238,purchasing_for_a_team_door,,int,,,
239,wave_num_hidden_song_one,%i,,,,
240,wave_num_hidden_song_two,%i,,,,
241,hidden_song_one_discovered,,int,,,
242,hidden_song_two_discovered,,int,,,
243,wave_num_facemelter,%i,,,,
244,wave_num_headcutter,%i,,,,
245,wave_num_dischord,%i,,,,
246,wave_num_shredder,%i,,,,
247,crafted_wor_facemelter,,int,,,
248,crafted_wor_headcutter,,int,,,
249,crafted_wor_dischord,,int,,,
250,crafted_wor_shredder,,int,,,
251,wave_num_pink_ark,%i,,,,
252,pink_ark_obtained,,int,,,
