string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,localized_a,localized_a,string,string,string,string,string,string,localized_a,localized_a,localized_a,localized_a,localized_a
11,vault_assault_rooftop,a&CP_DWN_TWN_OBJECTIVES/ROOF,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
12,vault_assault_rooftop_heli,a&CP_DWN_TWN_OBJECTIVES/ROOF_HELI,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
13,vault_assault_rooftop_call_exfil,a&CP_DWN_TWN_OBJECTIVES/CALL_EXFIL,a&,0,primary,icon_waypoint_objective_general,vault_assault_rooftop,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
14,vault_assault_rooftop_defend,a&CP_DWN_TWN_OBJECTIVES/ROOF_DEFEND,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
15,vault_assault_rooftop_exfil,a&CP_DWN_TWN_OBJECTIVES/ROOF_EXFIL,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
16,event_convoy_start,a&CP_DWN_TWN_OBJECTIVES/EVENT_CONVOY_START,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
17,event_convoy_tires_0,a&CP_CONVOYS/TIRES_0,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
18,event_convoy_tires_1,a&CP_CONVOYS/TIRES_1,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
19,event_convoy_tires_2,a&CP_CONVOYS/TIRES_2,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
20,event_convoy_tires_3,a&CP_CONVOYS/TIRES_3,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
21,event_convoy_nitrate,a&CP_CONVOYS/EXTRACT_NITRATE,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
22,ml_p2_get_heli,a&CP_DWN_TWN_OBJECTIVES/OBJ_ML_P2_HELI,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
23,ml_p2_observe,a&CP_DWN_TWN_OBJECTIVES/OBJ_ML_P2_1,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
24,ml_p2_call_contact,a&CP_DWN_TWN_OBJECTIVES/OBJ_ML_P2_2,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
25,ml_p2_follow_contact,a&CP_DWN_TWN_OBJECTIVES/OBJ_ML_P2_3,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
26,ml_p2_secure_loc,a&CP_DWN_TWN_OBJECTIVES/OBJ_ML_P2_4,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
27,ml_p2_interrogate,a&CP_DWN_TWN_OBJECTIVES/OBJ_ML_P2_INTERROGATE,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
28,ml_p1_intel,a&CP_DWN_TWN_OBJECTIVES/OBJ_ML_P1,a&,1,primary,icon_waypoint_objective_general,ml_p3_obj,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
29,ml_p3_intel,a&CP_DWN_TWN_OBJECTIVES/OBJ_ML_P3,a&,1,primary,icon_waypoint_objective_general,final_hack_spot,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
30,ml_p3_intel_2,a&CP_DWN_TWN_OBJECTIVES/OBJ_ML_P3,a&,0,primary,icon_waypoint_objective_general,final_hack_spot,targetname,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
31,ml_p3_intel_3,a&CP_DWN_TWN_OBJECTIVES/OBJ_ML_P3_3,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
32,obj_convoyescort,a&CP_DWN_TWN_OBJECTIVES/OBJ_ESCORT_CONVOY,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
33,safehouse,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE_SELECTMISSION,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE_SELECTMISSION,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
34,safehouse_mnu,a&CP_DWN_TWN_OBJECTIVES/SAFEHOUSE,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
35,rooftop_raid,a&CP_DWN_TWN_OBJECTIVES/ROOFTOP_RAID,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
36,rooftop_mortar,a&CP_DWN_TWN_OBJECTIVES/ROOFTOP_MORTAR_TEST,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
37,rooftop_fight,a&CP_DWN_TWN_OBJECTIVES/ROOFTOP_FIGHT,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
38,rooftop_raid_heli,a&CP_DWN_TWN_OBJECTIVES/ROOFTOP_RAID_HELI,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
39,reach_drop_zone,a&CP_INSIDE_OBJ/REACH_DZ,a&CP_INSIDE_OBJ/LABEL_DZ,1,primary,icon_waypoint_objective_general,reach_drop_zone,script_noteworthy,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
40,reach_lz,a&CP_INSIDE_OBJ/REACH_LZ,a&CP_INSIDE_OBJ/COLLECT_CORE,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&CP_INSIDE_OBJ/REACH_LZ,a&,a&,,,,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
41,morales_1,a&CP_BR_SYRK_OBJECTIVES/MORALES_1,a&CP_BR_SYRK_OBJECTIVES/FIND_MORALES,1,primary,icon_waypoint_objective_general,obj1_HVT_first_loc,script_noteworthy,,,,,,,,,,,,a&CP_BR_SYRK_OBJECTIVES/MORALES_2,a&CP_BR_SYRK_OBJECTIVES/MORALES_3,a&CP_BR_SYRK_OBJECTIVES/MORALES_4,,,,,cp_morales_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
42,morales_2,a&CP_BR_SYRK_OBJECTIVES/MORALES_2,a&CP_OBJECTIVES/HACK,1,primary,icon_waypoint_objective_general,obj1_HVT_laptop_loc,script_noteworthy,,,,,,,,,,1,,a&,a&,a&,,,,,cp_morales_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
43,morales_3,a&CP_BR_SYRK_OBJECTIVES/MORALES_3,a&CP_BR_SYRK_OBJECTIVES/FIND_MORALES,1,primary,icon_waypoint_objective_general,,,,,,,,,,,1,,a&,a&,a&,,,,,cp_morales_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
44,morales_4,a&CP_BR_SYRK_OBJECTIVES/MORALES_4,a&CP_BR_SYRK_OBJECTIVES/SIGNAL_EXFIL,1,primary,,,,,,,,,,,,1,,a&,a&,a&,,,,,cp_morales_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
45,morales_5,a&CP_BR_SYRK_OBJECTIVES/MORALES_5,a&CP_BR_SYRK_OBJECTIVES/DEFEND_POS,1,primary,icon_waypoint_objective_general,,,120,,,,,,,,1,1,a&,a&,a&,,,,,cp_morales_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
46,morales_6,a&CP_BR_SYRK_OBJECTIVES/MORALES_6,a&CP_BR_SYRK_OBJECTIVES/EXFIL_MORALES,1,primary,icon_waypoint_objective_general,obj1_HVT_rescue,script_noteworthy,,,,,,,,,,1,,a&,a&,a&,,,,,cp_morales_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
47,raid_coop_escort,a&GAME/VOTE_MAPRESTART,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,coop_escort_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
48,convoy4_securearea,a&CP_QUARRY2_OBJECTIVES/CONVOY4_SECURE,a&CP_QUARRY2_OBJECTIVES/SECURE_BUILDING,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
49,convoy4_disablecomms,a&CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS,a&CP_QUARRY2_OBJECTIVES/DISABLE_EQUIPMENT,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
50,convoy4_secure_tower,a&CP_QUARRY2_OBJECTIVES/CONVOY4_SECURE_TOWER,a&CP_QUARRY2_OBJECTIVES/SECURE_TOWER,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
51,convoy4_switches_0,a&CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS_0,a&,0,,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
