string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
saba_lone,portAuthority,8,15,23,1,1,3,ru,,,,,,,,
saba_lone,orphan,4,8,15,1,1,3,ru,,,,,,,,
saba_sira,football,10,15,22,1,0,3,ru,,2,0,1,,,,
saba_sira,coastline,8,13,20,1,0,3,ru,,,,,,,,
saba_sira,village,10,15,25,1,2,3,ru,,,,,,,,
saba_sira,downtown,8,15,22,2,2,3,ru,,,,,,,,
saba_sira,mall,11,18,26,3,2,3,ru,,,,,,,,
saba_sira,promenade,8,15,22,1,0,3,ru,,,,,,,,
saba_sira,orphan,0,6,10,1,0,3,ru,,,,,,,,
saba_cemetery,compound,4,8,12,1,1,3,ru,,1,1,1,,,,
saba_cemetery,keeper,2,6,14,1,1,3,ru,,,,,,,,
saba_cemetery,tombstones,4,8,14,1,1,3,ru,,,,,,,,
saba_cemetery,village,4,8,14,1,1,3,ru,,,,,,,,
saba_cemetery,villagesub7,4,8,14,1,1,3,ru,,,,,,,,
saba_cemetery,orphan,0,5,12,1,1,3,ru,,,,,,,,
saba_oasis,oilRuins,4,6,8,1,0,3,ru,,1,0,0,,,,
saba_oasis,pondRuins,4,6,8,1,0,3,ru,,,,,,,,
saba_oasis,ponds,3,6,8,1,0,3,ru,,,,,,,,
saba_oasis,orphan,0,4,8,1,1,3,ru,,,,,,,,
saba_oasis,tombs,4,8,10,2,1,3,ru,,,,,,,,
saba_sunken,shipwreck,6,12,20,1,0,3,ru,,2,0,1,,,,
saba_sunken,underWaterVillage,8,20,30,1,1,3,ru,,,,,,,,
saba_sunken,landVillageWest,7,15,25,1,0,3,ru,,,,,,,,
saba_sunken,landVillageEast,8,12,22,1,0,3,ru,,,,,,,,
saba_sunken,orphan,4,8,12,1,2,3,ru,,,,,,,,
saba_fishtwn,fishburbs,6,10,16,1,0,3,ru,,2,0,1,,,,
saba_fishtwn,westfish,6,10,15,2,1,3,ru,,,,,,,,
saba_fishtwn,eastfish,6,12,18,2,1,3,ru,,,,,,,,
saba_fishtwn,fishpalms,4,8,15,1,0,3,ru,,,,,,,,
saba_fishtwn,fishlight,6,10,17,1,0,3,ru,,,,,,,,
saba_fishtwn,fishhotel,6,10,18,1,1,3,ru,,,,,,,,
saba_fishtwn,fishresort,6,10,17,1,1,3,ru,,,,,,,,
saba_fishtwn,fishmarket,6,10,18,1,0,3,ru,,,,,,,,
saba_fishtwn,fishmarina,4,8,15,1,0,3,ru,,,,,,,,
saba_fishtwn,fishrestaurant,4,10,18,1,0,3,ru,,,,,,,,
saba_fishtwn,fishandchips,4,10,18,1,0,3,ru,,,,,,,,
saba_fishtwn,orphan,0,4,5,1,0,3,ru,,,,,,,,
saba_airport,terminal,10,20,26,3,1,3,ru,,1,1,1,,,,
saba_airport,tarmac,5,10,20,1,0,3,ru,,,,,,,,
saba_airport,garage,10,12,20,2,1,3,ru,,,,,,,,
saba_airport,gates,6,10,18,1,1,3,ru,,,,,,,,
saba_airport,tower,5,20,30,2,0,3,ru,,,,,,,,
saba_airport,orphan,4,6,16,1,0,3,ru,,,,,,,,
saba_oldtwn,oldtwnPalace,6,12,18,3,1,3,ru,,3,1,1,,,,
saba_oldtwn,eastgateHotel,6,18,25,2,1,3,ru,,,,,,,,
saba_oldtwn,westgateDepot,4,12,18,1,0,3,ru,,,,,,,,
saba_oldtwn,oldtwnFarms,8,12,20,1,1,3,ru,,,,,,,,
saba_oldtwn,oldtwnVillage,6,13,18,1,1,3,ru,,,,,,,,
saba_oldtwn,southgateVillas,8,15,22,1,1,3,ru,,,,,,,,
saba_oldtwn,oldtwnSpice,8,15,22,2,0,4,ru,,,,,,,,
saba_oldtwn,orphan,8,14,16,1,0,2,ru,,,,,,,,
saba_wartorn,cityRuins,10,22,30,1,0,2,ru,,1,1,1,,,,
saba_wartorn,outpost,10,18,25,1,1,2,ru,,,,,,,,
saba_wartorn,oilRuins,8,18,25,1,1,2,ru,,,,,,,,
saba_wartorn,scrapyard,8,12,22,1,1,2,ru,,,,,,,,
saba_wartorn,orphan,6,10,16,1,0,2,ru,,,,,,,,
saba_observatory,facultyHousing,8,9,14,1,1,3,ru,,,,,,,,
saba_observatory,eastTelescope,3,6,13,2,0,3,ru,,3,1,1,,,,
saba_observatory,researchCenter,4,8,12,3,1,3,ru,,,,,,,,
saba_observatory,observeEntrance,5,9,13,2,0,3,ru,,,,,,,,
saba_observatory,northTelescope,8,14,19,3,0,3,ru,,,,,,,,
saba_observatory,westTelescope,4,8,14,2,0,3,ru,,,,,,,,
saba_observatory,southTelescope,4,8,14,2,0,3,ru,,,,,,,,
saba_observatory,studentHousing,4,5,9,1,1,3,ru,,,,,,,,
saba_observatory,orphan,4,8,10,1,0,3,ru,,,,,,,,
saba_moderncity,warehouseDistrict,10,20,28,1,0,7,ru,,,,,,,,
saba_moderncity,eastDistrict,10,20,28,1,1,7,ru,,2,1,2,,,,
saba_moderncity,westDistrict,10,20,28,1,0,7,ru,,,,,,,,
saba_moderncity,centralDistrict,8,10,20,3,1,10,ru,,,,,,,,
saba_moderncity,southDistrict,10,20,30,2,0,6,ru,,,,,,,,
saba_moderncity,bridgeDistrict,10,20,30,2,1,6,ru,,,,,,,,
saba_moderncity,parkDistrict,10,20,30,1,0,6,ru,,,,,,,,
saba_moderncity,upperWestDistrict,10,20,30,1,1,6,ru,,,,,,,,
saba_moderncity,eastGas,5,10,16,2,0,6,ru,,,,,,,,
saba_moderncity,warehouseGas,10,15,25,1,1,6,ru,,,,,,,,
saba_moderncity,academyDistrict,10,15,25,1,0,6,ru,,,,,,,,
saba_moderncity,northWarehouseDistrict,8,15,20,1,1,6,ru,,,,,,,,
saba_moderncity,embassyDistrict,10,20,26,2,0,6,ru,,,,,,,,
saba_moderncity,streets,10,20,30,1,1,6,ru,,,,,,,,
saba_moderncity,orphan,0,6,12,1,0,2,ru,,,,,,,,
saba_marshland,slum,8,17,22,1,0,2,ru,,,,,,,,
saba_marshland,resort,12,26,34,3,1,4,ru,,2,1,1,,,,
saba_marshland,policeStation,6,15,25,2,1,3,ru,,,,,,,,
saba_marshland,storage,8,20,30,1,0,4,ru,,,,,,,,
saba_marshland,westriverVillage,9,17,22,1,0,3,ru,,,,,,,,
saba_marshland,eastriverVillage,8,19,26,1,0,3,ru,,,,,,,,
saba_marshland,fobhill,2,8,15,2,0,2,ru,,,,,,,,
saba_marshland,orphan,0,20,25,1,0,4,ru,,,,,,,,
saba_mtntwn,northlakeVillage,8,15,25,1,0,4,ru,,,,,,,,
saba_mtntwn,mtnlakeVillage,6,15,25,2,1,2,ru,,3,1,1,,,,
saba_mtntwn,zenithVillage,9,25,35,3,0,3,ru,,,,,,,,
saba_mtntwn,steppeVillage,6,15,25,1,1,2,ru,,,,,,,,
saba_mtntwn,eastslopeVillage,5,25,25,1,0,2,ru,,,,,,,,
saba_mtntwn,orphan,4,6,8,1,0,2,ru,,,,,,,,
saba_suburbs_01,orphan,4,10,15,1,0,2,ru,,,,,,,,
saba_suburbs_01,roadsideShopping,4,15,20,1,1,2,ru,,,,,,,,
saba_suburbs_03,orphan,7,13,18,1,1,2,ru,,,,,,,,
saba_suburbs_03,roadsideVillage,12,19,28,1,1,3,ru,,,,,,,,
saba_suburbs_03,roadsideHotel,9,15,22,1,0,3,ru,,,,,,,,
saba_suburbs_04,orphan,9,27,35,1,1,4,ru,,,,,,,,
saba_suburbs_05,orphan,10,16,21,1,1,4,ru,,,,,,,,
saba_suburbs_06,orphan,9,15,22,1,1,2,ru,,,,,,,,
saba_suburbs_06,beachstrip,9,15,22,1,1,2,ru,,,,,,,,
saba_suburb_09,orphan,8,16,25,1,1,3,ru,,,,,,,,
saba_suburbs_11,orphan,9,15,22,1,1,2,ru,,,,,,,,
saba_suburbs_12,orphan,9,12,18,1,1,3,ru,,,,,,,,
saba_suburbs_12,lefttracks,9,12,18,1,1,3,ru,,,,,,,,
saba_suburbs_12,righttracks,9,12,18,1,1,3,ru,,,,,,,,
saba_suburbs_13,orphan,9,14,26,1,1,3,ru,,,,,,,,
saba_suburbs_14,orphan,9,14,19,2,1,3,ru,,,,,,,,
saba_suburbs_14,heights,8,10,15,1,1,2,ru,,,,,,,,
saba_suburbs_14,deathcaves,8,10,15,3,1,2,ru,,,,,,,,
saba_S5Reveal,orphan,100,110,120,2,0,15,ru,,,,,,,,
tieroverride_police,,,,,3,,,ru,,,,,,,,
tieroverride_military,,,,,2,,,ru,,,,,,,,
minVehicleSpawns,veh9_pwc,10,,,,,,,,,,,,,,
