string,string,localized_a,string,string,string,string
50,max_ammo,a&COOP_GAME_PLAY/AMMO_MAX,0,,,
51,max_grenades,a&COOP_GAME_PLAY/GRENADE_MAX,0,,,
52,max_armor,a&COOP_GAME_PLAY/ARMOR_MAX,0,,,
54,ascender_blocked_jugg,a&MP/ASCENDER_BLOCKED_JUGG,0,,,
55,ascender_blocked_laststand,a&MP/ASCENDER_BLOCKED_LASTSTAND,0,,,
111,super_disabled,a&MP/CANNOT_USE_GENERIC,,,,
128,invalid_attachment,a&COOP_GAME_PLAY/INVALID_ATTACHMENT,0,,,
129,drop_core,a&COOP_GAME_PLAY/DROP_CORE,0,,,duration_none
130,cant_pick_jugg,a&CP_STRIKE/MINIGUN_CANNOT_BE_PICKED_UP,0,,,
131,duplicate_attachment,a&COOP_GAME_PLAY/DUPLICATE_ATTACHMENT,0,,,
132,cant_use_with_weapon,a&CP_STRIKE/CANNOT_WITH_THIS_WEAPON,0,,,
133,revive_teammates_fail,a&LUA_MENU_CP/TEAM_AUTO_REVIVE_DESC,0,,,
134,drop_time_bomb,a&COOP_GAME_PLAY/DROP_TIMED_BOMB,0,,,
135,arm_time_bomb,a&COOP_GAME_PLAY/ARM_TIMED_BOMB,0,,,
136,stow_time_bomb,a&COOP_GAME_PLAY/STOW_TIMED_BOMB,0,,,
110,sam_damage,a&CP_MISSION_ESC/SAM_DAMAGE,0,,,
137,push_object,a&CP_RAID1_BOSS1/PUSH_HINT,0,,,
138,push_object_blocked,a&CP_RAID1_BOSS1/PUSH_BLOCKED,0,,,
139,move_crane,a&CP_RAID1_BOSS1/MOVE_CRANE,0,,,
140,push_object_jammed,a&CP_RAID1_BOSS1/PUSH_JAMMED,0,,,
141,crane_locked,a&CP_RAID1_BOSS1/CRANE_LOCKED,0,,,
142,cant_use_yet,a&COOP_GAME_PLAY/CANT_USE_YET,0,,,
143,full_inventory,a&COOP_GAME_PLAY/INVENTORY_FULL,0,,,
144,cant_use_outside_water,a&EQUIPMENT/OXYGENMASK_STATE_UNUSABLE,0,,,
145,tutorial_munitions,a&COOP_GAME_PLAY/USE_MUNITION_NAG,0,,,
146,oxygentank_ready,a&EQUIPMENT/OXYGENMASK_STATE_UNDERWATER,0,,,
147,cant_use_while_sprintswim,a&EQUIPMENT/OXYGENMASK_STATE_UNUSABLE_SPRINTSWIM,0,,,
148,cant_refill_again,a&EQUIPMENT/CANNOT_REFILL_AGAIN,0,,,
149,revived_by_stim_pistol,a&EQUIPMENT/REVIVED_BY_STIM_PISTOL,0,,,
150,player_can_spawn_here,a&CP_HOSTAGE_OBJ/SPAWN_LABEL_1,0,,,
151,player_will_spawn_here,a&CP_HOSTAGE_OBJ/SPAWN_LABEL_2,0,,,
152,cant_use_loadout_crate_again,a&EQUIPMENT/CANNOT_GRAB_LOADOUT_AGAIN,0,,,
153,cant_use_kit_select_again,a&EQUIPMENT/CANNOT_GRAB_KIT_SELECT_AGAIN,0,,,
154,defuse_blocked,a&COOP_GAME_PLAY/BLOCKED_DEFUSE,0,,,
155,drop_warhead,a&COOP_GAME_PLAY/DROP_WARHEAD,0,,,
156,backpack_full,a&MP_BR_INGAME/BACKPACK_FULL,0,,,
