string,string,string,string,string,string,string,string
saba_oldtwn,westgateDepot,8,12,14,1,1,1
saba_oldtwn,oldtwnFarms,8,8,10,1,1,1
saba_oldtwn,oldtwnVillage,12,14,16,1,1,1
saba_oldtwn,southgateVillas,10,14,16,1,1,1
saba_oldtwn,oldtwnSpice,12,15,18,2,1,1
saba_oldtwn,orphan,10,14,16,1,1,1
saba_wartorn,cityRuins,10,12,14,1,1,1
saba_wartorn,outpost,10,12,14,1,1,1
saba_wartorn,oilRuins,12,14,16,1,1,1
saba_wartorn,scrapyard,8,8,10,1,1,1
saba_wartorn,orphan,8,8,10,1,1,1
saba_observatory,facultyHousing,4,8,10,1,1,1
saba_observatory,eastTelescope,4,8,10,2,1,1
saba_observatory,researchCenter,4,8,10,3,1,1
saba_observatory,observeEntrance,4,8,10,1,1,1
saba_observatory,northTelescope,4,8,20,3,1,1
saba_observatory,westTelescope,4,8,10,1,1,1
saba_observatory,southTelescope,4,8,10,2,1,1
saba_observatory,studentHousing,4,8,10,1,1,1
saba_observatory,orphan,4,8,10,1,1,1
saba_moderncity,warehouseDistrict,8,15,25,1,1,1
saba_moderncity,eastDistrict,8,15,25,1,1,1
saba_moderncity,westDistrict,8,15,25,1,1,1
saba_moderncity,centralDistrict,20,30,40,1,1,1
saba_moderncity,southDistrict,8,15,25,1,1,1
saba_moderncity,orphan,0,6,12,1,1,1
saba_marshland,slum,7,6,9,1,1,1
saba_marshland,resort,6,8,16,3,1,1
saba_marshland,policeStation,6,7,14,2,1,1
saba_marshland,storage,8,8,18,1,1,1
saba_marshland,westriverVillage,6,6,12,1,1,1
saba_marshland,eastriverVillage,7,7,14,1,1,1
saba_marshland,orphan,0,20,20,1,1,1
saba_mtntwn,northlakeVillage,3,8,18,1,1,1
saba_mtntwn,mtnlakeVillage,4,6,12,2,1,1
saba_mtntwn,zenithVillage,4,9,18,3,1,1
saba_mtntwn,steppeVillage,4,6,12,1,1,1
saba_mtntwn,eastslopeVillage,4,10,18,1,1,1
saba_mtntwn,orphan,0,6,8,1,1,1
saba_suburbs_10,orphan,0,0,7,1,1,1
saba_suburbs_11,orphan,0,0,7,1,1,1
saba_suburbs_12,orphan,0,0,7,1,1,1
saba_suburbs_13,orphan,0,0,7,1,1,1
saba_suburbs_14,orphan,0,0,7,1,1,1
saba_suburbs_01,orphan,0,5,7,1,1,1
saba_suburbs_01,roadsideShopping,0,5,10,1,1,1
saba_suburbs_02,orphan,0,0,7,1,1,1
saba_suburbs_02,roadsideVillage,0,0,5,1,1,1
saba_suburbs_04,orphan,0,0,5,1,1,1
saba_suburbs_05,orphan,0,0,5,1,1,1
saba_suburbs_07,orphan,0,0,5,1,1,1
saba_suburb_09,orphan,0,0,5,1,1,1
saba_suburbs_11,orphan,0,0,5,1,1,1
saba_suburbs_08,orphan,0,0,5,1,1,1
saba_suburbs_06,orphan,0,0,5,1,1,1
saba_suburbs_03,orphan,0,0,7,1,1,1
saba_suburbs_03,roadsideHotel,0,0,5,1,1,1
