string,string,string,string,string,string,string,string,string,string,string
saba_fishtwn,fishmarina,4,8,9,1,0,3,,,
saba_fishtwn,fishrestaurant,4,10,11,1,0,3,,,
saba_fishtwn,fishandchips,4,10,11,1,0,3,,,
saba_fishtwn,orphan,0,4,5,1,0,3,,,
saba_airport,terminal,10,20,21,3,1,3,,,1
saba_airport,tarmac,5,10,11,1,0,3,,,
saba_airport,garage,10,12,13,2,1,3,,,
saba_airport,gates,6,10,11,1,1,3,,,
saba_airport,tower,5,20,21,2,0,3,,,
saba_airport,orphan,4,6,7,1,0,3,,,
saba_oldtwn,oldtwnPalace,6,12,13,3,1,3,,,3
saba_oldtwn,eastgateHotel,6,18,19,2,1,3,,,
saba_oldtwn,westgateDepot,4,12,13,1,0,3,,,
saba_oldtwn,oldtwnFarms,8,12,13,1,1,3,,,
saba_oldtwn,oldtwnVillage,6,13,14,1,1,3,,,
saba_oldtwn,southgateVillas,8,15,16,1,1,3,,,
saba_oldtwn,oldtwnSpice,8,15,16,2,0,4,,,
saba_oldtwn,orphan,8,14,15,1,0,2,,,
saba_wartorn,cityRuins,10,22,23,1,0,2,,,1
saba_wartorn,outpost,10,18,19,1,1,2,,,
saba_wartorn,oilRuins,8,18,19,1,1,2,,,
saba_wartorn,oasis,0,6,7,1,0,2,,,
saba_wartorn,scrapyard,8,12,13,1,1,2,,,
saba_wartorn,orphan,4,8,9,1,0,2,,,
saba_observatory,facultyHousing,4,9,10,1,1,3,,,3
saba_observatory,eastTelescope,4,8,9,2,0,3,,,
saba_observatory,researchCenter,4,8,9,3,1,3,,,
saba_observatory,observeEntrance,4,8,9,2,0,3,,,
saba_observatory,northTelescope,4,10,11,3,0,3,,,
saba_observatory,westTelescope,4,8,9,2,0,3,,,
saba_observatory,southTelescope,4,8,9,2,0,3,,,
saba_observatory,studentHousing,4,8,9,1,1,3,,,
saba_observatory,orphan,4,8,9,1,0,3,,,
saba_moderncity,warehouseDistrict,8,15,16,1,2,7,,,2
saba_moderncity,eastDistrict,10,15,16,1,2,7,,,
saba_moderncity,westDistrict,10,20,21,1,2,7,,,
saba_moderncity,centralDistrict,8,10,11,3,2,10,,,
saba_moderncity,southDistrict,10,20,21,2,2,6,,,
saba_moderncity,bridgeDistrict,10,20,21,2,2,6,,,
saba_moderncity,parkDistrict,10,20,21,1,2,6,,,
saba_moderncity,upperWestDistrict,10,20,21,1,2,6,,,
saba_moderncity,eastGas,5,10,11,2,2,6,,,
saba_moderncity,warehouseGas,10,15,16,1,2,6,,,
saba_moderncity,academyDistrict,1,2,3,1,2,6,,,
saba_moderncity,northWarehouseDistrict,8,15,16,1,2,6,,,
saba_moderncity,embassyDistrict,10,15,16,2,2,6,,,
saba_moderncity,streets,10,20,21,1,2,6,,,
saba_moderncity,orphan,0,6,7,1,0,2,,,
saba_marshland,slum,7,15,16,1,0,2,,,2
saba_marshland,resort,6,15,16,3,1,4,,,
saba_marshland,policeStation,6,15,16,2,1,3,,,
saba_marshland,storage,8,20,21,1,0,4,,,
saba_marshland,westriverVillage,6,15,16,1,0,3,,,
saba_marshland,eastriverVillage,7,15,16,1,0,3,,,
saba_marshland,fobhill,2,8,9,2,0,2,,,
saba_marshland,orphan,0,20,21,1,0,4,,,
saba_mtntwn,northlakeVillage,8,15,16,1,0,4,,,3
saba_mtntwn,mtnlakeVillage,6,15,16,2,1,2,,,
saba_mtntwn,zenithVillage,9,25,26,3,0,3,,,
saba_mtntwn,steppeVillage,6,15,16,1,1,2,,,
saba_mtntwn,eastslopeVillage,5,12,13,1,0,2,,,
saba_mtntwn,orphan,4,6,7,1,0,2,,,
saba_suburbs_01,orphan,4,10,11,1,0,2,,,
saba_suburbs_01,roadsideShopping,4,15,16,1,1,2,,,
saba_suburbs_03,orphan,7,13,14,1,1,2,,,
saba_suburbs_03,roadsideVillage,12,19,20,1,1,3,,,
saba_suburbs_03,roadsideHotel,9,15,16,1,0,3,,,
saba_suburbs_04,orphan,9,27,28,1,1,4,,,
saba_suburbs_05,orphan,10,16,17,1,1,4,,,
saba_suburbs_06,orphan,9,15,16,1,1,2,,,
saba_suburbs_06,beachstrip,9,15,16,1,1,2,,,
saba_suburb_09,orphan,8,16,17,1,1,3,,,
saba_suburbs_11,orphan,9,15,16,1,1,2,,,
saba_suburbs_12,orphan,9,12,13,1,1,3,,,
saba_suburbs_12,lefttracks,9,12,13,1,1,3,,,
saba_suburbs_12,righttracks,9,12,13,1,1,3,,,
saba_suburbs_13,orphan,9,14,15,1,1,3,,,
saba_suburbs_14,orphan,9,14,15,2,1,3,,,
saba_suburbs_14,heights,8,10,11,1,1,2,,,
saba_suburbs_14,deathcaves,8,10,11,3,1,2,,,
tieroverride_police,,,,,3,,,,,
tieroverride_military,,,,,2,,,,,
minVehicleSpawns,veh9_pwc,10,,,,,,,,
