string,string,string,string,string,localized_a,localized_a,string,string,localized_a,string,string,string,int,string
15,autoDrone,killstreak,auto_drone,330,a&KILLSTREAKS/AUTO_DRONE,a&KILLSTREAKS/AUTO_DRONE_DESC,hud_icon_killstreak_auto_drone,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,,,0,
16,charlie725Leg,weapon,brloot_weapon_sh_charlie725_lege,999,a&WEAPON/SH_CHARLIE725_V24,a&WEAPON/SH_CHARLIE725_V24,icon_weapon_sh_charlie725,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,1057,,0,
17,chopperGunner,killstreak,chopper_gunner,400,a&KILLSTREAKS/CHOPPER_GUNNER,a&KILLSTREAKS/CHOPPER_GUNNER_DESC,hud_icon_killstreak_chopper_gunner,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,,,0,
18,circlePick,special,circle_pick,200,a&MP_BR_INGAME/KIOSK_ITEM_CIRCLE,a&MP_BR_INGAME/KIOSK_ITEM_CIRCLE_DESC,ui_mp_br_mission_reward_circle,1,a&MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,30,,,0,
19,clusterSpike,killstreak,cluster_spike,330,a&KILLSTREAKS/CLUSTER_SPIKE,a&KILLSTREAKS/CLUSTER_SPIKE_DESC,hud_icon_killstreak_clusterspike,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,9161,,0,
20,cp_sentry,special,cp_sentry,200,a&LUA_MENU_MP/RISK_SENTRY_TURRET,a&LUA_MENU_MP/RISK_SENTRY_TURRET_DESC,hud_icon_minimap_killstreak_sentry,1,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,,,0,
21,cranked,special,cranked,200,a&LUA_MENU/CRANKED,a&MP_INGAME_ONLY/KIOSK_ITEM_CRANKED_DESC,hud_icon_cranked,1,a&MP_INGAME_ONLY/ITEM_TYPE_HEALTH,30,,,0,
22,cruisePredator,killstreak,cruise_predator,575,a&KILLSTREAKS/CRUISE_PREDATOR,a&KILLSTREAKS/CRUISE_PREDATOR_DESC,hud_icon_killstreak_cruise_missile,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,,,0,
23,customLoadout,loadout_custom,loadout_custom,800,a&,a&,,,a&,30,,,0,
24,defArmorT1,special,defense_spawn_armor_tier_1,200,a&LUA_MENU_MP/UPGRADE_DEF_ARMOR_T1,a&LUA_MENU_MP/UPGRADE_DEF_ARMOR_T1_DESC,hud_icon_loot_armor_plate,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
25,defArmorT2,special,defense_spawn_armor_tier_2,200,a&LUA_MENU_MP/UPGRADE_DEF_ARMOR_T2,a&LUA_MENU_MP/UPGRADE_DEF_ARMOR_T2_DESC,hud_icon_loot_armor_plate,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
26,defaultLoadout,loadout_default,loadout_default,800,a&,a&,,,a&,30,,,0,
27,defPlateT1,special,defense_spawn_plate_tier_1,200,a&LUA_MENU_MP/UPGRADE_DEF_PLATE_T1,a&LUA_MENU_MP/UPGRADE_DEF_PLATE_T1_DESC,hud_icon_loot_armor_plate,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
28,defPlateT2,special,defense_spawn_plate_tier_2,200,a&LUA_MENU_MP/UPGRADE_DEF_PLATE_T2,a&LUA_MENU_MP/UPGRADE_DEF_PLATE_T2_DESC,hud_icon_loot_armor_plate,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
29,deployMinefield,special,deploy_minefield,200,a&LUA_MENU_MP/RISK_MINEFIELD,a&LUA_MENU_MP/RISK_MINEFIELD_DESC,ui_mp_br_loot_icon_truckwar_redeploy,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
30,directionalUAV,killstreak,directional_uav,480,a&KILLSTREAKS/DIRECTIONAL_UAV,a&KILLSTREAKS/DIRECTIONAL_UAV_DESC,hud_icon_killstreak_auav,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,9179,,0,
31,dom_gulag_key,special,loot_key_gulag,200,a&MP_BR_INGAME/GULAG_KEY_NAME,a&MP_BR_INGAME/GULAG_KEY_DESC,hud_icon_loot_key_fortress,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,8457,,0,
32,fuelAirstrike,killstreak,fuel_airstrike,400,a&KILLSTREAKS/FUEL_AIRSTRIKE,a&KILLSTREAKS/FUEL_AIRSTRIKE_DESC,hud_icon_killstreak_fuel_airstrike,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,,,0,
33,fulton,fieldupgrade,super_fulton,200,a&MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,a&MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,,1,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9227,,0,
34,gasMask,special,gas_mask,200,a&MP/BR_GASMASK,a&MP/BR_GASMASK_DESC,hud_icon_equipment_gas_mask,1,a&MP_BR_INGAME/ITEM_TYPE_GEAR,30,8400,,0,
35,gasMaskMobile,special,gas_mask_mobile,200,a&MP/BR_GASMASK,a&MP/BR_GASMASK_DESC,hud_icon_equipment_gas_mask,1,a&MP_BR_INGAME/ITEM_TYPE_GEAR,30,8400,,0,
36,gunshipStreak,killstreak,gunship,400,a&KILLSTREAKS/AC130,a&KILLSTREAKS/AC130_DESC,hud_icon_killstreak_gunship,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,,,0,
37,hoverJet,killstreak,hover_jet,400,a&KILLSTREAKS/HOVER_JET,a&KILLSTREAKS/HOVER_JET_DESC,hud_icon_killstreak_hover_jet,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,,,0,
38,jltvMgSpawn,special,veh9_jltv_mg,200,a&MP_BR_INGAME/JLTV_MG_SPAWN,a&MP_BR_INGAME/JLTV_MG_SPAWN_DESC,hud_icon_vehicle_jltv_mg,1,a&MP_BR_INGAME/ITEM_TYPE_VEHICLE,30,35266,,0,
39,juggStreak,killstreak,juggernaut,400,a&KILLSTREAKS/JUGGERNAUT,a&KILLSTREAKS/JUGGERNAUT_DESC,hud_icon_killstreak_juggernaut,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,9176,,0,
40,longerCaptureTime,special,longer_capture_time,200,a&LUA_MENU_MP/RISK_LONGER_CAPTURE,a&LUA_MENU_MP/RISK_LONGER_CAPTURE_DESC,ui_mp_br_loot_icon_truckwar_repair,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
41,mkilo3Comm,weapon,brloot_weapon_lm_mkilo3_comm,999,a&WEAPON/LM_MKILO3,a&WEAPON/LM_MKILO3,icon_weapon_lm_mkilo3,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,1053,,0,
42,mpapa7Leg,weapon,brloot_weapon_sm_mpapa7_lege,999,a&WEAPON/SM_MPAPA7_V21,a&WEAPON/SM_MPAPA7_V21,icon_weapon_sm_mpapa7,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,1037,,0,
43,pacSentry,killstreak,pac_sentry,400,a&KILLSTREAKS/PAC_SENTRY,a&KILLSTREAKS/PAC_SENTRY_DESC,hud_icon_killstreak_wheelson,4,a&MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,30,,,0,
44,precisionAirstrike,killstreak,precision_airstrike,400,a&KILLSTREAKS/PRECISION_AIRSTRIKE,a&KILLSTREAKS/PRECISION_AIRSTRIKE_DESC,hud_icon_killstreak_airstrike,4,a&MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,30,9171,,0,
45,reconDrone,fieldupgrade,super_recon_drone,200,a&SUPER_MP/RECON_DRONE,a&SUPER_MP/RECON_DRONE_DESC,hud_icon_fieldupgrade_drone_recon,1,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9236,,0,
46,redeploy,special,redeploy,200,a&MP_BR_INGAME/KIOSK_ITEM_REDEPLOY,a&MP_BR_INGAME/KIOSK_ITEM_REDEPLOY_DESC,hud_icon_loot_revive,1,a&MP_BR_INGAME/REDEPLOY,30,,,0,
47,researchUpgradeDefense,special,research_upgrade_defense,200,a&LUA_MENU_MP/UPGRADE_DEFENSE_STATION,a&LUA_MENU_MP/UPGRADE_DEFENSE_STATION_DESC,ui_mp_br_loot_icon_truckwar_radar,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
48,researchUpgradeUAV,special,research_upgrade_uav,200,a&LUA_MENU_MP/UPGRADE_UAV_STATION,a&LUA_MENU_MP/UPGRADE_UAV_STATION_DESC,ui_mp_br_loot_icon_truckwar_radar,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
49,researchUpgradeVehicle,special,research_upgrade_vehicle,200,a&LUA_MENU_MP/UPGRADE_VEHICLE_STATION,a&LUA_MENU_MP/UPGRADE_VEHICLE_STATION_DESC,ui_mp_br_loot_icon_truckwar_radar,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
50,respawnToken,special,respawn_token,200,a&MP_BR_INGAME/RESPAWN_TOKEN_DMZ,a&MP_BR_INGAME/KIOSK_ITEM_RESPAWN_TOKEN_DMZ_DESC,hud_icon_loot_revive,2,a&MP_BR_INGAME/RESPAWN,30,,,0,
51,reviveToken,special,self_revive_token,200,a&MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE,a&MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE_DESC,hud_icon_loot_revive,1,a&MP_BR_INGAME/ITEM_TYPE_LAST_STAND,30,8548,,0,
52,reviveTokenMobile,special,self_revive_token_mobile,200,a&MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE,a&MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE_DESC,hud_icon_loot_revive,1,a&MP_BR_INGAME/ITEM_TYPE_LAST_STAND,30,8548,,0,
53,riskTurret,special,risk_turret,200,a&LUA_MENU_MP/RISK_SENTRY_TURRET,a&LUA_MENU_MP/RISK_SENTRY_TURRET_DESC,ui_mp_br_loot_icon_truckwar_radar,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
54,romeo870Comm,weapon,brloot_weapon_sh_romeo870_comm,999,a&WEAPON/SH_ROMEO870,a&WEAPON/SH_ROMEO870,icon_weapon_sh_romeo870,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,37,,0,
55,sbetaLege,weapon,brloot_weapon_sn_sbeta_lege,999,a&WEAPON/SN_ALPHA50_V9,a&WEAPON/SN_ALPHA50_V9,ui_loot_weapon_sn_alpha50_v9,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,1062,,0,
56,scharlieLeg,weapon,brloot_weapon_ar_scharlie_rare,999,a&WEAPON/AR_SCHARLIE_V20,a&WEAPON/AR_SCHARLIE_V20,icon_weapon_ar_scharlie,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,1123,,0,
57,scramblerDrone,killstreak,scrambler_drone_guard,400,a&KILLSTREAKS/SCRAMBLER_DRONE,a&KILLSTREAKS/SCRAMBLER_DRONE_DESC,hud_icon_killstreak_cuav,4,a&MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,30,9170,,0,
58,skydiveRedeploy,special,skydive_redeploy,200,a&LUA_MENU_MP/RISK_SKYDIVE_REDEPLOY,a&LUA_MENU_MP/RISK_SKYDIVE_REDEPLOY_DESC,hud_icon_loot_revive,1,a&MP_BR_INGAME/REDEPLOY,30,,,0,
59,specialty_covert_ops,perk,specialty_covert_ops,150,a&PERKS/COVERT_OPS,a&PERKS/COVERT_OPS_DESC,iw9_icon_perk_covert_ops,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
60,specialty_eod,perk,specialty_eod,150,a&PERKS/EOD,a&PERKS/EOD_DESC,iw9_icon_perk_eod,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
61,specialty_extra_shrapnel,perk,specialty_extra_shrapnel,150,a&PERKS/SHRAPNEL,a&PERKS/SHRAPNEL_DESC,iw9_icon_perk_shrapnel,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
62,specialty_extra_tactical,perk,specialty_extra_tactical,150,a&PERKS/EXTRA_TACTICAL,a&PERKS/EXTRA_TACTICAL_DESC,iw9_icon_perk_extra_tactical,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
63,specialty_focus,perk,specialty_focus,150,a&PERKS/FOCUS,a&PERKS/FOCUS_DESC,iw9_icon_perk_focus,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
64,specialty_grenade_expert,perk,specialty_grenade_expert,150,a&PERKS/GRENADE_EXPERT,a&PERKS/GRENADE_EXPERT_DESC,iw9_icon_perk_pitcher,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
65,specialty_guerrilla,perk,specialty_guerrilla,150,a&PERKS/GUERRILLA,a&PERKS/GUERRILLA_DESC,iw9_icon_perk_guerilla,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
66,specialty_hardline,perk,specialty_hardline,150,a&PERKS/HARDLINE,a&PERKS/DESC_HARDLINE,iw9_icon_perk_hardline,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
67,specialty_heavy_metal,perk,specialty_heavy_metal,150,a&PERKS/HEAVY_METAL,a&PERKS/HEAVY_METAL_DESC,iw9_icon_perk_heavy_metal,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
68,specialty_huntmaster,perk,specialty_huntmaster,150,a&PERKS/HUNTMASTER,a&PERKS/HUNTMASTER_DESC,iw9_icon_perk_tracker,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
69,specialty_hustle,perk,specialty_hustle,150,a&PERKS/HUSTLE,a&PERKS/HUSTLE_DESC,iw9_icon_perk_hustle,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
70,specialty_quick_fix,perk,specialty_quick_fix,150,a&PERKS/QUICK_FIX,a&PERKS/QUICK_FIX_DESC,iw9_icon_perk_quick_fix,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
71,specialty_restock,perk,specialty_restock,150,a&PERKS/RESTOCK,a&PERKS/RESTOCK_DESC,iw9_icon_perk_restock,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
72,specialty_scavenger_plus,perk,specialty_scavenger_plus,150,a&PERKS/SCAVENGER,a&PERKS/DESC_SCAVENGER,iw9_icon_perk_scavenger,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
73,specialty_strategist,perk,specialty_strategist,150,a&PERKS/STRATEGIST,a&PERKS/STRATEGIST_DESC,icon_perk_slot_pointman_ui,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
74,specialty_surveillance,perk,specialty_surveillance,150,a&PERKS/SURVEILLANCE,a&PERKS/SURVEILLANCE_DESC,iw9_icon_perk_surveillance,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
75,specialty_tac_resist,perk,specialty_tac_resist,150,a&PERKS/TAC_RESIST,a&PERKS/TAC_RESIST_DESC,iw9_icon_perk_tac_resist,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
76,specialty_tactical_recon,perk,specialty_tactical_recon,150,a&PERKS/TACTICAL_RECON,a&PERKS/TACTICAL_RECON_DESC,iw9_icon_perk_tactical_recon,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
77,specialty_third_person,perk,specialty_third_person,150,a&PERKS/THIRD_PERSON,a&PERKS/THIRD_PERSON_DESC,icon_perk_slot_third_person_ui,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
78,specialty_tune_up,perk,specialty_tune_up,150,a&PERKS/TUNE_UP,a&PERKS/TUNE_UP_DESC,iw9_icon_perk_tune_up,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
79,specialty_warhead,perk,specialty_warhead,150,a&PERKS/WARHEAD,a&PERKS/WARHEAD_DESC,iw9_icon_perk_warhead,6,a&MP_INGAME_ONLY/ITEM_TYPE_PERK,30,,,0,
80,super_ammo_drop,fieldupgrade,super_ammo_drop,200,a&EQUIPMENT/AMMO_DROP,a&EQUIPMENT/AMMO_DROP_DESC,hud_icon_fieldupgrade_ammo_box,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9230,,0,
81,super_armor_drop,fieldupgrade,super_armor_drop,200,a&EQUIPMENT/ARMOR_DROP,a&EQUIPMENT/ARMOR_DROP_DESC,hud_icon_fieldupgrade_armor_box,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9224,,0,
82,super_balloon_extract,fieldupgrade,super_balloon_extract,200,a&SUPER_MP/BALLOON_EXTRACT,a&SUPER_MP/BR_BALLOON_EXTRACT_DESC,ui_mp_br_loot_icon_plunder_extract_balloon,1,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9240,,0,
83,super_battlerage,fieldupgrade,super_battlerage,290,a&EQUIPMENT/BATTLE_RAGE,a&EQUIPMENT/BATTLE_RAGE_DESC,hud_icon_fieldupgrade_battle_rage,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9254,,0,
84,super_blastshield_drop,fieldupgrade,super_blastshield_drop,165,a&SUPER_MP/BLASTSHIELD_DROP,a&SUPER_MP/BLASTSHIELD_DROP_DESC,hud_icon_equipment_blastshield_box,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,,,0,
85,super_deadsilence,fieldupgrade,super_deadsilence,290,a&SUPER_MP/DEADSILENCE,a&SUPER_MP/DEADSILENCE_DESC,hud_icon_fieldupgrade_deadsilence,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9250,,0,
86,super_emp_pulse,fieldupgrade,super_emp_pulse,200,a&SUPER_MP/DDOS,a&SUPER_MP/DDOS_DESC,hud_icon_fieldupgrade_emp,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9251,,0,
87,super_recon_drone,fieldupgrade,super_recon_drone,200,a&SUPER_MP/RECON_DRONE,a&SUPER_MP/RECON_DRONE_DESC,hud_icon_fieldupgrade_drone_recon,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9236,,0,
88,super_sonar_pulse,fieldupgrade,super_sonar_pulse,140,a&SUPER_MP/SONAR_PULSE,a&SUPER_MP/SONAR_PULSE_DESC,hud_icon_fieldupgrade_sonar_pulse,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9268,,0,
89,super_sound_veil,fieldupgrade,super_sound_veil,200,a&SUPER_MP/SOUND_VEIL,a&SUPER_MP/SOUND_VEIL_DESC,hud_icon_fieldupgrade_sound_veil,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9244,,0,
90,super_stimpistol,fieldupgrade,super_stimpistol,240,a&WEAPON/PI_STIMPISTOL,a&PERKS/PI_STIMPISTOL,hud_icon_fieldupgrade_stim_pistol,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9261,,0,
91,super_suppression_rounds,fieldupgrade,super_suppression_rounds,240,a&SUPER_MP/SUPPRESSION_ROUNDS,a&SUPER_MP/SUPPRESSION_ROUNDS_DESC,hud_icon_fieldupgrade_apr,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9243,,0,
92,super_tac_camera,fieldupgrade,super_tac_camera,165,a&EQUIPMENT/TAC_CAMERA,a&EQUIPMENT/TAC_CAMERA_DESC,hud_icon_fieldupgrade_tac_cam,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9225,,0,
93,super_tac_cover,fieldupgrade,super_tac_cover,165,a&EQUIPMENT/TACTICAL_COVER,a&EQUIPMENT/TACTICAL_COVER_DESC,hud_icon_equipment_tac_cover,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9269,,0,
94,super_tac_insert,fieldupgrade,super_tac_insert,240,a&SUPER_MP/TAC_INSERT,a&SUPER_MP/TAC_INSERT_DESC,hud_icon_fieldupgrade_tac_insert,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,,,0,
95,super_trophy,fieldupgrade,super_trophy,165,a&EQUIPMENT/TROPHY,a&EQUIPMENT/TROPHY_DESC,hud_icon_fieldupgrade_trophy,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9238,,0,
96,super_weapon_drop,fieldupgrade,super_weapon_drop,200,a&SUPER_MP/WEAPON_DROP,a&SUPER_MP/WEAPON_DROP_DESC,hud_icon_fieldupgrade_weapon_drop,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,,,0,
97,supplyDrop,special,supply_drop,200,a&EQUIPMENT/ADVANCED_SUPPLY_DROP,a&EQUIPMENT/ADVANCED_SUPPLY_DROP_DESC,hud_icon_fieldupgrade_loadout_drop,1,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9231,,0,
98,supportBox,fieldupgrade,super_support_box,200,a&MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,a&MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,,3,a&LOOT_MP/ITEM_TYPE_AMMO,30,,,0,
99,tacInsert,fieldupgrade,super_tac_insert,240,a&MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,a&MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,,,0,
100,tacRover,vehicle,tac_rover,999,a&VEHICLES/TAC_ROVER,a&VEHICLES/TAC_ROVER_DESC,,5,a&MP_BR_INGAME/ITEM_TYPE_VEHICLE,30,,,0,
101,teamReviver,teamrevive,teamrevive,400,a&MP_BR_INGAME/KIOSK_ITEM_TEAM_REVIVE,a&MP_BR_INGAME/KIOSK_ITEM_TEAM_REVIVE_DESC,hud_icon_loot_revive,2,a&MP_BR_INGAME/REDEPLOY,30,16662,,0,
102,timerSkip,special,timer_skip,200,a&CP_WEAPON_BUY/SKIPTIMER,a&CP_WEAPON_BUY/SKIPTIMER_DESC,hud_icon_killstreak_death_switch,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
103,tomaStrike,killstreak,toma_strike,575,a&KILLSTREAKS/TOMA_STRIKE,a&KILLSTREAKS/TOMA_STRIKE_DESC,hud_icon_killstreak_mortar_strike,4,a&MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,30,9169,,0,
104,uavPing,special,uav_ping,200,a&LUA_MENU_MP/RISK_UAV_PING,a&LUA_MENU_MP/RISK_UAV_PING_DESC,ui_mp_br_loot_icon_truckwar_radar,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
105,uavPingDuration,special,uav_ping_duration,200,a&LUA_MENU_MP/UPGRADE_UAV_DURATION,a&LUA_MENU_MP/UPGRADE_UAV_DURATION_DESC,ui_mp_br_loot_icon_truckwar_radar,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
