string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,string
15,iw7_sonic,a&WEAPON/SONIC,a&PERKS/SHOTGUN_SONIC,render_weapon_slot_sonic_mp,weapon_shotgun,render_weapon_sonicshotgun_large,1,45,84,26,36,80,0,none,elo,reflex,none,phase,none,none,none,none,none,grip,none,xmags,none,none,barrelrange,silencer,smart,none,epicsonic,none,0,a&WEAPON/FEATURE_SONIC,pump_action_fire_mode,,FALSE,TRUE
16,iw7_sdfshotty,a&WEAPON/SDFSHOTTY,a&PERKS/SHOTGUN_SDFSHOTTY,render_weapon_slot_sdfshotty_mp,weapon_shotgun,render_weapon_autoshotgun_large,1,30,80,18,61,80,0,none,elo,reflex,none,phase,none,none,none,none,none,grip,none,xmags,none,none,barrelrange,silencer,smart,none,epicsdfshotty,none,0,a&MENU/NONE,full_auto_fire_mode,,FALSE,TRUE
17,iw7_m8,a&WEAPON/M8,a&PERKS/SNIPER_M8,render_weapon_slot_m8_mp,weapon_sniper,render_weapon_m8_large,1,87,75,90,48,65,0,acog,elo,none,none,none,thermal,none,oscope,vzscope,none,grip,none,xmags,none,reflect,none,silencer,none,cpu,epicm8,none,0,a&WEAPON/FEATURE_M8,semi_auto_fire_mode,full_auto_fire_mode,FALSE,TRUE
18,iw7_kbs,a&WEAPON/KBS,a&PERKS/SNIPER_KBS,render_weapon_slot_kbs_mp,weapon_sniper,render_weapon_kbs_large,1,82,86,90,33,58,0,acog,elo,none,none,none,thermal,none,oscope,vzscope,none,grip,none,xmags,none,none,none,silencer,none,cpu,epickbs,none,0,a&MENU/NONE,bolt_action_fire_mode,,FALSE,FALSE
19,iw7_sdflmg,a&WEAPON/SDFLMG,a&PERKS/LMG_SDFLMG,render_weapon_slot_sdflmg_mp,weapon_lmg,render_weapon_sdflmg_large,1,55,65,80,63,50,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,reflect,barrelrange,silencer,none,none,epicsdflmg,none,0,a&MENU/NONE,full_auto_fire_mode,,FALSE,TRUE
20,iw7_lmg03,a&WEAPON/LMG03,a&PERKS/LMG_LMG03,render_weapon_slot_lmg03_mp,weapon_lmg,render_weapon_lmg03_large,1,52,58,86,72,50,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,reflect,barrelrange,silencer,none,none,epiclmg03,none,0,a&MENU/NONE,full_auto_fire_mode,,FALSE,TRUE
21,iw7_steeldragon,a&WEAPON/STEELDRAGON,a&PERKS/SP_BEAM_STEELDRAGON,render_weapon_slot_steeldragon_mp_frontend,weapon_heavy,rig_super_steeldragon,1,95,30,35,100,30,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,a&WEAPON/FEATURE_STEELDRAGON,beam_fire_mode,,FALSE,TRUE
22,iw7_lockon,a&WEAPON/LOCKON,a&PERKS/SP_LAUNCHER_LOCKON_DESC,render_weapon_slot_lockon_mp,weapon_heavy,weapon_lockon_360,1,85,80,85,5,70,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,a&WEAPON/FEATURE_LOCKON,single_fire_mode,,FALSE,FALSE
23,iw7_mauler,a&WEAPON/MAULER,a&PERKS/LMG_MAULER,render_weapon_slot_mauler_mp,weapon_lmg,weapon_mauler_lrg,1,45,51,54,85,50,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,none,barrelrange,silencer,none,none,epicmauler,none,0,a&MENU/NONE,full_auto_fire_mode,,FALSE,FALSE
24,iw7_atomizer,a&WEAPON/ATOMIZER,a&PERKS/SP_ATOMIZER_DESC,render_weapon_slot_atomizer_mp_frontend,weapon_heavy,super_atomizer_sm,1,82,95,52,45,80,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,a&WEAPON/FEATURE_ATOMIZER,semi_auto_fire_mode,,FALSE,TRUE
25,iw7_chargeshot,a&WEAPON/CHARGESHOT,a&PERKS/SP_LAUNCHER_CHARGESHOT_DESC,render_weapon_slot_chargeshot_mp,weapon_heavy,render_weapon_chargeshot_large,1,80,86,80,10,70,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,a&WEAPON/FEATURE_CHARGESHOT,semi_auto_fire_mode,,FALSE,TRUE
26,iw7_penetrationrail,a&WEAPON/PENETRATIONRAIL,a&PERKS/SP_PENETRATOR_DESC,render_weapon_slot_penetrationrail_mp_frontend,weapon_heavy,weapon_railgun_sml,1,89,91,88,28,70,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,a&WEAPON/FEATURE_PENETRATIONRAIL,bolt_action_fire_mode,,FALSE,FALSE
27,iw7_m1,a&WEAPON/M1,a&PERKS/DMR_M1_CLASSIC,render_weapon_slot_m1c_mp,weapon_sniper,weapon_m1_360,1,80,78,82,44,65,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,a&MENU/NONE,bolt_action_fire_mode,,TRUE,FALSE
28,iw7_gambit,a&WEAPON/GAMBIT,a&WEAPON/GAMBIT_DESC,render_weapon_slot_sdfar_mp,weapon_assault,render_weapon_sdfar_large,1,80,72,80,62,70,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,reflect,barrelrange,silencer,none,none,epicsdfar,none,0,a&WEAPON/FEATURE_GAMBIT,burst_fire_mode_3_round,,TRUE,TRUE
29,iw7_repeater,a&WEAPON/REPEATER,a&WEAPON/REPEATER_DESC,render_weapon_slot_sdflmg_mp,weapon_lmg,render_weapon_sdflmg_large,1,45,70,78,68,60,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,reflect,barrelrange,silencer,none,none,epiclsdflmg,none,0,a&WEAPON/FEATURE_REPEATER,full_auto_fire_mode,,TRUE,TRUE
30,iw7_counterweight,a&WEAPON/COUNTERWEIGHT,a&WEAPON/COUNTERWEIGHT_DESC,render_weapon_slot_fhr_mp,weapon_smg,render_weapon_fhr40_large,1,40,42,54,86,80,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,none,barrelrange,silencer,none,none,epicfhr,none,0,a&WEAPON/COUNTERWEIGHT_FEATURE,full_auto_fire_mode,,TRUE,FALSE
31,iw7_ake_gold,a&WEAPON/AKE_GOLD,a&PERKS/AR_AKE,render_weapon_slot_ake_mpl,weapon_assault,render_weapon_ake_large,1,67,100,85,62,65,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,reflect,barrelrange,silencer,none,none,epicake,none,0,a&MENU/NONE,full_auto_fire_mode,,TRUE,TRUE
32,iw8_glock,a&WEAPON/IW8_GLOCK,a&PERKS/PISTOL_G18_CLASSIC,render_weapon_slot_g18c_mp,weapon_pistol,weapon_g18_360,1,74,55,62,77,80,0,none,elo,reflex,none,phase,none,none,none,none,akimbo,none,none,xmags,none,none,barrelrange,silencer,none,none,epicg18,none,0,a&MENU/NONE,semi_auto_fire_mode,,FALSE,FALSE
33,iw8_honeybadger,a&WEAPON/IW8_HONEYBADGER,a&PERKS/AR_ARCLASSIC,render_weapon_slot_arclassic_mp,weapon_assault,,-1,62,68,76,79,80,0,,,,,,,,,,,,,,,,,,,,,,,a&,,,,
34,iw8_intervention,a&WEAPON/IW8_INTERVENTION,a&PERKS/SNIPER_CHEYTAC_CLASSIC,render_weapon_slot_cheytacc_mp,weapon_sniper,,-1,85,86,90,34,80,0,acog,elo,none,none,none,thermal,none,oscope,vzscope,none,grip,none,xmags,none,none,none,silencer,none,cpu,epickbs,none,0,a&MENU/NONE,bolt_action_fire_mode,,FALSE,FALSE
35,iw7_ar58,a&WEAPON/AR57,a&PERKS/AR_AR57,render_weapon_slot_ar57_mp,weapon_assault,render_weapon_kbar_large,1,62,68,76,79,74,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,none,barrelrange,silencer,none,none,epicar57,none,0,a&MENU/NONE,full_auto_fire_mode,,FALSE,FALSE
36,iw8_mp5,a&WEAPON_MP5,a&PERKS/SMG_UMP45_CLASSIC,render_weapon_slot_ump45c_mp,weapon_smg,,-1,66,62,57,76,80,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,none,barrelrange,silencer,none,none,epicump45,none,0,a&MENU/NONE,full_auto_fire_mode,,FALSE,FALSE
37,iw8_ump45,a&WEAPON/IW8_UMP45,a&PERKS/SMG_UMP45_CLASSIC,render_weapon_slot_ump45c_mp,weapon_smg,,-1,66,62,57,76,80,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,none,barrelrange,silencer,none,none,epicump45,none,0,a&MENU/NONE,full_auto_fire_mode,,FALSE,FALSE
38,iw8_glock_swap,a&WEAPON/IW8_GLOCK,a&PERKS/PISTOL_G18_CLASSIC,render_weapon_slot_g18c_mp,weapon_pistol,weapon_g18_360,1,74,55,62,77,80,0,none,elo,reflex,none,phase,none,none,none,none,akimbo,none,none,xmags,none,none,barrelrange,silencer,none,none,epicg18,none,0,a&MENU/NONE,semi_auto_fire_mode,,FALSE,FALSE
39,iw8_intervention_swap,a&WEAPON/IW8_INTERVENTION,a&PERKS/SNIPER_CHEYTAC_CLASSIC,render_weapon_slot_cheytacc_mp,weapon_sniper,,-1,85,86,90,34,80,0,acog,elo,none,none,none,thermal,none,oscope,vzscope,none,grip,none,xmags,none,none,none,silencer,none,cpu,epickbs,none,0,a&MENU/NONE,bolt_action_fire_mode,,FALSE,FALSE
40,iw8_ump45_swap,a&WEAPON/IW8_UMP45,a&PERKS/SMG_UMP45_CLASSIC,render_weapon_slot_ump45c_mp,weapon_smg,,-1,66,62,57,76,80,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,none,barrelrange,silencer,none,none,epicump45,none,0,a&MENU/NONE,full_auto_fire_mode,,FALSE,FALSE
41,iw8_ar58_swap,a&WEAPON/AR57,a&PERKS/AR_AR57,render_weapon_slot_ar57_mp,weapon_assault,render_weapon_kbar_large,1,62,68,76,79,74,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,none,barrelrange,silencer,none,none,epicar57,none,0,a&MENU/NONE,full_auto_fire_mode,,FALSE,FALSE
42,iw8_rpr,a&WEAPON/RIPPER,a&PERKS/SMG_RIPPER,render_weapon_slot_ripper_mpr,weapon_smg,weapon_ripper_360,1,70,53,53,91,80,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,none,barrelrange,silencer,none,none,epicripper,none,0,a&WEAPON/FEATURE_RIPPER,full_auto_fire_mode,full_auto_fire_mode,FALSE,FALSE
43,iw8_rpr_swap,a&WEAPON/RIPPER,a&PERKS/SMG_RIPPER,render_weapon_slot_ripper_mpr,weapon_smg,weapon_ripper_360,1,70,53,53,91,80,0,acog,elo,reflex,hybrid,phase,thermal,none,none,none,none,grip,none,xmags,rof,none,barrelrange,silencer,none,none,epicripper,none,0,a&WEAPON/FEATURE_RIPPER,full_auto_fire_mode,full_auto_fire_mode,FALSE,FALSE
