string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,int
28208,jup_br_cq_win_generic,a&JUP_CHALLENGE/JUP_CQ_VICTORY,a&JUP_CHALLENGE/JUP_CQ_VICTORY_DESC,1,2000,46464+48655+44146+43099+44320+36404+37360,,,,,,,,,BR,0
28207,jup_br_cq_witness_generic,a&JUP_CHALLENGE/JUP_CQ_WITNESS,a&JUP_CHALLENGE/JUP_CQ_WITNESS_DESC,1,2000,46530+48658,,,,,,,,,BR,0
28215,jup_br_cq_win_s1,a&JUP_CHALLENGE/JUP_CQ_VICTORY,a&JUP_CHALLENGE/JUP_CQ_VICTORY_DESC,1,2000,48108,,,,,,,,,BR,0
28218,jup_br_cq_win_s2,a&JUP_CHALLENGE/JUP_CQ_VICTORY,a&JUP_CHALLENGE/JUP_CQ_VICTORY_DESC,1,2000,51713,,,,,,,,,BR,0
28219,jup_br_cq_win_s3,a&JUP_CHALLENGE/JUP_CQ_VICTORY,a&JUP_CHALLENGE/JUP_CQ_VICTORY_DESC,1,500,57626,,,,,,,,,BR,0
28220,jup_br_cq_win_s4,a&JUP_CHALLENGE/JUP_CQ_VICTORY,a&JUP_CHALLENGE/JUP_CQ_VICTORY_DESC,1,2000,62630,,,,,,,,,BR,0
28221,jup_br_cq_win_s5,a&JUP_CHALLENGE/JUP_CQ_VICTORY,a&JUP_CHALLENGE/JUP_CQ_VICTORY_DESC,1,2000,68829,,,,,,,,,BR,0
28222,jup_br_cq_win_s6,a&JUP_CHALLENGE/JUP_CQ_VICTORY,a&JUP_CHALLENGE/JUP_CQ_VICTORY_DESC,1,2000,70096,,,,,,,,,BR,0
35805,jup_res_cq_win_s3,a&JUP_CHALLENGE/JUP_CQ_VICTORY_RES,a&JUP_CHALLENGE/JUP_CQ_VICTORY_RES_DESC,1,500,56438,,,,,,,,,BR,0
35806,jup_res_cq_win_s4,a&JUP_CHALLENGE/JUP_CQ_VICTORY_RES,a&JUP_CHALLENGE/JUP_CQ_VICTORY_RES_DESC,1,2000,56438,,,,,,,,,BR,0
35807,jup_res_cq_win_s5,a&JUP_CHALLENGE/JUP_CQ_VICTORY_RES,a&JUP_CHALLENGE/JUP_CQ_VICTORY_RES_DESC,1,2000,,,,,,,,,,BR,0
35808,jup_res_cq_win_s6,a&JUP_CHALLENGE/JUP_CQ_VICTORY_RES,a&JUP_CHALLENGE/JUP_CQ_VICTORY_RES_DESC,1,2000,,,,,,,,27,,BR,0
46096,jup_res_cq_win_generic2,a&JUP_CHALLENGE/JUP_CQ_VICTORY_RES,a&JUP_CHALLENGE/JUP_CQ_VICTORY_RES_DESC,1,2000,51818+70914+70136+70913+68679,,,,,,,,,BR,0
37604,jup_wz_chase_economy_1,a&CHALLENGE/WZ_CHASE_ECONOMY_1,a&CHALLENGE/WZ_CHASE_ECONOMY_1_DESC,100,,64984,,,,,,,,,BR|LP_BR|LP_RES,0
37605,jup_wz_chase_economy_2,a&CHALLENGE/WZ_CHASE_ECONOMY_2,a&CHALLENGE/WZ_CHASE_ECONOMY_2_DESC,16,,64484,,,,,,,,,BR|LP_BR|LP_RES,0
37606,jup_wz_chase_economy_3,a&CHALLENGE/WZ_CHASE_ECONOMY_3,a&CHALLENGE/WZ_CHASE_ECONOMY_3_DESC,70000,,64158,,,,,,,,,BR|LP_BR|LP_RES,0
37616,jup_wz_chase_economy_4,a&CHALLENGE/WZ_CHASE_ECONOMY_4,a&CHALLENGE/WZ_CHASE_ECONOMY_4_DESC,20,,57645,,,,,,,,,BR|LP_BR|LP_RES,0
37608,jup_wz_chase_contracts_1,a&CHALLENGE/WZ_CHASE_CONTRACT_1,a&CHALLENGE/WZ_CHASE_CONTRACT_1_DESC,10,,64985,,,,,,,,,BR|LP_BR|LP_RES,0
37609,jup_wz_chase_contracts_2,a&CHALLENGE/WZ_CHASE_CONTRACT_2,a&CHALLENGE/WZ_CHASE_CONTRACT_2_DESC,20,,64485,,,,,,,,,BR|LP_BR|LP_RES,0
37610,jup_wz_chase_contracts_3,a&CHALLENGE/WZ_CHASE_CONTRACT_3,a&CHALLENGE/WZ_CHASE_CONTRACT_3_DESC,20,,64157,,,,,,,,,BR|LP_BR|LP_RES,0
37615,jup_wz_chase_contracts_4,a&CHALLENGE/WZ_CHASE_CONTRACT_4,a&CHALLENGE/WZ_CHASE_CONTRACT_4_DESC,10,,57738,,,,,,,,,BR|LP_BR|LP_RES,0
37611,jup_wz_chase_social_1,a&CHALLENGE/WZ_CHASE_SOCIAL_1,a&CHALLENGE/WZ_CHASE_SOCIAL_1_DESC,50,,63409,,,,,,,,,BR|LP_BR|LP_RES,0
37612,jup_wz_chase_social_2,a&CHALLENGE/WZ_CHASE_SOCIAL_2,a&CHALLENGE/WZ_CHASE_SOCIAL_2_DESC,40,,65285,,,,,,,,,BR|LP_BR|LP_RES,0
37613,jup_wz_chase_social_3,a&CHALLENGE/WZ_CHASE_SOCIAL_3,a&CHALLENGE/WZ_CHASE_SOCIAL_3_DESC,30,,65148,,,,,,,,,BR|LP_BR|LP_RES,0
37614,jup_wz_chase_social_4,a&CHALLENGE/WZ_CHASE_SOCIAL_4,a&CHALLENGE/WZ_CHASE_SOCIAL_4_DESC,10,,57644,,,,,,,,,BR|LP_BR|LP_RES,0
37617,jup_wz_chase_mode_1,a&CHALLENGE/WZ_CHASE_MODE_1,a&CHALLENGE/WZ_CHASE_MODE_1_DESC,10,,65283,,,,,,,,,BR|LP_BR|LP_RES,0
37618,jup_wz_chase_mode_2,a&CHALLENGE/WZ_CHASE_MODE_2,a&CHALLENGE/WZ_CHASE_MODE_2_DESC,20,,65286,,,,,,,,,BR|LP_BR|LP_RES,0
37619,jup_wz_chase_mode_3,a&CHALLENGE/WZ_CHASE_MODE_3,a&CHALLENGE/WZ_CHASE_MODE_3_DESC,500,,64486,,,,,,,,,BR|LP_BR|LP_RES,0
37620,jup_wz_chase_mode_4,a&CHALLENGE/WZ_CHASE_MODE_4,a&CHALLENGE/WZ_CHASE_MODE_4_DESC,20,,57646,,,,,,,,,BR|LP_BR|LP_RES,0
40526,jup_br_s4_cerberus_reveal_ultimate,a&CHALLENGE/WZ_TRUTH,a&CHALLENGE/WZ_TRUTH_DESCRIPTION,3,,60909,,,,,,,,40524|40155|40485,,0
40524,jup_br_s4_cerberus_reveal_bunker,a&CHALLENGE/WZ_BUNKER_CHALL,a&CHALLENGE/WZ_BUNKER_CHALL_DESC,1,,63491,,,,,,,,,BR|LP_BR|LP_RES,0
40155,jup_br_s4_cerberus_reveal_turtle,a&CHALLENGE/WZ_TURTLE_CHALL,a&CHALLENGE/WZ_TURTLE_CHALL_DESC,1,,63492,,,,,,,,,BR|LP_BR|LP_RES,0
40485,jup_br_s3_cerberus_reveal_steel,a&CHALLENGE/WZ_STEEL_KILLS,a&CHALLENGE/WZ_STEEL_KILLS_DESC,1,,58090,,,,,,,,,BR|LP_BR|LP_RES,0
42963,jup_wz_s5_mastery,a&CHALLENGE/WZ_S5_MASTERY,a&CHALLENGE/WZ_S5_MASTERY_DESC,16,,65623,,,,,,,1,41554|41555|41556|41557|41558|41559|41560|41561|41562|41563|41564|41565|41566|41567|41568|41569,,0
41554,jup_wz_s5_combat_1,a&CHALLENGE/WZ_S5_COMBAT_1,a&CHALLENGE/WZ_S5_COMBAT_1_DESC,15,,70917,,,,,,,,,BR|LP_BR|LP_RES,0
41555,jup_wz_s5_combat_2,a&CHALLENGE/WZ_S5_COMBAT_2,a&CHALLENGE/WZ_S5_COMBAT_2_DESC,10,,70125,,,,,,,,,BR|LP_BR|LP_RES,0
41556,jup_wz_s5_combat_3,a&CHALLENGE/WZ_S5_COMBAT_3,a&CHALLENGE/WZ_S5_COMBAT_3_DESC,5,,70090,,,,,,,,,BR|LP_BR|LP_RES,0
41557,jup_wz_s5_combat_4,a&CHALLENGE/WZ_S5_COMBAT_4,a&CHALLENGE/WZ_S5_COMBAT_4_DESC,3,,68827,,,,,,,,,BR|LP_BR|LP_RES,0
41558,jup_wz_s5_coop_1,a&CHALLENGE/WZ_S5_COOP_1,a&CHALLENGE/WZ_S5_COOP_1_DESC,15,,70918,,,,,,,,,BR|LP_BR|LP_RES,0
41559,jup_wz_s5_coop_2,a&CHALLENGE/WZ_S5_COOP_2,a&CHALLENGE/WZ_S5_COOP_2_DESC,5,,70071,,,,,,,,,BR|LP_BR|LP_RES,0
41560,jup_wz_s5_coop_3,a&CHALLENGE/WZ_S5_COOP_3,a&CHALLENGE/WZ_S5_COOP_3_DESC,10,,70137,,,,,,,,,BR|LP_BR|LP_RES,0
41561,jup_wz_s5_coop_4,a&CHALLENGE/WZ_S5_COOP_4,a&CHALLENGE/WZ_S5_COOP_4_DESC,5,,68834,,,,,,,,,BR|LP_BR|LP_RES,0
41562,jup_wz_s5_mobility_1,a&CHALLENGE/WZ_S5_MOBILITY_1,a&CHALLENGE/WZ_S5_MOBILITY_1_DESC,500,,70919,,,,,,,,,BR|LP_BR|LP_RES,0
41563,jup_wz_s5_mobility_2,a&CHALLENGE/WZ_S5_MOBILITY_2,a&CHALLENGE/WZ_S5_MOBILITY_2_DESC,15,,70126,,,,,,,59,,BR|LP_BR|LP_RES,0
41564,jup_wz_s5_mobility_3,a&CHALLENGE/WZ_S5_MOBILITY_3,a&CHALLENGE/WZ_S5_MOBILITY_3_DESC,8,,70091,,,,,,,,,BR|LP_BR|LP_RES,0
41565,jup_wz_s5_mobility_4,a&CHALLENGE/WZ_S5_MOBILITY_4,a&CHALLENGE/WZ_S5_MOBILITY_4_DESC,5,,68833,,,,,,,,,BR|LP_BR|LP_RES,0
41566,jup_wz_s5_redacted_1,a&CHALLENGE/WZ_S5_REDACTED_1,a&CHALLENGE/WZ_S5_REDACTED_1_DESC_REDACTED,15,,70920,,,,,,,,,BR|LP_BR|LP_RES,0
41567,jup_wz_s5_redacted_2,a&CHALLENGE/WZ_S5_REDACTED_2,a&CHALLENGE/WZ_S5_REDACTED_2_DESC_REDACTED,10,,70072,,,,,,,,,BR|LP_BR|LP_RES,0
41568,jup_wz_s5_redacted_3,a&CHALLENGE/WZ_S5_REDACTED_3,a&CHALLENGE/WZ_S5_REDACTED_3_DESC_REDACTED,3,,70138,,,,,,,,,BR|LP_BR|LP_RES,0
41569,jup_wz_s5_redacted_4,a&CHALLENGE/WZ_S5_REDACTED_4,a&CHALLENGE/WZ_S5_REDACTED_4_DESC_REDACTED,5,,68832,,,,,,,,,BR|LP_BR|LP_RES,0
47854,jup_wz_s6_combat_1,a&CHALLENGE/WZ_S6_COMBAT_1,a&CHALLENGE/WZ_S6_COMBAT_1_DESC,10,,83044,,,,,,,,,BR|LP_BR|LP_RES,0
47858,jup_wz_s6_coop_1,a&CHALLENGE/WZ_S6_COOP_1,a&CHALLENGE/WZ_S6_COOP_1_DESC,15,,83045,,,,,,,,,BR|LP_BR|LP_RES,0
47862,jup_wz_s6_mobility_1,a&CHALLENGE/WZ_S6_MOBILITY_1,a&CHALLENGE/WZ_S5_MOBILITY_3_DESC,15,,83046,,,,,,,,,BR|LP_BR|LP_RES,0
47866,jup_wz_s6_redacted_1,a&CHALLENGE/WZ_S6_REDACTED_1,a&CHALLENGE/WZ_S6_REDACTED_1_DESC_REDACTED,10,,83047,,,,,,,,,BR|LP_BR|LP_RES,0
