string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,int,string,string,string,string
23247,jup_founders_week2_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,1,,37063,,,,23248|23249,0,1701280800,1701878400,,,0,,,,
23248,jup_founders_week2_5_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,141,,,,,,,1000,1701280800,1701878400,,,0,MP,,,
23249,jup_founders_week2_5_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_OB_EVENT_CHALLENGES/FOUNDERS_WEEK2_5,141,,,,,,,1000,1701280800,1701878400,,,0,OB,,,
22162,jup_codmas_mastery,a&JUP_CHALLENGE/JUP_CODMAS_MASTERY,a&JUP_CHALLENGE/JUP_CODMAS_MASTERY_DESC,7,,48004,,,,22164|22166|22167|22168|22169|22170|22189,,1703008800,1704297600,,,0,,,,
22164,jup_codmas_1,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_CHALLENGE/JUP_CODMAS_1_TRACKER_DESC,1,,36897,,,,25689|25697|25710,,1703008800,1704297600,,,0,,,,
25689,jup_codmas_1_mp,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_CHALLENGE/JUP_CODMAS_1_DESC,40,,,,,,,,1703008800,1704297600,,,0,MP,,,
25697,jup_codmas_1_ob,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_OB_EVENT_CHALLENGES/CODMAS_1,5,,,,,,,,1703008800,1704297600,,,0,OB,,,
25710,jup_codmas_1_br,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_CHALLENGE/JUP_CODMAS_BR_CHALLENGE1_DESC,10,,,,,,,,1703008800,1704297600,,,0,BR,,,
22166,jup_codmas_2,a&JUP_CHALLENGE/JUP_CODMAS_2,a&JUP_CHALLENGE/JUP_CODMAS_2_TRACKER_DESC,1,,3942,,,,25695|25704|25717,,1703008800,1704297600,,,0,,,,
25695,jup_codmas_2_mp,a&JUP_CHALLENGE/JUP_CODMAS_2,a&JUP_CHALLENGE/JUP_CODMAS_2_DESC,40,,,,,,,,1703008800,1704297600,,,0,MP,,,
25704,jup_codmas_2_ob,a&JUP_CHALLENGE/JUP_CODMAS_2,a&JUP_OB_EVENT_CHALLENGES/CODMAS_2,400,,,,,,,,1703008800,1704297600,,,0,OB,,,
25717,jup_codmas_2_br,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_CHALLENGE/JUP_CODMAS_BR_CHALLENGE2_DESC,15,,,,,,,,1703008800,1704297600,,,0,BR,,,
22167,jup_codmas_3,a&JUP_CHALLENGE/JUP_CODMAS_3,a&JUP_CHALLENGE/JUP_CODMAS_3_TRACKER_DESC,1,,26329,,,,25690|25705|25718,,1703008800,1704297600,,,0,,,,
25690,jup_codmas_3_mp,a&JUP_CHALLENGE/JUP_CODMAS_3,a&JUP_CHALLENGE/JUP_CODMAS_3_DESC,100,,,,,,,,1703008800,1704297600,,,0,MP,,,
25705,jup_codmas_3_ob,a&JUP_CHALLENGE/JUP_CODMAS_3,a&JUP_OB_EVENT_CHALLENGES/CODMAS_3,400,,,,,,,,1703008800,1704297600,,,0,OB,,,
25718,jup_codmas_3_br,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_CHALLENGE/JUP_CODMAS_BR_CHALLENGE3_DESC,15,,,,,,,,1703008800,1704297600,,,0,BR,,,
22168,jup_codmas_4,a&JUP_CHALLENGE/JUP_CODMAS_4,a&JUP_CHALLENGE/JUP_CODMAS_4_TRACKER_DESC,1,,43133,,,,25691|25706|25719,,1703008800,1704297600,,,0,,,,
25691,jup_codmas_4_mp,a&JUP_CHALLENGE/JUP_CODMAS_4,a&JUP_CHALLENGE/JUP_CODMAS_4_DESC,6,,,,,,,,1703008800,1704297600,,,0,MP,,,
25706,jup_codmas_4_ob,a&JUP_CHALLENGE/JUP_CODMAS_4,a&JUP_OB_EVENT_CHALLENGES/CODMAS_4,25,,,,,,,,1703008800,1704297600,,,0,OB,,,
25719,jup_codmas_4_br,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_CHALLENGE/JUP_CODMAS_BR_CHALLENGE4_DESC,15,,,,,,,,1703008800,1704297600,,,0,BR,,,
22169,jup_codmas_5,a&JUP_CHALLENGE/JUP_CODMAS_5,a&JUP_CHALLENGE/JUP_CODMAS_5_TRACKER_DESC,1,,44338,,,,25692|25707|25720,,1703008800,1704297600,,,0,,,,
25692,jup_codmas_5_mp,a&JUP_CHALLENGE/JUP_CODMAS_5,a&JUP_CHALLENGE/JUP_CODMAS_5_DESC,40,,,,,,,,1703008800,1704297600,,,0,MP,,,
25707,jup_codmas_5_ob,a&JUP_CHALLENGE/JUP_CODMAS_5,a&JUP_OB_EVENT_CHALLENGES/CODMAS_5,200,,,,,,,,1703008800,1704297600,,,0,OB,,,
25720,jup_codmas_5_br,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_CHALLENGE/JUP_CODMAS_BR_CHALLENGE5_DESC,8,,,,,,,,1703008800,1704297600,,,0,BR,,,
22170,jup_codmas_6,a&JUP_CHALLENGE/JUP_CODMAS_6,a&JUP_CHALLENGE/JUP_CODMAS_6_TRACKER_DESC,1,,39199,,,,25693|25708|25721,,1703008800,1704297600,,,0,,,,
25693,jup_codmas_6_mp,a&JUP_CHALLENGE/JUP_CODMAS_6,a&JUP_CHALLENGE/JUP_CODMAS_6_DESC,30,,,,,,,,1703008800,1704297600,,,0,MP,,,
25708,jup_codmas_6_ob,a&JUP_CHALLENGE/JUP_CODMAS_6,a&JUP_OB_EVENT_CHALLENGES/CODMAS_6,8,,,,,,,,1703008800,1704297600,,,0,OB,,,
25721,jup_codmas_6_br,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_CHALLENGE/JUP_CODMAS_BR_CHALLENGES_DESC,15,,,,,,,,1703008800,1704297600,,,0,BR,,,
22189,jup_codmas_7,a&JUP_CHALLENGE/JUP_CODMAS_7,a&JUP_CHALLENGE/JUP_CODMAS_7_TRACKER_DESC,1,,33312,,,,25694|25709|25722,,1703008800,1704297600,,,0,,,,
25694,jup_codmas_7_mp,a&JUP_CHALLENGE/JUP_CODMAS_7,a&JUP_CHALLENGE/JUP_CODMAS_7_DESC,5,,,,,,,,1703008800,1704297600,,,0,MP,,,
25709,jup_codmas_7_ob,a&JUP_CHALLENGE/JUP_CODMAS_7,a&JUP_OB_EVENT_CHALLENGES/CODMAS_7,50,,,,,,,,1703008800,1704297600,,,0,OB,,,
25722,jup_codmas_7_br,a&JUP_CHALLENGE/JUP_CODMAS_1,a&JUP_CHALLENGE/JUP_CODMAS_BR_CHALLENGE7_DESC,1,,,,,,,,1703008800,1704297600,,,0,BR,,,
23294,jup_the_boys_mastery,a&JUP_CHALLENGE/JUP_THE_BOYS_MASTERY,a&JUP_CHALLENGE/JUP_THE_BOYS_MASTERY_DESC,6,,46053,,,,23295|23296|23298|23299|23300|23301,,1705514400,1706112000,,,0,,,,
23295,jup_the_boys_1,a&JUP_CHALLENGE/JUP_THE_BOYS_1,a&JUP_CHALLENGE/JUP_THE_BOYS_1_TRACKER_DESC,1,,44251,,,,25737|25739,0,1705514400,1706112000,,,0,,,,
25737,jup_the_boys_1_mp,a&JUP_CHALLENGE/JUP_THE_BOYS_1,a&JUP_CHALLENGE/JUP_THE_BOYS_1_DESC,7,,,,,,,0,1705514400,1706112000,,,0,MP,,,
25739,jup_the_boys_1_br,a&JUP_CHALLENGE/JUP_THE_BOYS_1,a&JUP_CHALLENGE/JUP_THE_BOYS_BR_1_DESC,7,,,,,,,0,1705514400,1706112000,,,0,BR,,,
23296,jup_the_boys_2,a&JUP_CHALLENGE/JUP_THE_BOYS_2,a&JUP_CHALLENGE/JUP_THE_BOYS_2_TRACKER_DESC,1,,44496,,,,25741|25743,0,1705514400,1706112000,,,0,,,,
25741,jup_the_boys_2_mp,a&JUP_CHALLENGE/JUP_THE_BOYS_2,a&JUP_CHALLENGE/JUP_THE_BOYS_2_DESC,5,,,,,,,0,1705514400,1706112000,,,0,MP,,,
25743,jup_the_boys_2_br,a&JUP_CHALLENGE/JUP_THE_BOYS_2,a&JUP_CHALLENGE/JUP_THE_BOYS_BR_2_DESC,10,,,,,,,0,1705514400,1706112000,,,0,BR,,,
23298,jup_the_boys_3,a&JUP_CHALLENGE/JUP_THE_BOYS_3,a&JUP_CHALLENGE/JUP_THE_BOYS_3_TRACKER_DESC,1,,26329,,,,25757|25759,0,1705514400,1706112000,,,0,,,,
25757,jup_the_boys_3_mp,a&JUP_CHALLENGE/JUP_THE_BOYS_3,a&JUP_CHALLENGE/JUP_THE_BOYS_3_DESC,10,,,,,,,0,1705514400,1706112000,,,0,MP,,,
25759,jup_the_boys_3_br,a&JUP_CHALLENGE/JUP_THE_BOYS_3,a&JUP_CHALLENGE/JUP_THE_BOYS_BR_3_DESC,5,,,,,,,0,1705514400,1706112000,,,0,BR,,,
23299,jup_the_boys_4,a&JUP_CHALLENGE/JUP_THE_BOYS_4,a&JUP_CHALLENGE/JUP_THE_BOYS_4_TRACKER_DESC,1,,39744,,,,25770|25772,0,1705514400,1706112000,,,0,,,,
25770,jup_the_boys_4_mp,a&JUP_CHALLENGE/JUP_THE_BOYS_4,a&JUP_CHALLENGE/JUP_THE_BOYS_4_DESC,25,,,,,,,0,1705514400,1706112000,,,0,MP,,,
25772,jup_the_boys_4_br,a&JUP_CHALLENGE/JUP_THE_BOYS_4,a&JUP_CHALLENGE/JUP_THE_BOYS_BR_4_DESC,7,,,,,,,0,1705514400,1706112000,,,0,BR,,,
23300,jup_the_boys_5,a&JUP_CHALLENGE/JUP_THE_BOYS_5,a&JUP_CHALLENGE/JUP_THE_BOYS_5_TRACKER_DESC,1,,43526,,,,25773|25775,0,1705514400,1706112000,,,0,,,,
25773,jup_the_boys_5_mp,a&JUP_CHALLENGE/JUP_THE_BOYS_5,a&JUP_CHALLENGE/JUP_THE_BOYS_5_DESC,25,,,,,,,1000,1705514400,1706112000,,,0,MP,,,
25775,jup_the_boys_5_br,a&JUP_CHALLENGE/JUP_THE_BOYS_5,a&JUP_CHALLENGE/JUP_THE_BOYS_BR_5_DESC,8,,,,,,,1000,1705514400,1706112000,,,0,BR,,,
23301,jup_the_boys_6,a&JUP_CHALLENGE/JUP_THE_BOYS_6,a&JUP_CHALLENGE/JUP_THE_BOYS_6_TRACKER_DESC,1,,3955,,,,25776|25777,0,1705514400,1706112000,,,0,,,,
25776,jup_the_boys_6_mp,a&JUP_CHALLENGE/JUP_THE_BOYS_6,a&JUP_CHALLENGE/JUP_THE_BOYS_6_DESC,7,,,,,,,1000,1705514400,1706112000,,,0,MP,,,
25777,jup_the_boys_6_br,a&JUP_CHALLENGE/JUP_THE_BOYS_6,a&JUP_CHALLENGE/JUP_THE_BOYS_BR_6_DESC,3,,,,,,,1000,1705514400,1706112000,,,0,BR,,,
23302,jup_the_seven_mastery,a&JUP_CHALLENGE/JUP_THE_BOYS_MASTERY,a&JUP_CHALLENGE/JUP_THE_BOYS_MASTERY_DESC,6,,39131,,,,23303|23304|23305|23306|23307|23308,,1706724000,1707321600,,,0,,,,
23303,jup_the_seven_1,a&JUP_CHALLENGE/JUP_THE_SEVEN_1,a&JUP_CHALLENGE/JUP_THE_SEVEN_1_TRACKER_DESC,1,,44252,,,,25838|25839,0,1706724000,1707321600,,,0,,,,
25838,jup_the_seven_1_mp,a&JUP_CHALLENGE/JUP_THE_SEVEN_1,a&JUP_CHALLENGE/JUP_THE_SEVEN_1_DESC,1,,,,,,,0,1706724000,1707321600,,,0,MP,,,
25839,jup_the_seven_1_br,a&JUP_CHALLENGE/JUP_THE_SEVEN_1,a&JUP_CHALLENGE/JUP_THE_SEVEN_BR_1_DESC,5,,,,,,,0,1706724000,1707321600,,,0,BR,,,
23304,jup_the_seven_2,a&JUP_CHALLENGE/JUP_THE_SEVEN_2,a&JUP_CHALLENGE/JUP_THE_SEVEN_2_TRACKER_DESC,1,,44497,,,,25841|25842,0,1706724000,1707321600,,,0,,,,
25841,jup_the_seven_2_mp,a&JUP_CHALLENGE/JUP_THE_SEVEN_2,a&JUP_CHALLENGE/JUP_THE_SEVEN_2_DESC,20,,,,,,,0,1706724000,1707321600,,,0,MP,,,
25842,jup_the_seven_2_br,a&JUP_CHALLENGE/JUP_THE_SEVEN_2,a&JUP_CHALLENGE/JUP_THE_SEVEN_BR_2_DESC,15,,,,,,,0,1706724000,1707321600,,,0,BR,,,
23305,jup_the_seven_3,a&JUP_CHALLENGE/JUP_THE_SEVEN_3,a&JUP_CHALLENGE/JUP_THE_SEVEN_3_TRACKER_DESC,1,,26329,,,,25844|25845,0,1706724000,1707321600,,,0,,,,
25844,jup_the_seven_3_mp,a&JUP_CHALLENGE/JUP_THE_SEVEN_3,a&JUP_CHALLENGE/JUP_THE_SEVEN_3_DESC,45,,,,,,,0,1706724000,1707321600,,,0,MP,,,
25845,jup_the_seven_3_br,a&JUP_CHALLENGE/JUP_THE_SEVEN_3,a&JUP_CHALLENGE/JUP_THE_SEVEN_BR_3_DESC,15,,,,,,,0,1706724000,1707321600,,,0,BR,,,
23306,jup_the_seven_4,a&JUP_CHALLENGE/JUP_THE_SEVEN_4,a&JUP_CHALLENGE/JUP_THE_SEVEN_4_TRACKER_DESC,1,,44140,,,,25847|25848,0,1706724000,1707321600,,,0,,,,
25847,jup_the_seven_4_mp,a&JUP_CHALLENGE/JUP_THE_SEVEN_4,a&JUP_CHALLENGE/JUP_THE_SEVEN_4_DESC,5,,,,,,,0,1706724000,1707321600,,,0,MP,,,
25848,jup_the_seven_4_br,a&JUP_CHALLENGE/JUP_THE_SEVEN_4,a&JUP_CHALLENGE/JUP_THE_SEVEN_BR_4_DESC,10,,,,,,,0,1706724000,1707321600,,,0,BR,,,
23307,jup_the_seven_5,a&JUP_CHALLENGE/JUP_THE_SEVEN_5,a&JUP_CHALLENGE/JUP_THE_SEVEN_5_TRACKER_DESC,1,,43134,,,,25850|25851,0,1706724000,1707321600,,,0,,,,
25850,jup_the_seven_5_mp,a&JUP_CHALLENGE/JUP_THE_SEVEN_5,a&JUP_CHALLENGE/JUP_THE_SEVEN_5_DESC,15,,,,,,,1000,1706724000,1707321600,,,0,MP,,,
25851,jup_the_seven_5_br,a&JUP_CHALLENGE/JUP_THE_SEVEN_5,a&JUP_CHALLENGE/JUP_THE_SEVEN_BR_5_DESC,30,,,,,,,1000,1706724000,1707321600,,,0,BR,,,
23308,jup_the_seven_6,a&JUP_CHALLENGE/JUP_THE_SEVEN_6,a&JUP_CHALLENGE/JUP_THE_SEVEN_6_TRACKER_DESC,1,,3978,,,,25781|25853,0,1706724000,1707321600,,,0,,,,
25781,jup_the_seven_6_mp,a&JUP_CHALLENGE/JUP_THE_SEVEN_6,a&JUP_CHALLENGE/JUP_THE_SEVEN_6_DESC,7,,,,,,,1000,1706724000,1707321600,,,0,MP,,,
25853,jup_the_seven_6_br,a&JUP_CHALLENGE/JUP_THE_SEVEN_6,a&JUP_CHALLENGE/JUP_THE_SEVEN_BR_6_DESC,3,,,,,,,1000,1706724000,1707321600,,,0,BR,,,
27243,jup_s1_bp_timelimited_base_1,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE,a&JUP_CHALLENGE/JUP_S1_BP_TIMELIMITED_BASE_1_DESC,10,,,,1,1,,1500,,,,,0,,,,
27245,jup_s1_bp_timelimited_base_2,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE,a&JUP_CHALLENGE/JUP_S1_BP_TIMELIMITED_BASE_2_DESC,10,,,,1,2,,1500,,,,,0,,,,
27246,jup_s1_bp_timelimited_base_3,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE,a&JUP_CHALLENGE/JUP_S1_BP_TIMELIMITED_BASE_3_DESC,10,,,,1,3,,1500,,,,,0,,,,
27247,jup_s1_bp_timelimited_base_4,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE,a&JUP_CHALLENGE/JUP_S1_BP_TIMELIMITED_BASE_4_DESC,10,,,,1,4,,1500,,,,,0,,,,
27252,jup_s1_bp_timelimited_gununlock,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE_HVT,a&JUP_CHALLENGE/JUP_S1_BP_TIMELIMITED_GUNUNLOCK_DESC,20,,,,,,,1500,,,,,0,,,,
28328,jup_cryptids_mastery,a&JUP_CHALLENGE/JUP_CRYPTIDS_MASTERY,a&JUP_CHALLENGE/JUP_CRYPTIDS_MASTERY_DESC,8,,51065,,,,28300|28301|28302|28303|28304|28305|28306|28338,,1707933600,1709136000,,,0,,,,
28300,jup_cryptids_1,a&JUP_CHALLENGE/JUP_CRYPTIDS_1,a&JUP_CHALLENGE/JUP_CRYPTIDS_1_TRACKER_DESC,1,,52597,,,,28307|28308,,1707933600,1709136000,,,0,,,,
28307,jup_cryptids_1_mp,a&JUP_CHALLENGE/JUP_CRYPTIDS_1,a&JUP_CHALLENGE/JUP_CRYPTIDS_1_DESC,20,,,,,,,,1707933600,1709136000,,,0,MP,,,
28308,jup_cryptids_1_ob,a&JUP_CHALLENGE/JUP_CRYPTIDS_1,a&JUP_OB_EVENT_CHALLENGES/CRYPTIDS_1,120,,,,,,,,1707933600,1709136000,,,0,OB,,,
28301,jup_cryptids_2,a&JUP_CHALLENGE/JUP_CRYPTIDS_2,a&JUP_CHALLENGE/JUP_CRYPTIDS_2_TRACKER_DESC,1,,51678,,,,28312|28311,,1707933600,1709136000,,,0,,,,
28312,jup_cryptids_2_mp,a&JUP_CHALLENGE/JUP_CRYPTIDS_2,a&JUP_CHALLENGE/JUP_CRYPTIDS_2_DESC,50,,,,,,,,1707933600,1709136000,,,0,MP,,,
28311,jup_cryptids_2_ob,a&JUP_CHALLENGE/JUP_CRYPTIDS_2,a&JUP_OB_EVENT_CHALLENGES/CRYPTIDS_2,10,,,,,,,,1707933600,1709136000,,,0,OB,,,
28302,jup_cryptids_3,a&JUP_CHALLENGE/JUP_CRYPTIDS_3,a&JUP_CHALLENGE/JUP_CRYPTIDS_3_TRACKER_DESC,1,,52603,,,,28313|28314,,1707933600,1709136000,,,0,,,,
28313,jup_cryptids_3_mp,a&JUP_CHALLENGE/JUP_CRYPTIDS_3,a&JUP_CHALLENGE/JUP_CRYPTIDS_3_DESC,40,,,,,,,,1707933600,1709136000,,,0,MP,,,
28314,jup_cryptids_3_ob,a&JUP_CHALLENGE/JUP_CRYPTIDS_3,a&JUP_OB_EVENT_CHALLENGES/CRYPTIDS_3,3,,,,,,,,1707933600,1709136000,,,0,OB,,,
28303,jup_cryptids_4,a&JUP_CHALLENGE/JUP_CRYPTIDS_4,a&JUP_CHALLENGE/JUP_CRYPTIDS_4_TRACKER_DESC,1,,51679,,,,28316|28317,,1707933600,1709136000,,,0,,,,
28316,jup_cryptids_4_mp,a&JUP_CHALLENGE/JUP_CRYPTIDS_4,a&JUP_CHALLENGE/JUP_CRYPTIDS_4_DESC,15,,,,,,,,1707933600,1709136000,,,0,MP,,,
28317,jup_cryptids_4_ob,a&JUP_CHALLENGE/JUP_CRYPTIDS_4,a&JUP_OB_EVENT_CHALLENGES/CRYPTIDS_4,50,,,,,,,,1707933600,1709136000,,,0,OB,,,
28304,jup_cryptids_5,a&JUP_CHALLENGE/JUP_CRYPTIDS_5,a&JUP_CHALLENGE/JUP_CRYPTIDS_5_TRACKER_DESC,1,,51706,,,,28319|28320,,1707933600,1709136000,,,0,,,,
28319,jup_cryptids_5_mp,a&JUP_CHALLENGE/JUP_CRYPTIDS_5,a&JUP_CHALLENGE/JUP_CRYPTIDS_5_DESC,75,,,,,,,,1707933600,1709136000,,,0,MP,,,
28320,jup_cryptids_5_ob,a&JUP_CHALLENGE/JUP_CRYPTIDS_5,a&JUP_OB_EVENT_CHALLENGES/CRYPTIDS_5,100,,,,,,,,1707933600,1709136000,,,0,OB,,,
28305,jup_cryptids_6,a&JUP_CHALLENGE/JUP_CRYPTIDS_6,a&JUP_CHALLENGE/JUP_CRYPTIDS_6_TRACKER_DESC,1,,52838,,,,28322|28323,,1707933600,1709136000,,,0,,,,
28322,jup_cryptids_6_mp,a&JUP_CHALLENGE/JUP_CRYPTIDS_6,a&JUP_CHALLENGE/JUP_CRYPTIDS_6_DESC,20,,,,,,,,1707933600,1709136000,,,0,MP,,,
28323,jup_cryptids_6_ob,a&JUP_CHALLENGE/JUP_CRYPTIDS_6,a&JUP_OB_EVENT_CHALLENGES/CRYPTIDS_6,75,,,,,,,,1707933600,1709136000,,,0,OB,,,
28306,jup_cryptids_7,a&JUP_CHALLENGE/JUP_CRYPTIDS_7,a&JUP_CHALLENGE/JUP_CRYPTIDS_7_TRACKER_DESC,1,,51707,,,,28325|28326,,1707933600,1709136000,,,0,,,,
28325,jup_cryptids_7_mp,a&JUP_CHALLENGE/JUP_CRYPTIDS_7,a&JUP_CHALLENGE/JUP_CRYPTIDS_7_DESC,20,,,,,,,,1707933600,1709136000,,,0,MP,,,
28326,jup_cryptids_7_ob,a&JUP_CHALLENGE/JUP_CRYPTIDS_7,a&JUP_OB_EVENT_CHALLENGES/CRYPTIDS_7,5,,,,,,,,1707933600,1709136000,,,0,OB,,,
28338,jup_cryptids_8,a&JUP_CHALLENGE/JUP_CRYPTIDS_8,a&JUP_CHALLENGE/JUP_CRYPTIDS_8_TRACKER_DESC,1,,52143,,,,28339|28341,,1707933600,1709136000,,,0,,,,
28339,jup_cryptids_8_mp,a&JUP_CHALLENGE/JUP_CRYPTIDS_8,a&JUP_CHALLENGE/JUP_CRYPTIDS_8_DESC,75,,,,,,,,1707933600,1709136000,,,0,MP,,,
28341,jup_cryptids_8_ob,a&JUP_CHALLENGE/JUP_CRYPTIDS_8,a&JUP_OB_EVENT_CHALLENGES/CRYPTIDS_8,3,,,,,,,,1707933600,1709136000,,,0,OB,,,
28595,jup_the_hunt_mastery,a&JUP_CHALLENGE/JUP_EVENT_THE_HUNT_MASTERY,a&JUP_CHALLENGE/JUP_EVENT_THE_HUNT_MASTERY_DESC,3,,52791,,,,28597|28604|28598,,1707328800,1709740800,,,0,,,,
28597,jup_the_hunt_skulls_armored,a&JUP_CHALLENGE/JUP_EVENT_THE_HUNT_ARMORED,a&JUP_CHALLENGE/JUP_EVENT_THE_HUNT_ARMORED_DESC,600,,52525,,,,,,1707328800,1709740800,,,0,,,,
28604,jup_the_hunt_skulls_hellhound,a&JUP_CHALLENGE/JUP_EVENT_THE_HUNT_HELLHOUND,a&JUP_CHALLENGE/JUP_EVENT_THE_HUNT_HELLHOUND_DESC,300,,52061,,,,,,1707933600,1709740800,,,0,,,,
28598,jup_the_hunt_skulls_mimic,a&JUP_CHALLENGE/JUP_EVENT_THE_HUNT_MIMIC,a&JUP_CHALLENGE/JUP_EVENT_THE_HUNT_MIMIC_DESC,200,,53616,,,,,,1708538400,1709740800,,,0,,,,
28599,jup_the_hunt_bones,a&JUP_CHALLENGE/JUP_EVENT_THE_HUNT_BONES,a&JUP_CHALLENGE/JUP_EVENT_THE_HUNT_BONES_DESC,75|155|310|625|1250|2500|5000|10000,,,,,,,,1707328800,1709740800,,,0,,35521|29644|29668|35521|29670|35522|29673|34601,,
29272,jup_decay_mastery,a&JUP_CHALLENGE/JUP_DECAY_MASTERY,a&JUP_CHALLENGE/JUP_DECAY_MASTERY_DESC,5,,52144,,,,29267|29268|29269|29271|29270,,1711558800,1712156400,,,0,,,,
29267,jup_decay_1,a&JUP_CHALLENGE/JUP_DECAY_1,a&JUP_CHALLENGE/JUP_DECAY_1_TRACKER_DESC,1,,51850,,,,29273|29278|29279,,1711558800,1712156400,,,0,,,,
29273,jup_decay_1_mp,a&JUP_CHALLENGE/JUP_DECAY_1,a&JUP_CHALLENGE/JUP_DECAY_1_DESC,30,,,,,,,,1711558800,1712156400,,,0,MP,,,
29278,jup_decay_1_ob,a&JUP_CHALLENGE/JUP_DECAY_1,a&JUP_OB_EVENT_CHALLENGES/DECAY_1,150,,,,,,,,1711558800,1712156400,,,0,OB,,,
29279,jup_decay_1_br,a&JUP_CHALLENGE/JUP_DECAY_1,a&JUP_CHALLENGE/JUP_DECAY_1_DESC_BR,3,,,,,,,2000,1711558800,1712156400,,,0,BR|LP_BR|LP_RES,,,
29268,jup_decay_2,a&JUP_CHALLENGE/JUP_DECAY_2,a&JUP_CHALLENGE/JUP_DECAY_2_TRACKER_DESC,1,,51708,,,,29274|29280|29281,,1711558800,1712156400,,,0,,,,
