string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,int
11818,jup_daily_ch_p2_weapon_kills_pistol_hs,a&CHALLENGE/P2_WEAPON_KILLS_PISTOL_HS,a&CHALLENGE/P2_WEAPON_KILLS_PISTOL_HS_DESC,2,2500,,2,,,,,7,,,0
11819,jup_daily_ch_p2_weapon_kills_sniper,a&CHALLENGE/P2_WEAPON_KILLS_SNIPER,a&CHALLENGE/P2_WEAPON_KILLS_SNIPER_DESC,7,2500,,2,,,,,8,,,0
11820,jup_daily_ch_p2_weapon_kills_sniper_hs,a&CHALLENGE/P2_WEAPON_KILLS_SNIPER_HS,a&CHALLENGE/P2_WEAPON_KILLS_SNIPER_HS_DESC,3,2500,,2,,,,,9,,,0
11821,jup_daily_ch_p2_weapon_kills_battle_rifle,a&CHALLENGE/P2_WEAPON_KILLS_BATTLE_RIFLE,a&CHALLENGE/P2_WEAPON_KILLS_BATTLE_RIFLE_DESC,7,2500,,2,,,,,10,,,0
11822,jup_daily_ch_p2_weapon_kills_battle_rifle_hs,a&CHALLENGE/P2_WEAPON_KILLS_BATTLE_RIFLE_HS,a&CHALLENGE/P2_WEAPON_KILLS_BATTLE_RIFLE_HS_DESC,3,2500,,2,,,,,11,,,0
11823,jup_daily_ch_p2_weapon_kills_launcher,a&CHALLENGE/P2_WEAPON_KILLS_LAUNCHER,a&CHALLENGE/P2_WEAPON_KILLS_LAUNCHER_DESC,2,2500,,2,,,,,12,,,0
11824,jup_daily_ch_p2_weapon_kills_lm,a&CHALLENGE/P2_WEAPON_KILLS_LM,a&CHALLENGE/P2_WEAPON_KILLS_LM_DESC,10,2500,,2,,,,,13,,,0
11825,jup_daily_ch_p2_weapon_kills_lm_hs,a&CHALLENGE/P2_WEAPON_KILLS_LM_HS,a&CHALLENGE/P2_WEAPON_KILLS_LM_HS_DESC,3,2500,,2,,,,,14,,,0
11826,jup_daily_ch_p2_weapon_kills_dmr,a&CHALLENGE/P2_WEAPON_KILLS_DMR,a&CHALLENGE/P2_WEAPON_KILLS_DMR_DESC,7,2500,,2,,,,,15,,,0
11827,jup_daily_ch_p2_weapon_kills_dmr_hs,a&CHALLENGE/P2_WEAPON_KILLS_DMR_HS,a&CHALLENGE/P2_WEAPON_KILLS_DMR_HS_DESC,3,2500,,2,,,,,16,,,0
11869,jup_daily_ch_p3_fieldupgrade_respawn_using_tactical_insertion,a&CHALLENGE/P3_FIELDUPGRADE_RESPAWN_USING_TACTICAL_INSERTION,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_RESPAWN_USING_TACTICAL_INSERTION_DESC,3,2500,,3,,,,,1,,,0
11874,jup_daily_ch_p3_fieldupgrade_provide_ammo_resupplies,a&CHALLENGE/P3_FIELDUPRADE_PROVIDE_AMMO_RESUPPLIES,a&CHALLENGE/P3_FIELDUPGRADE_PROVIDE_AMMO_RESUPPLIES_DESC,5,2500,,3,,,,,2,,,0
14510,jup_daily_ch_p3_fieldupgrade_use_field_equipment,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_USE_FIELD_UPGRADE,a&CHALLENGE/DAILY_P3_FIELDUPGRADE_USE_FIELD_UPGRADE_DESC,5,2500,,3,,,,,3,,,0
14516,jup_daily_ch_p3_lethals_kills_frag,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_FRAG,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_FRAG_DESC,2,2500,,3,,,,,4,,,0
14517,jup_daily_ch_p3_lethals_kills_semtex,a&CHALLENGE/P3_LETHALS_KILLS_SEMTEX,a&CHALLENGE/P3_LETHALS_KILLS_SEMTEX_DESC,2,2500,,3,,,,,5,,,0
14518,jup_daily_ch_p3_lethals_kills_claymore,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_CLAYMORE,a&CHALLENGE/DAILY_P3_LETHALS_KILLS_CLAYMORE_DESC,2,2500,,3,,,,,6,,,0
11828,jup_daily_ch_p3_tacticals_blind_flash_grenade,a&CHALLENGE/DAILY_P3_TACTICALS_BLIND_FLASH_GRENADE,a&CHALLENGE/DAILY_P3_TACTICALS_BLIND_FLASH_GRENADE_DESC,2,2500,,3,,,,,7,,,0
14531,jup_daily_ch_p3_tacticals_butterfly_mine_hits,a&CHALLENGE/P6_SPECIALIZED_BUTTERFLY_MINE_HITS,a&CHALLENGE/P6_SPECIALIZED_BUTTERFLY_MINE_HITS_DESC,3,2500,,3,,,,,8,,,0
14533,jup_daily_ch_p3_lethals_kills_breacher_drone,a&CHALLENGE/P6_SPECIALIZED_KILLS_BREACHER_DRONE,a&CHALLENGE/P6_SPECIALIZED_KILLS_BREACHER_DRONE_DESC,2,2500,,3,,,,,9,,,0
14542,jup_daily_ch_p3_lethals_kills_cooked_grenade,a&CHALLENGE/P6_SPECIALIZED_KILLS_COOKED_GRENADE,a&CHALLENGE/P6_SPECIALIZED_KILLS_COOKED_GRENADE_DESC,2,2500,,3,,,,,10,,,0
26624,jup_daily_ch_p3_general_kills_prone,a&CHALLENGE/WEEKLY_S4_W2_CHAL_02_NAME,a&CHALLENGE/WEEKLY_S4_W2_CHAL_02_DESC,5,2500,,3,,,,,11,,,0
26625,jup_daily_ch_p3_general_kills_melee,a&CHALLENGE/DAILY_MELEE_KILLS,a&CHALLENGE/DAILY_MELEE_KILLS_DESC,5,2500,,3,,,,,12,,,0
26626,jup_daily_ch_p3_general_kills_tactical_stance,a&CHALLENGE/P1_GENERAL_KILLS_TACTICAL_STANCE,a&CHALLENGE/P1_GENERAL_KILLS_TACTICAL_STANCE_DESC,30,2500,,3,,,,,13,,,0
26627,jup_daily_ch_p3_general_kills_without_taking_damage,a&CHALLENGE/P1_GENERAL_KILLS_WITHOUT_TAKING_DAMAGE,a&CHALLENGE/P1_GENERAL_KILLS_WITHOUT_TAKING_DAMAGE_DESC,10,2500,,3,,,,,14,,,0
21716,jup_daily_mp_ch_bonus,a&JUP_CHALLENGE/DAILY_BONUS_TITLE_MP,a&CHALLENGE/BONUS_ARMORY_UNLOCK_MP,1,,,4,,,,,1,,,0
