string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,string,string
13,body_mp_beta_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_beta_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,341,,1,,0,0,full
14,body_mp_horangi_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_horangi_iw9_2_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,342,,1,,0,0,minimal
15,body_mp_milsim_west_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_milsim_west_iw9_1_1,m,vestlight,0,0,,0,body_mp_gus_iw9_1_1,mp_vm_arms_gus_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,343,,1,,0,0,minimal
16,body_mp_milsim_west_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_milsim_west_iw9_2_1,m,vestlight,0,0,,0,body_mp_gus_iw9_1_1,mp_vm_arms_gus_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,344,,1,,0,0,full
17,body_mp_milsim_west_iw9_3_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_milsim_west_iw9_3_1,m,vestlight,0,0,,0,body_mp_gus_iw9_1_1,mp_vm_arms_gus_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,345,,1,,0,0,full
18,body_mp_milsim_west_iw9_4_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_milsim_west_iw9_4_1,m,vestlight,0,0,,0,body_mp_gus_iw9_1_1,mp_vm_arms_gus_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,346,,1,,0,0,full
19,body_mp_milsim_east_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_milsim_east_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,347,,1,,0,0,minimal
20,body_mp_milsim_east_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_milsim_east_iw9_2_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,348,,1,,0,0,full
21,body_mp_milsim_east_iw9_3_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_milsim_east_iw9_3_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,349,,1,,0,0,full
22,body_mp_milsim_east_iw9_4_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_milsim_east_iw9_4_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,350,,1,,0,0,full
23,body_mp_soap_iw9_1_1_merge,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_soap_iw9_1_1,m,vestlight,0,0,,0,body_mp_gus_iw9_1_1,mp_vm_arms_gus_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,351,,1,,0,0,minimal
24,body_mp_oni_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_oni_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,352,,1,,0,0,minimal
37,body_mp_gus_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_gus_iw9_1_1,m,vestlight,0,0,,0,body_mp_gus_iw9_1_1,mp_vm_arms_gus_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,365,,1,,0,0,fallback
25,body_mp_tarzan_iw9_3_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_tarzan_iw9_3_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,353,,1,,0,0,full
26,body_mp_reyes_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_reyes_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,354,,1,,0,0,minimal
27,body_mp_akira_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_akira_iw9_1_1,f,vestlight,0,0,,0,body_mp_kleo_iw9_1_1,mp_vm_arms_kleo_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,355,,1,,0,0,minimal
28,body_mp_roze_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_roze_iw9_1_1,f,vestlight,0,0,,0,body_mp_kleo_iw9_1_1,mp_vm_arms_kleo_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,356,,1,,0,0,minimal
29,body_mp_jinn_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_jinn_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,357,,1,,0,0,minimal
30,body_mp_conor_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_conor_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,358,,1,,0,0,minimal
31,body_mp_aksel_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_aksel_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,359,,1,,0,0,minimal
32,body_mp_conor_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_conor_iw9_2_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,360,,1,,0,0,full
33,body_mp_fender_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_fender_iw9_2_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,361,,1,,0,0,full
34,body_mp_hutch_iw9_3_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_hutch_iw9_3_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,362,,1,,0,0,full
35,body_mp_reyes_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_reyes_iw9_2_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,363,,1,,0,0,full
36,body_mp_stiletto_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_stiletto_iw9_1_1,f,vestlight,0,0,,0,body_mp_calisto_iw9_1_1,mp_vm_arms_calisto_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,364,,1,,0,0,minimal
38,body_mp_zeus_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_zeus_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,366,,1,,0,0,full
39,body_mp_pogba_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_pogba_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,367,,1,,0,0,full
40,body_mp_messi_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_messi_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,368,,1,,0,0,full
41,body_mp_neymar_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_neymar_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,369,,1,,0,0,full
73,body_mp_ramstein_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_ramstein_iw9_2_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,370,,1,,0,0,full
74,body_mp_conor_iw9_5_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_conor_iw9_5_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,371,,1,,0,0,full
75,body_mp_calisto_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_calisto_iw9_2_1,f,vestlight,0,0,,0,body_mp_kleo_iw9_1_1,mp_vm_arms_kleo_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,372,,1,,0,0,full
76,body_mp_zeus_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_zeus_iw9_2_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,373,,1,,0,0,full
77,body_mp_fender_iw9_5_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_fender_iw9_5_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,374,,1,,0,0,full
79,body_mp_calisto_iw9_3_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_calisto_iw9_3_1,f,vestlight,0,0,,0,body_mp_kleo_iw9_1_1,mp_vm_arms_kleo_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,376,,1,,0,0,full
81,body_mp_opforce_shadow_company_armored_dmr_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_shadow_company_iw_9_1_dmr_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,378,,1,,0,0,full
82,body_mp_nova_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_nova_iw9_2_1,f,vestlight,0,0,,0,body_mp_kleo_iw9_1_1,mp_vm_arms_kleo_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,379,,1,,0,0,full
83,body_mp_conor_iw9_3_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_conor_iw9_3_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,380,,1,,0,0,full
84,body_mp_stiletto_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_mp_stiletto_iw9_2_1,f,vestlight,0,0,,0,body_mp_kleo_iw9_1_1,mp_vm_arms_kleo_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,381,,1,,0,0,full
86,body_mp_reyes_iw9_4_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_reyes_iw9_4_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,383,,1,,0,0,full
87,body_mp_zero_iw9_3_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_mp_zero_iw9_3_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,384,,1,,0,0,full
89,body_mp_gus_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_mp_gus_iw9_2_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,386,,1,,0,0,full
90,body_mp_zimo_iw9_3_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_zimo_iw9_3_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,387,,1,,0,0,full
91,body_mp_reyes_iw9_3_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_reyes_iw9_3_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,388,,1,,0,0,full
92,body_mp_tarzan_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_tarzan_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,389,,1,,0,0,full
93,body_mp_stiletto_iw9_4_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_stiletto_iw9_4_1,f,vestlight,0,0,,0,body_mp_kleo_iw9_1_1,mp_vm_arms_kleo_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,390,,1,,0,0,full
94,body_mp_hutch_iw9_4_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_hutch_iw9_4_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,391,,1,,0,0,full
95,body_mp_gus_iw9_3_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_gus_iw9_3_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,392,,1,,0,0,full
96,body_mp_chili_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_chili_iw9_2_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,393,,1,,0,0,full
97,body_mp_akira_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_akira_iw9_2_1,f,vestlight,0,0,,0,body_mp_kleo_iw9_1_1,mp_vm_arms_kleo_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,394,,1,,0,0,full
98,body_mp_jinn_iw9_4_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_jinn_iw9_4_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,395,,1,,0,0,full
99,body_mp_aksel_iw9_2_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_aksel_iw9_2_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,396,,1,,0,0,full
101,body_mp_opforce_al_qatala_elite_sniper_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_milsim_al_qatala_iw9_1_lod0,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,398,,1,,0,0,full
102,body_mp_cdl_male_iw9_unbranded_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_unbranded_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,398,,1,,0,0,full
103,body_mp_cdl_male_iw9_ultra_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_ultra_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,399,,1,,0,0,full
104,body_mp_cdl_male_iw9_thieves_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_thieves_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,400,,1,,0,0,full
105,body_mp_cdl_male_iw9_surge_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_surge_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,401,,1,,0,0,full
106,body_mp_cdl_male_iw9_subliners_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_subliners_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,402,,1,,0,0,full
107,body_mp_cdl_male_iw9_royal_ravens_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_royal_ravens_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,403,,1,,0,0,full
108,body_mp_cdl_male_iw9_rokkr_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_rokkr_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,404,,1,,0,0,full
109,body_mp_cdl_male_iw9_optic_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_optic_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,405,,1,,0,0,full
110,body_mp_cdl_male_iw9_mutineers_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_mutineers_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,406,,1,,0,0,full
111,body_mp_cdl_male_iw9_legion_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_legion_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,407,,1,,0,0,full
112,body_mp_cdl_male_iw9_guerrillas_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_guerrillas_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,408,,1,,0,0,full
113,body_mp_cdl_male_iw9_faze_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_faze_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,409,,1,,0,0,full
114,body_mp_cdl_male_iw9_breach_home,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_breach_home,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,410,,1,,0,0,full
115,body_mp_cdl_male_iw9_unbranded_away,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_unbranded_away,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,411,,1,,0,0,full
116,body_mp_cdl_male_iw9_ultra_away,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_ultra_away,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,412,,1,,0,0,full
117,body_mp_cdl_male_iw9_thieves_away,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_thieves_away,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,413,,1,,0,0,full
118,body_mp_cdl_male_iw9_surge_away,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_surge_away,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,414,,1,,0,0,full
119,body_mp_cdl_male_iw9_subliners_away,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_subliners_away,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,415,,1,,0,0,full
120,body_mp_cdl_male_iw9_royal_ravens_away,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_royal_ravens_away,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,416,,1,,0,0,full
121,body_mp_cdl_male_iw9_rokkr_away,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_rokkr_away,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,417,,1,,0,0,full
122,body_mp_cdl_male_iw9_optic_away,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_cdl_male_optic_away,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,418,,1,,0,0,full
