string,string,localized_a,localized_a,string,string,string,string,string,string,string,localized_a,string,string,string,string,string,string,string,string,string,string
38,iw7_taunt_rare_12,a&LUA_MENU_MP/TAUNT_FWD_SALUTE,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,Iw7_mp_taunt_salute03,Iw7_mp_taunt_salute03,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,Iw7_mp_taunt_salute03_synaptic,Iw7_mp_taunt_salute03_synaptic,,,,0.4625,0.125,79
39,iw7_taunt_rare_13,a&LUA_MENU_MP/TAUNT_PARADE_REST,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_at_ease,IW7_mp_taunt_at_ease,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.27,0.05,120
40,iw7_taunt_rare_15,a&LUA_MENU_MP/TAUNT_AT_EASE,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_attention02,IW7_mp_taunt_attention02,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,IW7_mp_taunt_attention02_synaptic,IW7_mp_taunt_attention02_synaptic,,,,0.2,0.1,102
41,iw7_taunt_rare_16,a&LUA_MENU_MP/TAUNT_AFFIRMATIVE,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_thumbs_up,IW7_mp_taunt_thumbs_up,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.29,0.1,89
42,iw7_taunt_rare_17,a&LUA_MENU_MP/TAUNT_LAZY_SALUTE,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,Iw7_mp_taunt_parade_rest02,Iw7_mp_taunt_parade_rest02,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,Iw7_mp_taunt_parade_rest02_synaptic,Iw7_mp_taunt_parade_rest02_synaptic,,,,0.226,0.05,170
43,iw7_taunt_rare_19,a&LUA_MENU_MP/TAUNT_CRUSH_YOU,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_crush_you,IW7_mp_taunt_crush_you,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.35,0.065,123
44,iw7_taunt_rare_20,a&LUA_MENU_MP/TAUNT_FOLD_ARMS,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_folded_arms,IW7_mp_taunt_folded_arms,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,IW7_mp_taunt_folded_arms_synaptic,IW7_mp_taunt_folded_arms_synaptic,,,,0.267,0.065,150
45,iw7_taunt_rare_21,a&LUA_MENU_MP/TAUNT_NEGATIVE,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_thumbs_down,IW7_mp_taunt_thumbs_down,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.3,0.138,101
46,iw7_taunt_rare_22,a&LUA_MENU_MP/TAUNT_CLOSED_SLAP,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,Iw7_mp_taunt_knuckle_crack02,Iw7_mp_taunt_knuckle_crack02,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,Iw7_mp_taunt_knuckle_crack02_synaptic,Iw7_mp_taunt_knuckle_crack02_synaptic,,,,0.28,0.112,107
47,iw7_taunt_rare_23,a&LUA_MENU_MP/TAUNT_CRACK_KNUCKLES,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,Iw7_mp_taunt_knuckle_crack04,Iw7_mp_taunt_knuckle_crack04,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,Iw7_mp_taunt_knuckle_crack04_synaptic,Iw7_mp_taunt_knuckle_crack04_synaptic,,,,0.285,0.067,133
48,iw7_taunt_rare_24,a&LUA_MENU_MP/TAUNT_CASUAL_ARM_CROSS,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,Iw7_mp_taunt_parade_rest04,Iw7_mp_taunt_parade_rest04,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,Iw7_mp_taunt_parade_rest04_synaptic,Iw7_mp_taunt_parade_rest04_synaptic,,,,0.294,0.117,170
49,iw7_taunt_rare_25,a&LUA_MENU_MP/TAUNT_SHOW_OFF,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,Iw7_mp_taunt_showoff01,Iw7_mp_taunt_showoff01,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.145,0.02,138
50,iw7_taunt_rare_26,a&CUSTOMIZE_TAUNT_26,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
51,iw7_taunt_rare_27,a&CUSTOMIZE_TAUNT_27,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
52,iw7_taunt_rare_28,a&CUSTOMIZE_TAUNT_28,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
53,iw7_taunt_rare_29,a&CUSTOMIZE_TAUNT_29,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
54,iw7_taunt_rare_30,a&CUSTOMIZE_TAUNT_30,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
55,iw7_taunt_legendary_1,a&LUA_MENU_MP/TAUNT_GHOSTED,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_sniper,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_phantom_cloak,IW7_mp_taunt_phantom_cloak,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,Y,,,,,IW7_mp_taunt_phantom_cloak_2nd,IW7_mp_taunt_phantom_cloak_3rd,1,0,137
56,iw7_taunt_legendary_2,a&LUA_MENU_MP/TAUNT_BEASTMODE,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_scout,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_synaptic_reaper,iw7_mp_taunt_synaptic_reaper,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,iw7_mp_taunt_synaptic_reaper_2nd,iw7_mp_taunt_synaptic_reaper_3rd,1,0,148
57,iw7_taunt_legendary_3,a&LUA_MENU_MP/TAUNT_DRAGON,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_heavy,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_super_merc_steeldragon_frontend,iw7_mp_taunt_super_merc_steeldragon,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,Y,,,,,,,1,0,111
58,iw7_taunt_legendary_4,a&CUSTOMIZE_TAUNT_34,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
59,iw7_taunt_legendary_5,a&LUA_MENU_MP/TAUNT_HUCKLEBERRY,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_assassin,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_ftl_pistol_spin,IW7_mp_taunt_ftl_pistol_spin,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,Y,,,,,,,1,0,129
60,iw7_taunt_legendary_6,a&CUSTOMIZE_TAUNT_35,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
61,iw7_taunt_legendary_7,a&CUSTOMIZE_TAUNT_36,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
62,iw7_taunt_legendary_8,a&CUSTOMIZE_TAUNT_37,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
63,iw7_taunt_legendary_9,a&CUSTOMIZE_TAUNT_38,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
64,iw7_taunt_legendary_10,a&CUSTOMIZE_TAUNT_39,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
65,iw7_taunt_legendary_11,a&CUSTOMIZE_TAUNT_40,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
66,iw7_taunt_legendary_12,a&CUSTOMIZE_TAUNT_41,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
67,iw7_taunt_legendary_13,a&CUSTOMIZE_TAUNT_42,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
68,iw7_taunt_legendary_14,a&CUSTOMIZE_TAUNT_43,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
69,iw7_taunt_legendary_15,a&CUSTOMIZE_TAUNT_44,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
70,iw7_taunt_legendary_16,a&CUSTOMIZE_TAUNT_45,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
71,iw7_taunt_legendary_17,a&CUSTOMIZE_TAUNT_46,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
72,iw7_taunt_legendary_18,a&CUSTOMIZE_TAUNT_47,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
73,iw7_taunt_legendary_19,a&CUSTOMIZE_TAUNT_48,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
74,iw7_taunt_legendary_20,a&CUSTOMIZE_TAUNT_49,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
75,iw7_taunt_epic_1,a&LUA_MENU_MP/TAUNT_EPIC_APEX_ATTACK,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_killstreak_apex01,IW7_mp_taunt_killstreak_apex01,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,IW7_mp_taunt_killstreak_apex01_synaptic,IW7_mp_taunt_killstreak_apex01_synaptic,,,,0.865,0,157
76,iw7_taunt_epic_2,a&LUA_MENU_MP/TAUNT_EPIC_THOR_ATTACK,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_killstreak_thor,iw7_mp_taunt_killstreak_thor,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.893,0,225
77,iw7_taunt_epic_3,a&LUA_MENU_MP/TAUNT_EPIC_UAV_SHOOTDOWN,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_sniper,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_super_shootdown,iw7_mp_taunt_super_shootdown,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,Y,,,,,,,0.899,0,179
78,iw7_taunt_epic_4,a&LUA_MENU_MP/TAUNT_EPIC_GRENADE_TOSS,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_epic_grenade_toss_back01,iw7_mp_taunt_epic_grenade_toss_back01,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,iw7_mp_taunt_epic_grenade_toss_synaptic,iw7_mp_taunt_epic_grenade_toss_synaptic,,,,0.906,0,205
79,iw7_taunt_epic_5,a&LUA_MENU_MP/TAUNT_EPIC_BLACKHOLE_GUN,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_engineer,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_super_blackhole,iw7_mp_taunt_super_blackhole,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,Y,,,,,,,0.859,0,164
80,iw7_taunt_epic_6,a&LUA_MENU_MP/TAUNT_EPIC_SHIELD_PROTECT,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_heavy,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_super_shield_no_gun,iw7_mp_taunt_super_shield_no_gun,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.829,0,176
81,iw7_taunt_epic_7,a&LUA_MENU_MP/TAUNT_EPIC_C8_FALL,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_killstreak_c8,iw7_mp_taunt_killstreak_c8,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,iw7_mp_taunt_killstreak_c8_synaptic,iw7_mp_taunt_killstreak_c8_synaptic,,,,0.929,0,227
82,iw7_taunt_epic_8,a&LUA_MENU_MP/TAUNT_EPIC_SCORCHER_BLAST,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_killstreak_scorcher,iw7_mp_taunt_killstreak_scorcher,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,iw7_mp_taunt_killstreak_scorcher_synaptic,iw7_mp_taunt_killstreak_scorcher_synaptic,,,,0.909,0,199
83,iw7_taunt_epic_9,a&LUA_MENU_MP/TAUNT_EPIC_CLAW_KILL,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_assault,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_super_warfighter_at_screen,iw7_mp_taunt_super_warfighter_at_screen,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,Y,,,,,,,0.838,0,168
84,iw7_taunt_epic_10,a&LUA_MENU_MP/TAUNT_BIOSPIKE,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_bio_spike,iw7_mp_taunt_bio_spike,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,iw7_mp_taunt_bio_spike_synaptic,iw7_mp_taunt_bio_spike_synaptic,,,,0.81,0,112
85,iw7_taunt_epic_11,a&LUA_MENU_MP/TAUNT_ABDUCTION,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_abduction,IW7_mp_taunt_abduction,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,1,0,301
86,iw7_taunt_epic_12,a&LUA_MENU_MP/TAUNT_LASER_STRIKE,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_killstreak_laser_strike,iw7_mp_taunt_killstreak_laser_strike,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,archetype_scout,iw7_mp_taunt_killstreak_laser_strike_synaptic,iw7_mp_taunt_killstreak_laser_strike_synaptic,,,,0.872,0,157
87,iw7_taunt_epic_13,a&LUA_MENU_MP/TAUNT_ERASER,a&LUA_MENU_MP/TAUNT_PH_DESC,0,archetype_assassin,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_ftl_1st_kills_456,IW7_mp_taunt_ftl_1st_kills_456,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,Y,,,,,IW7_mp_taunt_ftl_2nd_kills_456,IW7_mp_taunt_ftl_3rd_kills_456,1,0,103
88,iw7_taunt_epic_14,a&LUA_MENU_MP_TAUNT_PRAISE_SUN,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,IW7_mp_taunt_face_the_sun,IW7_mp_taunt_face_the_sun,loot,a&LUA_MENU_MP/RIG_SUPPLY_DROP_UNLOCK_DESC,N,,,,,,,0.956,0,163
89,iw7_taunt_team1_rare_1,a&LUA_MENU_MP/TAUNT_WOLVERINES_01,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_mc_wolverines_01,iw7_mp_taunt_mc_wolverines_01,loot,a&LUA_MENU_MP/RIG_MISSION_TEAM_UNLOCK_DESC,N,,,,,,,0.193,0.1,88
90,iw7_taunt_team1_rare_2,a&LUA_MENU_MP/TAUNT_WOLVERINES_02,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_mc_wolverines_02,iw7_mp_taunt_mc_wolverines_02,loot,a&LUA_MENU_MP/RIG_MISSION_TEAM_UNLOCK_DESC,N,,,,,,,0.217,0.072,69
91,iw7_taunt_team1_legendary_1,a&CUSTOMIZE_TAUNT_62,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
92,iw7_taunt_team2_rare_1,a&LUA_MENU_MP/TAUNT_ORION_01,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_mc_orion_01,iw7_mp_taunt_mc_orion_01,loot,a&LUA_MENU_MP/RIG_MISSION_TEAM_UNLOCK_DESC,N,archetype_scout,IW7_mp_taunt_salute01_synaptic,IW7_mp_taunt_salute01_synaptic,,,,0.226,0.12,84
93,iw7_taunt_team2_rare_2,a&LUA_MENU_MP/TAUNT_ORION_02,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_mc_orion_02,iw7_mp_taunt_mc_orion_02,loot,a&LUA_MENU_MP/RIG_MISSION_TEAM_UNLOCK_DESC,N,,,,,,,0.228,0.046,175
94,iw7_taunt_team2_legendary_1,a&CUSTOMIZE_TAUNT_65,a&,0,,mission_team_jtf_wolverines_icon,,,,,a&,N,,,,,,,,,
95,iw7_taunt_team3_rare_1,a&LUA_MENU_MP/TAUNT_SABRE_01,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_mc_sabre_01,iw7_mp_taunt_mc_sabre_01,loot,a&LUA_MENU_MP/RIG_MISSION_TEAM_UNLOCK_DESC,N,archetype_scout,iw7_mp_taunt_mc_sabre_01_synaptic,iw7_mp_taunt_mc_sabre_01_synaptic,,,,0.2778,0.1,90
96,iw7_taunt_team3_rare_2,a&LUA_MENU_MP/TAUNT_SABRE_02,a&LUA_MENU_MP/TAUNT_PH_DESC,0,allRigs,mission_team_jtf_wolverines_icon,,iw7_mp_taunt_mc_sabre_02,iw7_mp_taunt_mc_sabre_02,loot,a&LUA_MENU_MP/RIG_MISSION_TEAM_UNLOCK_DESC,N,archetype_scout,iw7_mp_taunt_mc_sabre_02_synaptic,iw7_mp_taunt_mc_sabre_02_synaptic,,,,0.253,0.14,158
