string,string,string,string,localized_a,string,string,string,string,string,string,int
right_stick_centered,1994,button_stick_right,button_stick_right_ps4,a&INPUT/KB_RIGHT_STICK,1,1,1,1,0.5,,0
ui_left_stick,1995,button_stick_left,button_stick_left_ps4,a&INPUT/KB_LEFT_STICK,1,1,1,1,0.5,,0
ui_right_stick,1996,button_stick_right,button_stick_right_ps4,a&INPUT/KB_RIGHT_STICK,1,1,1,1,0.5,,0
ui_mantle,1997,hud_icon_mantle,,a&,1.5,1.5,1.5,1.5,0.5,,0
dpad_vertical,1998,button_dpad_vertical,button_dpad_vertical_ps4,a&,1,1,0.75,0.75,0.5,,0
ui_home,,,,a&INPUT/KB_HOME_BUTTON,,,,,,,0
ui_ins,,,,a&INPUT/KB_INS_BUTTON,,,,,,,0
ui_del,,,,a&INPUT/KB_DEL_BUTTON,,,,,,,0
ui_mouse_wheel,,,,a&INPUT/MWHEEL_UP_DOWN,,,,,,,0
attribute_pro,1999,weapon_attributes_pro,,a&,1,1,1,1,0.5,,0
attribute_con,2000,weapon_attributes_con,,a&,1,1,1,1,0.5,,0
attachment_warning,2001,ui_attachment_warning,,a&,0.75,0.75,0.75,0.75,0.5,,0
attachment_swap,2002,ui_attachment_swap,,a&,1.5,1.5,1.5,1.5,0.5,,0
attachment_swap,2003,ui_attachment_swap,,a&,1.5,1.5,1.5,1.5,0.5,,0
ui_lock,2004,icon_global_lock,,a&,0.75,0.75,0.75,0.75,0.5,,0
ui_skull,2005,hud_icon_player_dead,,a&,1,1,1,1,0.5,,0
ui_codpoints,2006,icon_currency_codpoints,,a&,1,1,1,1,0.5,,0
ui_uparrow,2010,v_ui_icon_buttonprompt_kbm_direction_up,,a&,1,1,1,1,0.5,,0
ui_downarrow,2011,v_ui_icon_buttonprompt_kbm_direction_down,,a&,1,1,1,1,0.5,,0
ui_leftarrow,2012,v_ui_icon_buttonprompt_kbm_direction_left,,a&,1,1,1,1,0.5,,0
ui_rightarrow,2013,v_ui_icon_buttonprompt_kbm_direction_right,,a&,1,1,1,1,0.5,,0
ui_mouseleftclick,2014,ui_button_kbm_mouseleftclick,,a&,1.5,1.5,1.5,1.5,0.5,ui_button_kbm_mouseleftclick_black,0
ui_mouserightclick,2015,ui_button_kbm_mouserightclick,,a&,1.5,1.5,1.5,1.5,0.5,ui_button_kbm_mouserightclick_black,0
ui_mousemiddleclick,2016,ui_button_kbm_mousemiddleclick,,a&,1.5,1.5,1.5,1.5,0.5,ui_button_kbm_mousemiddleclick_black,0
ui_mouseclick4,2017,ui_button_kbm_mouseclick4,,a&,1.5,1.5,1.5,1.5,0.5,ui_button_kbm_mouseclick4_black,0
ui_mouseclick5,2018,ui_button_kbm_mouseclick5,,a&,1.5,1.5,1.5,1.5,0.5,ui_button_kbm_mouseclick5_black,0
ui_mousewheeldown,2019,ui_button_kbm_mousescrolldown,,a&,1.5,1.5,1.5,1.5,0.5,ui_button_kbm_mousescrolldown_black,0
ui_mousewheelup,2020,ui_button_kbm_mousescrollup,,a&,1.5,1.5,1.5,1.5,0.5,ui_button_kbm_mousescrollup_black,0
ui_mouseicon,2021,ui_button_kbm_mouse,,a&,1.5,1.5,1.5,1.5,0.5,ui_button_kbm_mouse_black,0
ui_voice,2022,icon_mic_talking,,a&,1,1,1,1,0.5,,0
ui_killhouse_ticket,2023,icon_killhouse_ticket,,a&,1,1,1,1,0.5,,0
streak_warning,2024,ui_streak_warning,,a&,1.25,1.25,1.25,1.25,0.5,,0
watch_kills,2025,watch_kills,,a&,0.9,0.9,0.9,0.9,0.5,,0
watch_deaths,2026,watch_deaths,,a&,0.9,0.9,0.9,0.9,0.5,,0
ui_unlocked,2027,ui_font_unlocked,,a&,1,1,1,1,0.5,,0
reward_complete,2028,ui_reward_complete,,a&,0.5,0.5,0.5,0.5,0.5,,0
reward_incomplete,2029,ui_reward_incomplete,,a&,0.5,0.5,0.5,0.5,0.5,,0
ui_reset,2030,icon_swap,,a&,1,1,1,1,0.5,,0
ui_underbarrel_grenade,2031,icon_attachment_ub_gl01_v0,,a&,1.5,1.5,1.5,1.5,0.5,,0
ui_underbarrel_shotgun,2032,icon_attachment_masterkey01,,a&,1.5,1.5,1.5,1.5,0.5,,0
ui_mousewheelupdown,2033,ui_button_kbm_mousescrollupdown,,a&,1.5,1.5,1.5,1.5,0.5,ui_button_kbm_mousescrollupdown_black,0
ui_mouseleftclickpan,2034,ui_button_kbm_mouseleftclick_pan,,a&,1.75,1.75,1.75,1.75,0.5,ui_button_kbm_mouseleftclick_black,0
ui_codkey,2035,icon_currency_key,,a&,1.5,1.5,1.5,1.5,0.5,,0
watch_headshots,2036,watch_headshots,,a&,0.9,0.9,0.9,0.9,0.5,,0
ui_party,2037,icon_playlist_team,,a&,1,1,1,1,0.5,,0
ui_attachment_variant,2038,icon_menu_variant,,a&,0.85,0.85,0.85,0.85,0.5,,0
ui_mychanges_ok,2039,icon_mychanges_ok,,a&,1,1,1,1,0.5,,0
ui_mychanges_reload,2040,icon_mychanges_reload,,a&,1,1,1,1,0.5,,0
ui_mychanges_restart,2041,icon_mychanges_restart,,a&,1,1,1,1,0.5,,0
ui_mychanges_warn,2042,icon_mychanges_warn,,a&,1,1,1,1,0.5,,0
mantle_ladder,2043,hud_icon_mantle_ladder,,a&,2,2,2,2,0.2,,0
slide_ladder,2044,hud_icon_slide_ladder,,a&,2,2,2,2,0.2,,0
killstreak_auto_drone,2045,icon_killstreak_auto_drone_small,,a&,1,1,1,1,0.5,,0
killstreak_hover_jet,2046,icon_killstreak_hover_jet_small,,a&,1,1,1,1,0.5,,0
killstreak_wheelson,2047,icon_killstreak_wheelson_small,,a&,1,1,1,1,0.5,,0
ui_backspace,2048,v_ui_icon_buttonprompt_kbm_backspace,,a&,1,1,1,1,0.5,,0
ui_system,2049,v_ui_icon_buttonprompt_kbm_consoleoskey,,a&,1,1,1,1,0.5,,0
ui_enter,2050,v_ui_icon_buttonprompt_kbm_enter,,a&,1,1,1,1,0.5,,0
ui_indicator_left,2051,v_ui_icon_buttonprompt_kbm_indicator_left,,a&,1,1,1,1,0.5,,0
ui_indicator_right,2052,v_ui_icon_buttonprompt_kbm_indicator_right,,a&,1,1,1,1,0.5,,0
ui_lock,2053,icon_global_lock,,a&,1,1,1,1,0.5,,0
ui_menu,2054,v_ui_icon_buttonprompt_kbm_menukey,,a&,1,1,1,1,0.5,,0
ui_numpad,2055,v_ui_icon_buttonprompt_kbm_numpad,,a&,1,1,1,1,0.5,,0
ui_page_down,2056,v_ui_icon_buttonprompt_kbm_page_down,,a&,1,1,1,1,0.5,,0
ui_page_up,2057,v_ui_icon_buttonprompt_kbm_page_up,,a&,1,1,1,1,0.5,,0
ui_pause,2058,v_ui_icon_buttonprompt_kbm_pause,,a&,1,1,1,1,0.5,,0
ui_spacebar,2059,v_ui_icon_buttonprompt_kbm_spacebar,,a&,1,1,1,1,0.5,,0
mantle_hang,2060,hud_icon_prompt_hang,,a&,2,2,2,2,0.2,,0
ui_icons_zombie_heart,2061,ui_icons_zombie_heart,,a&,1,1,1,1,0.5,,0
ui_icons_zombie_essence,2062,ui_icons_zombie_essence,,a&,1,1,1,1,0.5,,0
ui_icons_zombie_salvage,2063,ui_icons_zombie_salvage_white_rare,,a&,1,1,1,1,0.5,,0
ui_font_search,2064,ui_font_search,,a&,1,1,1,1,1,,0
ui_vehicle_skin,2065,icon_vehicle_skin,,a&,1,1,1,1,0.5,,0
ui_vehicle_horn,2066,icon_vehicle_horn,,a&,1,1,1,1,0.5,,0
ui_vehicle_battle_track,2067,icon_vehicle_battle_track,,a&,1,1,1,1,0.5,,0
ui_icon_damage_fire,2068,ui_icons_elementaldamage_fire,,a&,1,1,1,1,0.5,,0
ui_icon_damage_explosive,2069,ui_icons_elementaldamage_explosive,,a&,1,1,1,1,0.5,,0
ui_icon_damage_toxic,2070,ui_icons_elementaldamage_toxic,,a&,1,1,1,1,0.5,,0
ui_icon_damage_electrical,2071,ui_icons_elementaldamage_electrical,,a&,1,1,1,1,0.5,,0
ui_icon_damage_cold,2072,ui_icons_elementaldamage_cold,,a&,1,1,1,1,0.5,,0
leagueplay_skill_rating,2073,iw9_ui_icon_leagueplay_skill_rating,,a&,1,1,1,1,0.5,,0
leagueplay_star_filled,2074,iw9_ui_icon_leagueplay_star_filled,,a&,1,1,1,1,0.5,,0
ui_button_dpad_vertical,2075,button_dpad_vertical,,a&,1,1,1,1,0.5,,0
ui_large_hollow_lock,2076,icon_generic_lock_hollow_large,,a&,0.525,0.525,0.525,0.525,0.5,,0
button_stick_horizontal_r,2077,button_stick_horizontal_r,,a&,1.5,1.5,1.5,1.5,0.5,,0
ui_font_keyboard,2078,ui_font_keyboard,,a&,1.45,1.45,1.45,1.45,0.6,,0
icon_mic_talking,2079,icon_mic_talking,,a&,1,1,1,1,1,,0
icon_global_quit,2080,ui_icon_global_quit,,a&,1,1,1,1,0.5,,0
ui_font_bullet_point,2081,ui_font_bullet_point,,a&,0.35,0.35,0.35,0.35,0.5,,0
ui_icon_section_favorite,2082,ui_icon_section_favorite,,a&,1,1,1,1,1,,0
mgl_ui_flair_icn_mw2_limited_fnt,2083,mgl_ui_flair_icn_mw2_limited_fnt,,a&,1,1,1,1,0.5,,0
mgl_ui_flair_icn_wz2_limited_fnt,2084,mgl_ui_flair_icn_wz2_limited_fnt,,a&,1,1,1,1,0.5,,0
mgl_ui_rarity_icn_common_fnt,2085,mgl_ui_rarity_icn_common_fnt,,a&,1,1,1,1,0.5,,0
mgl_ui_rarity_icn_connected_fnt,2086,mgl_ui_rarity_icn_connected_fnt,,a&,1,1,1,1,0.5,,0
mgl_ui_rarity_icn_epic_fnt,2087,mgl_ui_rarity_icn_epic_fnt,,a&,1,1,1,1,0.5,,0
mgl_ui_rarity_icn_legendary_fnt,2088,mgl_ui_rarity_icn_legendary_fnt,,a&,1,1,1,1,0.5,,0
mgl_ui_rarity_icn_rare_fnt,2089,mgl_ui_rarity_icn_rare_fnt,,a&,1,1,1,1,0.5,,0
mgl_ui_rarity_icn_uncommon_fnt,2090,mgl_ui_rarity_icn_uncommon_fnt,,a&,1,1,1,1,0.5,,0
mgl_ui_icon_rarity_information_fnt,2091,mgl_ui_icon_rarity_information_fnt,,a&,1,1,1,1,0.5,,0
ui_button_kbm_mouseleftclick_rotate,2092,ui_button_kbm_mouseleftclick_rotate,,a&,1,1,1,1,0.3,,0
leagueplay_skill_rating_knockout,2093,ui_icon_leagueplay_skill_rating_knockout,,a&,1,1,1,1,0.5,,0
mgl_ui_icon_checkmark_fnt,2094,mgl_ui_icon_checkmark_fnt,,a&,1,1,1,1,0.5,,0
leagueplay_skill_rating_inverted,2095,ui_icon_leagueplay_skill_rating_inverted,,a&,1,1,1,1,0.5,,0
mgl_ui_icon_clock_fnt,2096,mgl_ui_icon_clock_fnt,,a&,1,1,1,1,0.5,,0
ui_font_arrow_left,2097,ui_font_arrow_left,,a&,0.85,0.85,0.85,0.85,0.5,,0
ui_font_arrow_right,2098,ui_font_arrow_right,,a&,0.85,0.85,0.85,0.85,0.5,,0
mgl_ui_rarity_icn_connected_mainline_fnt,2099,mgl_ui_rarity_icn_connected_mainline_fnt,,a&,1,1,1,1,0.5,,0
3arc,2280,clantag_3arc,,a&,1.1,1.1,1.1,1.1,0.5,,0
atvi,2281,clantag_atvi,,a&,0.85,0.85,0.85,0.85,0.5,,0
blizz,2282,clantag_blizz,,a&,0.85,0.85,0.85,0.85,0.5,,0
bnox,2283,clantag_bnox,,a&,1,1,1,1,0.5,,0
dl,2284,clantag_dl,,a&,1.1,1.1,1.1,1.1,0.5,,0
dw,2285,clantag_dw,,a&,1.1,1.1,1.1,1.1,0.5,,0
hms,2286,clantag_hms,,a&,1.1,1.1,1.1,1.1,0.5,,0
iw,2287,clantag_iw,,a&,1.1,1.1,1.1,1.1,0.5,,0
king,2288,clantag_king,,a&,0.85,0.85,0.85,0.85,0.5,,0
rvn,2289,clantag_rvn,,a&,1,1,1,1,0.5,,0
shg,2290,clantag_shg,,a&,1,1,1,1,0.5,,0
sss,2291,clantag_sss,,a&,1,1,1,1,0.5,,0
tfb,2292,clantag_tfb,,a&,1,1,1,1,0.5,,0
vv,2293,clantag_vv,,a&,1,1,1,1,0.5,,0
ui_font_dmz,2294,ui_font_dmz,,a&,1,1,1,1,0.5,,0
ui_font_dmz_cooldown,2295,ui_font_dmz_cooldown,,a&,1,1,1,1,0.5,,0
ui_select_backbone,2296,button_select_backbone,,a&,1,1,1,1,0.5,,0
ui_bp_token,2297,ui_bp_meta_data_icon_token,,a&,1,1,1,1,0.5,,0
ui_font_dmz_warp,2298,ui_font_dmz_warp,,a&,0.8,0.8,0.8,0.8,0.1,,0
ui_font_caution_warning,2299,ui_font_caution_warning,,a&,1,1,1,1,0.5,,0
sha,2300,clantag_sha,,a&,1,1,1,1,0.5,,0
ui_font_universal_wrap,2301,ui_font_universal_wrap,,a&,1,1,1,1,0.5,,0
