string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
1,starlight_western_a,1,iw9_fe_op_female_bundle_idle_01,iw9_fe_op_female_bundle_idle_02,iw9_fe_op_female_bundle_idle_03,iw9_fe_op_female_bundle_idle_04,iw9_fe_op_female_bundle_turn_l_02,iw9_fe_op_female_bundle_turn_l_03,iw9_fe_op_female_bundle_turn_l_04,iw9_fe_op_female_bundle_turn_l_01,iw9_fe_op_female_bundle_turn_r_01,iw9_fe_op_female_bundle_turn_r_02,iw9_fe_op_female_bundle_turn_r_03,iw9_fe_op_female_bundle_turn_r_04
1,starlight_western_a,0,iw9_fe_op_female_sl_bundle_idle_01,iw9_fe_op_female_sl_bundle_idle_02,iw9_fe_op_female_sl_bundle_idle_03,iw9_fe_op_female_sl_bundle_idle_04,iw9_fe_op_female_sl_bundle_turn_l_02,iw9_fe_op_female_sl_bundle_turn_l_03,iw9_fe_op_female_sl_bundle_turn_l_04,iw9_fe_op_female_sl_bundle_turn_l_01,iw9_fe_op_female_sl_bundle_turn_r_01,iw9_fe_op_female_sl_bundle_turn_r_02,iw9_fe_op_female_sl_bundle_turn_r_03,iw9_fe_op_female_sl_bundle_turn_r_04
0,hellsing_western_a,1,iw9_fe_op_male_bundle_idle_01,iw9_fe_op_male_bundle_idle_02,iw9_fe_op_male_bundle_idle_03,iw9_fe_op_male_bundle_idle_04,iw9_fe_op_male_bundle_turn_l_02,iw9_fe_op_male_bundle_turn_l_03,iw9_fe_op_male_bundle_turn_l_04,iw9_fe_op_male_bundle_turn_l_01,iw9_fe_op_male_bundle_turn_r_01,iw9_fe_op_male_bundle_turn_r_02,iw9_fe_op_male_bundle_turn_r_03,iw9_fe_op_male_bundle_turn_r_04
0,hellsing_western_a,0,iw9_fe_op_male_bn_bundle_idle_01,iw9_fe_op_male_bn_bundle_idle_02,iw9_fe_op_male_bn_bundle_idle_03,iw9_fe_op_male_bn_bundle_idle_04,iw9_fe_op_male_bn_bundle_turn_l_02,iw9_fe_op_male_bn_bundle_turn_l_03,iw9_fe_op_male_bn_bundle_turn_l_04,iw9_fe_op_male_bn_bundle_turn_l_01,iw9_fe_op_male_bn_bundle_turn_r_01,iw9_fe_op_male_bn_bundle_turn_r_02,iw9_fe_op_male_bn_bundle_turn_r_03,iw9_fe_op_male_bn_bundle_turn_r_04
0,inarius_western_a,1,iw9_fe_op_male_bundle_idle_01,iw9_fe_op_male_bundle_idle_02,iw9_fe_op_male_bundle_idle_03,iw9_fe_op_male_bundle_idle_04,iw9_fe_op_male_bundle_turn_l_02,iw9_fe_op_male_bundle_turn_l_03,iw9_fe_op_male_bundle_turn_l_04,iw9_fe_op_male_bundle_turn_l_01,iw9_fe_op_male_bundle_turn_r_01,iw9_fe_op_male_bundle_turn_r_02,iw9_fe_op_male_bundle_turn_r_03,iw9_fe_op_male_bundle_turn_r_04
0,inarius_western_a,0,iw9_fe_op_male_bn_bundle_idle_01,iw9_fe_op_male_bn_bundle_idle_02,iw9_fe_op_male_bn_bundle_idle_03,iw9_fe_op_male_bn_bundle_idle_04,iw9_fe_op_male_bn_bundle_turn_l_02,iw9_fe_op_male_bn_bundle_turn_l_03,iw9_fe_op_male_bn_bundle_turn_l_04,iw9_fe_op_male_bn_bundle_turn_l_01,iw9_fe_op_male_bn_bundle_turn_r_01,iw9_fe_op_male_bn_bundle_turn_r_02,iw9_fe_op_male_bn_bundle_turn_r_03,iw9_fe_op_male_bn_bundle_turn_r_04
0,skeletor_eastern_a,1,iw9_fe_op_male_bundle_idle_01,iw9_fe_op_male_bundle_idle_02,iw9_fe_op_male_bundle_idle_03,iw9_fe_op_male_bundle_idle_04,iw9_fe_op_male_bundle_turn_l_02,iw9_fe_op_male_bundle_turn_l_03,iw9_fe_op_male_bundle_turn_l_04,iw9_fe_op_male_bundle_turn_l_01,iw9_fe_op_male_bundle_turn_r_01,iw9_fe_op_male_bundle_turn_r_02,iw9_fe_op_male_bundle_turn_r_03,iw9_fe_op_male_bundle_turn_r_04
0,skeletor_eastern_a,0,iw9_fe_op_male_bn_bundle_idle_01,iw9_fe_op_male_bn_bundle_idle_02,iw9_fe_op_male_bn_bundle_idle_03,iw9_fe_op_male_bn_bundle_idle_04,iw9_fe_op_male_bn_bundle_turn_l_02,iw9_fe_op_male_bn_bundle_turn_l_03,iw9_fe_op_male_bn_bundle_turn_l_04,iw9_fe_op_male_bn_bundle_turn_l_01,iw9_fe_op_male_bn_bundle_turn_r_01,iw9_fe_op_male_bn_bundle_turn_r_02,iw9_fe_op_male_bn_bundle_turn_r_03,iw9_fe_op_male_bn_bundle_turn_r_04
1,lilith_eastern_a,1,iw9_fe_op_female_bundle_idle_01,iw9_fe_op_female_bundle_idle_02,iw9_fe_op_female_bundle_idle_03,iw9_fe_op_female_bundle_idle_04,iw9_fe_op_female_bundle_turn_l_02,iw9_fe_op_female_bundle_turn_l_03,iw9_fe_op_female_bundle_turn_l_04,iw9_fe_op_female_bundle_turn_l_01,iw9_fe_op_female_bundle_turn_r_01,iw9_fe_op_female_bundle_turn_r_02,iw9_fe_op_female_bundle_turn_r_03,iw9_fe_op_female_bundle_turn_r_04
1,lilith_eastern_a,0,iw9_fe_op_female_lilith_bundle_idle_01,iw9_fe_op_female_lilith_bundle_idle_02,iw9_fe_op_female_lilith_bundle_idle_03,iw9_fe_op_female_lilith_bundle_idle_04,iw9_fe_op_female_lilith_bundle_turn_l_02,iw9_fe_op_female_lilith_bundle_turn_l_03,iw9_fe_op_female_lilith_bundle_turn_l_04,iw9_fe_op_female_lilith_bundle_turn_l_01,iw9_fe_op_female_lilith_bundle_turn_r_01,iw9_fe_op_female_lilith_bundle_turn_r_02,iw9_fe_op_female_lilith_bundle_turn_r_03,iw9_fe_op_female_lilith_bundle_turn_r_04
0,dune_eastern_a,1,iw9_fe_op_male_bundle_idle_01,iw9_fe_op_male_bundle_idle_02,iw9_fe_op_male_bundle_idle_03,iw9_fe_op_male_bundle_idle_04,iw9_fe_op_male_bundle_turn_l_02,iw9_fe_op_male_bundle_turn_l_03,iw9_fe_op_male_bundle_turn_l_04,iw9_fe_op_male_bundle_turn_l_01,iw9_fe_op_male_bundle_turn_r_01,iw9_fe_op_male_bundle_turn_r_02,iw9_fe_op_male_bundle_turn_r_03,iw9_fe_op_male_bundle_turn_r_04
0,dune_eastern_a,0,iw9_fe_op_male_bn_bundle_idle_01,iw9_fe_op_male_bn_bundle_idle_02,iw9_fe_op_male_bn_bundle_idle_03,iw9_fe_op_male_bn_bundle_idle_04,iw9_fe_op_male_bn_bundle_turn_l_02,iw9_fe_op_male_bn_bundle_turn_l_03,iw9_fe_op_male_bn_bundle_turn_l_04,iw9_fe_op_male_bn_bundle_turn_l_01,iw9_fe_op_male_bn_bundle_turn_r_01,iw9_fe_op_male_bn_bundle_turn_r_02,iw9_fe_op_male_bn_bundle_turn_r_03,iw9_fe_op_male_bn_bundle_turn_r_04
0,skeletor_eastern_b,1,iw9_fe_op_male_bundle_idle_01,iw9_fe_op_male_bundle_idle_02,iw9_fe_op_male_bundle_idle_03,iw9_fe_op_male_bundle_idle_04,iw9_fe_op_male_bundle_turn_l_02,iw9_fe_op_male_bundle_turn_l_03,iw9_fe_op_male_bundle_turn_l_04,iw9_fe_op_male_bundle_turn_l_01,iw9_fe_op_male_bundle_turn_r_01,iw9_fe_op_male_bundle_turn_r_02,iw9_fe_op_male_bundle_turn_r_03,iw9_fe_op_male_bundle_turn_r_04
0,skeletor_eastern_b,0,iw9_fe_op_male_bn_bundle_idle_01,iw9_fe_op_male_bn_bundle_idle_02,iw9_fe_op_male_bn_bundle_idle_03,iw9_fe_op_male_bn_bundle_idle_04,iw9_fe_op_male_bn_bundle_turn_l_02,iw9_fe_op_male_bn_bundle_turn_l_03,iw9_fe_op_male_bn_bundle_turn_l_04,iw9_fe_op_male_bn_bundle_turn_l_01,iw9_fe_op_male_bn_bundle_turn_r_01,iw9_fe_op_male_bn_bundle_turn_r_02,iw9_fe_op_male_bn_bundle_turn_r_03,iw9_fe_op_male_bn_bundle_turn_r_04
0,skeletor_eastern_c,1,iw9_fe_op_male_bundle_idle_01,iw9_fe_op_male_bundle_idle_02,iw9_fe_op_male_bundle_idle_03,iw9_fe_op_male_bundle_idle_04,iw9_fe_op_male_bundle_turn_l_02,iw9_fe_op_male_bundle_turn_l_03,iw9_fe_op_male_bundle_turn_l_04,iw9_fe_op_male_bundle_turn_l_01,iw9_fe_op_male_bundle_turn_r_01,iw9_fe_op_male_bundle_turn_r_02,iw9_fe_op_male_bundle_turn_r_03,iw9_fe_op_male_bundle_turn_r_04
0,skeletor_eastern_c,0,iw9_fe_op_male_bn_bundle_idle_01,iw9_fe_op_male_bn_bundle_idle_02,iw9_fe_op_male_bn_bundle_idle_03,iw9_fe_op_male_bn_bundle_idle_04,iw9_fe_op_male_bn_bundle_turn_l_02,iw9_fe_op_male_bn_bundle_turn_l_03,iw9_fe_op_male_bn_bundle_turn_l_04,iw9_fe_op_male_bn_bundle_turn_l_01,iw9_fe_op_male_bn_bundle_turn_r_01,iw9_fe_op_male_bn_bundle_turn_r_02,iw9_fe_op_male_bn_bundle_turn_r_03,iw9_fe_op_male_bn_bundle_turn_r_04
