string,string,string,string,string,string,string,string,string,string,string,string,string,string,int
Risk_Circle_team_three,,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_2,BRMapItemColor.mapItemColor_2,0
Risk_Circle_team_four,,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_6,BRMapItemColor.mapItemColor_6,0
Risk_Circle_defcon,,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_0,BRMapItemColor.mapItemColor_0,0
Hostage_Dmz,,0,0,0,0,0,1,0.25,1,1,1,Global.keyColorDark,Global.keyColorDark,0
Boss_Dmz,,0,1,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_1_brCircle,BRMapItemColor.mapItemColor_1_brCircle,0
Boss_Dmz_Rat,,0,1,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_1_brCircle,BRMapItemColor.mapItemColor_1_brCircle,0
SupplyDrop_Dmz,ui_map_icon_cash_drop,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_4,BRMapItemColor.mapItemColor_4,0
Radiation_Dmz,ui_map_icon_dmz_radiation,0,1,1,0,0,1,0.5,1,3,0,IW9StyleGuide.styleGuideFeatured01,WZStyleGuide.wzStyleGuideRadioactive,0
Radiation_SM_Dmz,ui_map_icon_dmz_radiation,0,1,1,0,0,1,0.5,1,1,0,IW9StyleGuide.styleGuideFeatured01,WZStyleGuide.wzStyleGuideRadioactive,0
DogTagObj_Dmz,,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_1,BRMapItemColor.mapItemColor_1,0
Dataheist_Br,,0,1,0,0,0,2,0.25,1,1,1,BRMapItemColor.mapItemColor_4,BRMapItemColor.mapItemColor_4,0
Defender_Cp,,0,1,1,1,0,1,0.8,1,1,1,BRMapItemColor.mapItemColor_8,BRMapItemColor.mapItemColor_8,0
Boss_Focus_Dmz,ui_map_icon_dmz_weapon_search,0,0,1,0,0,3,0.8,2,6,0,WZStyleGuide.wzStyleGuideElite,WZStyleGuide.wzStyleGuideElite,0
Boss_Focus_SM_Dmz,ui_map_icon_dmz_weapon_search,0,0,1,0,0,3,0.8,1,1,1,WZStyleGuide.wzStyleGuideElite,WZStyleGuide.wzStyleGuideElite,0
Beryllium_Br,hud_icon_objective_elite_beryllium,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_4,BRMapItemColor.mapItemColor_4,0
Plutonium_Br,hud_icon_objective_elite_plutonium,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_4,BRMapItemColor.mapItemColor_4,0
Tritium_Br,hud_icon_objective_elite_tritium,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_4,BRMapItemColor.mapItemColor_4,0
Deuterium_Br,hud_icon_objective_elite_deuterium,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_4,BRMapItemColor.mapItemColor_4,0
Gallium_Br,hud_icon_objective_elite_gallium,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_4,BRMapItemColor.mapItemColor_4,0
Neptunium_Br,hud_icon_objective_elite_neptunium,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_4,BRMapItemColor.mapItemColor_4,0
Camp_Detection_Rumble,,2,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_11,BRMapItemColor.mapItemColor_11,0
Double_Point_Zone_Rumble,,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_2,BRMapItemColor.mapItemColor_2,0
Dom_Flag_Rumble,,0,0,0,0,0,0,0.25,1,1,1,BRMapItemColor.mapItemColor_0,BRMapItemColor.mapItemColor_0,0
Decon_Station_Br,,0,0,0,0,0,3,0.25,1,1,1,BRMapItemColor.mapItemColor_2,BRMapItemColor.mapItemColor_1_brCircle,0
Prematch_Preview_Safe_Circle_BR,,0,0,0,0,0,0,0.25,1,1,1,BRMapItemColor.mapItemColor_0,BRMapItemColor.mapItemColor_0,0
Prematch_Preview_Danger_Circle_BR,,0,0,0,0,0,0,0.25,1,1,1,BRMapItemColor.mapItemColor_1_brCircle,BRMapItemColor.mapItemColor_1_brCircle,0
active_uav_tower_radius,,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_1,BRMapItemColor.mapItemColor_1,0
TempV_Br,hud_icon_power_temp_v,1,0,1,1,0,1,0.8,1,1,1,BRMapItemColor.mapItemColor_1_brCircle,BRMapItemColor.mapItemColor_1_brCircle,0
Bounty_DMZ,,0,0,0,0,0,1,0.25,1,1,1,BRMapItemColor.mapItemColor_1_brCircle,BRMapItemColor.mapItemColor_1_brCircle,0
missile_silo_marker,,0,0,0,0,0,1,0,1,1,1,BRMapItemColor.mapItemColor_1_brCircle,BRMapItemColor.mapItemColor_1_brCircle,0
Boss_Dmz_Mummyddos,,0,0,0,0,0,3,0.25,1,1,1,BRMapItemColor.mapItemColor_1,BRMapItemColor.mapItemColor_1,0
Boss_Swampmonster_Circle,,0,0,0,0,0,3,0.8,2,6,0,WZStyleGuide.wzStyleGuideElite,WZStyleGuide.wzStyleGuideElite,0
