string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int
setchancecol,mp/loot/br/delta/dmz/lootset_shoppingcenter.csv,28,,# shoppingcenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_stadium.csv,29,,# stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_fleamarket.csv,30,,# fleamarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_gasstation.csv,31,,# gasstation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_secretarmory.csv,32,,# secretarmory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/dmz/lootset_cash_machine.csv,33,,# cash_machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
tagReject,nodmz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
tagReject,sealion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
tagReject,biolab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
tagReject,saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
tagReject,sabacrashsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
tagReject,biobunker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
rollChance,ammo,,0,0,0,0,0,50,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,health,,0,0,0,0,0,100,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,plunder,,1,1,1,40,0,0,2,2,20,0,25,25,25,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,4,0,99,0
rollChance,killstreak,,0,0,0,0,0,0,100,0,10,0,7,8,9,0,0,0,1,1,1,2,3,1,1,1,1,1,1,3,0,0,1,0
rollChance,lethal,,0,0,0,20,0,20,13,13,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
rollChance,tactical,,0,0,0,40,0,20,20,20,200,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,16,0,0,0
rollChance,super,,0,0,0,0,0,0,10,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,weapon,,0,0,0,0,0,1,6,3,10,0,10,12,16,1,1,1,2,5,1,2,8,1,1,1,1,1,1,2,0,0,0,0
rollChance,gear,,0,0,0,0,0,0,0,4,80,0,5,8,10,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
rollChance,revive,,0,0,0,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,tablet,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,keycard,,0,0,0,0,0,0,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,key,,0,0,0,0,0,1,8,1,8,0,5,6,7,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0
rollChance,valuable,,35,0,0,16,0,200,0,0,5,25,25,25,25,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,6,35,0,0
rollChance,xp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,activitystarter,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,10,0,0,0
rollChance,attachment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,mission,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rollChance,personal,,0,0,0,4,0,20,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0
rollChance,gascan,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
rollChance,plate_carrier,,0,10,10,0,0,0,10,6,6,0,5,10,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
rollChance,disguise,,0,0,0,0,0,0,10,1,6,0,5,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_ammo_12g,,0,0,15,15,0,15,15,15,15,15,15,15,15,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0
item,brloot_ammo_50cal,,0,0,23,23,0,23,23,23,23,23,23,23,23,0,0,0,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0
item,brloot_ammo_762,,0,0,30,30,0,30,30,30,30,30,30,30,30,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0
item,brloot_ammo_919,,0,0,23,23,0,23,23,23,23,23,23,23,23,0,0,0,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0
item,brloot_ammo_rocket,,0,0,9,9,0,9,9,9,9,9,9,9,9,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0
item,brloot_equip_gasmask,,0,0,0,0,0,0,0,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_equip_gasmask_durable,,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_equip_gasmask_scuba,,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
item,brloot_equip_iodine_pills,,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_backpack_medium,,0,0,0,0,0,0,0,10,0,50,50,25,25,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,10,0,0,0
item,brloot_backpack_large,,0,0,0,0,0,0,0,1,10,0,25,25,50,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,5,0,0,0
item,brloot_plate_carrier_2,,0,10,10,0,0,0,0,10,25,10,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
item,brloot_plate_carrier_3,,0,2,2,0,0,0,0,0,75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_self_revive,,1,1,1,1,0,1,1,100,100,100,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_offhand_atmine,,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_offhand_claymore,,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_offhand_c4,,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_offhand_frag,,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_offhand_molotov,,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_offhand_semtex,,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_offhand_thermite,,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_offhand_throwingknife,,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_offhand_bunkerbuster,,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
tagChance,0&tactical,,0,0,0,0,0,50,45,45,0,50,50,10,10,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0
tagChance,1&tactical,,0,0,0,0,0,30,30,30,5,30,30,50,30,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0
tagChance,2&tactical,,0,0,0,0,0,20,20,20,10,20,20,30,50,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0
tagChance,3&tactical,,0,0,0,0,0,0,10,10,40,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_health_adrenaline,,0,0,0,50,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_offhand_binoculars,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0
item,brloot_offhand_geigercounter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_offhand_magsnap,,0,0,0,50,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_offhand_taccover,,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_offhand_trophysystem,,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_killstreak_recondrone,,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_super_deadsilence,,0,0,0,0,0,0,5,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_super_munitionsbox,,0,0,0,0,0,0,4,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_super_armorbox,,0,0,0,0,0,0,4,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_super_emppulse,,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_super_battlerage,,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_super_tacticalcamera,,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_super_stimpistol,,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_super_hauntedbox,,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
tagChance,0&weapon,,0,0,0,0,0,300,30,40,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
tagChance,1&weapon,,0,0,0,0,0,400,35,30,15,0,10,0,0,5,0,0,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,0
tagChance,2&weapon,,0,0,0,0,0,200,20,20,40,0,20,30,10,10,20,5,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0
tagChance,3&weapon,,0,0,0,0,0,100,10,10,20,0,40,50,20,40,50,10,0,0,0,0,5,0,0,0,0,0,0,40,0,0,0,0
tagChance,4&weapon,,0,0,0,0,0,1,5,1,2,0,0,5,40,0,5,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tagChance,health,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
item,brloot_plunder_cash_common_1,,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,3,0,5,0,0,0,0
item,brloot_plunder_cash_uncommon_1,,0,0,0,50,0,30,0,20,0,0,0,0,0,0,0,0,15,15,5,0,0,10,0,0,0,10,15,15,0,0,80,0
item,brloot_plunder_cash_uncommon_2,,0,0,0,35,0,40,0,30,0,0,0,0,0,0,0,0,5,10,2,0,0,5,0,0,0,20,5,5,0,0,15,0
item,brloot_plunder_cash_uncommon_3,,0,0,0,15,0,30,50,30,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
item,brloot_plunder_cash_rare_1,,0,0,0,0,0,10,50,10,20,0,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
item,brloot_plunder_cash_rare_2,,0,0,0,0,0,0,0,0,30,0,50,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_epic_1,,0,0,0,0,0,0,0,0,30,0,10,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_epic_2,,0,0,0,0,0,0,0,0,10,0,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_plunder_cash_legendary_1,,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagChance,dmzSmallPower&killstreak,,0,0,0,0,0,0,0,20,30,0,30,20,10,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,30,0
tagChance,dmzMediumPower&killstreak,,0,0,0,0,0,0,0,20,20,0,20,40,20,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,20,0
tagChance,dmzHighPower&killstreak,,0,0,0,0,0,0,0,20,5,0,5,10,20,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,10,0
item,brloot_access_card_blue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_green,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_red,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_blue_stadium_parking,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_blue_stadium_executive,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_access_card_blue_stadium_concourse,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,loot_key_fortress,,0,0,0,0,0,0,40,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagChance,0&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagChance,1&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagChance,2&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagChance,3&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tagChance,4&noDrop,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_valuable_harddrive,,1,0,0,0,0,30,0,0,0,0,6,3,1,0,0,0,10,10,6,6,6,6,6,6,6,6,6,6,0,1,0,0
item,brloot_valuable_goldbar,,1,0,0,0,0,0,0,0,0,0,4,8,10,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
item,brloot_valuable_laptop,,5,0,0,5,0,100,0,0,0,0,5,5,5,0,0,0,10,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0
item,brloot_valuable_liquor,,15,0,0,10,0,10,0,0,0,0,5,4,2,0,0,0,5,0,5,5,5,5,5,5,5,15,15,15,5,15,0,0
item,brloot_valuable_importedtea,,20,0,0,15,0,0,0,0,0,0,4,3,2,0,0,0,4,6,4,4,4,4,4,4,4,15,15,15,8,20,0,0
item,brloot_valuable_mre,,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
item,brloot_valuable_soothinglotion,,5,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,15,15,0,0,0,15,0,0,0,0,5,0,0
item,brloot_valuable_wine,,20,0,0,1,0,0,0,0,0,0,5,5,5,0,0,0,5,5,5,5,5,5,5,5,5,25,25,25,5,20,0,0
item,brloot_valuable_wine_aged,,7,0,0,0,0,5,0,0,0,0,2,2,3,0,0,0,2,2,2,2,2,2,2,2,2,10,10,10,2,7,0,0
item,brloot_valuable_wine_vintage,,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,1,0,0
item,brloot_valuable_freshwater,,15,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,20,20,20,25,20,20,20,0,15,0,0
item,brloot_valuable_cannedfood,,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,5,10,20,0,0
item,brloot_valuable_comicbook,,25,0,0,10,0,30,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
item,brloot_valuable_bandage,,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,25,25,0,0,25,25,25,0,0,0,0,0,15,0,0
item,brloot_valuable_battery,,16,0,0,10,0,50,0,0,0,0,0,0,0,0,0,0,2,2,2,15,15,2,2,2,15,0,0,0,0,16,0,0
item,brloot_valuable_game_console,,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
item,brloot_valuable_lightbulb,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,10,10,0,0,0,0,0,5,0,0
item,brloot_valuable_toothpaste,,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,5,0,0
item,brloot_valuable_watch,,10,0,0,10,0,50,0,0,0,0,5,2,1,0,0,0,15,15,15,5,5,15,15,25,5,5,5,5,5,10,0,0
item,brloot_valuable_wrench,,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
item,brloot_valuable_lighter,,15,0,0,15,0,50,0,0,0,0,5,2,1,0,0,0,15,15,15,5,5,15,15,15,5,15,15,15,5,15,0,0
item,brloot_valuable_thumb_drive,,8,0,0,10,0,100,0,0,0,0,5,2,1,0,0,0,13,25,20,5,5,20,30,30,5,10,10,10,5,8,0,0
item,brloot_valuable_electrical_tape,,8,0,0,10,0,30,0,0,0,0,5,2,1,0,0,0,5,5,5,15,15,5,5,5,15,5,5,5,5,8,0,0
item,brloot_valuable_screwdriver,,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,10,0,0,0,10,0,0,0,0,8,0,0
item,brloot_valuable_gold_skull,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_valuable_blow_torch,,5,0,0,10,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,10,10,1,1,1,10,1,1,1,1,5,0,0
item,brloot_valuable_car_battery,,10,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,2,2,4,15,15,4,4,4,15,4,4,4,8,10,0,0
item,brloot_valuable_jumper_cables,,6,0,0,10,0,0,0,0,0,0,2,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,10,6,0,0
item,brloot_valuable_vcr,,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,1,6,4,8,8,4,4,4,8,4,4,4,4,0,0,0
item,brloot_planning_diagram_2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_planning_diagram_3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_planning_image_1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_planning_image_2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_planning_image_3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_valuable_folder,,5,0,0,10,0,200,0,0,0,0,10,6,5,0,0,0,10,12,12,12,10,12,12,12,8,4,4,4,0,5,0,0
item,brloot_valuable_folder_sensitive,,1,0,0,5,0,100,0,0,1,0,3,3,3,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_valuable_folder_classified,,0,0,0,1,0,30,0,0,1,0,1,2,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_valuable_harddrive_encrypted,,0,0,0,0,0,10,0,0,1,0,1,1,5,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
item,brloot_valuable_gpu,,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_xp_dufflebag,,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_xp_purse,,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_activity_starter_combat,,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,3,3,3,12,3,3,3,3,3,0,0,0,0
item,brloot_activity_starter_rescue,,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,3,3,3,3,12,3,3,3,3,3,0,0,0,0
item,brloot_activity_starter_sabotage,,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,3,3,3,3,12,3,3,3,3,3,0,0,0,0
item,brloot_activity_starter_hunt,,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,3,3,3,3,12,3,3,3,3,3,0,0,0,0
item,brloot_activity_starter_vehicledrive,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_activity_starter_boatdrive,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_activity_starter_intel,,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,3,3,3,12,3,3,3,3,3,0,0,0,0
