string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
setchancecol,mp/loot/br/resurgence_massive/contracts/lootset_contract_safe1.csv,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/lootset_empty.csv,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_autobody_shop.csv,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_car_dealership.csv,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_fire_station.csv,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_gas_station.csv,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_pharmacy.csv,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_police_station.csv,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_restaurant.csv,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_station_house.csv,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_bank.csv,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_recon.csv,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_defensive.csv,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_offensive.csv,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_support.csv,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/lootset_manor.csv,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/contracts/lootset_contract_recovery.csv,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/contracts/lootset_contract_intel.csv,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/contracts/lootset_contract_vipCrate.csv,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/caches/lootset_cache_reusable.csv,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/public_events/lootset_cache_pe_crate_drop.csv,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/codmas/lootset_cache_present.csv,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/codmas/lootset_cache_santa.csv,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/codmas/lootset_cache_rudolf.csv,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/codmas/lootset_cache_dth_1.csv,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/codmas/lootset_cache_dth_2.csv,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/codmas/lootset_cache_dth_3.csv,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/bunkers/lootset_bunker.csv,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/bunkers/lootset_cache_bunker.csv,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_massive/locations/bunkers/lootset_bunker_treasury.csv,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tagReject,nobr,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
tagReject,sealion,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
tagReject,delta,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
tagReject,escape,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
reqLimit,gascan,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reqLimit,brloot_super_deployablekiosk,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chance,ammo,,190,120,85,30,50,50,190,190,0,95,1,65,0,0,0,1,20,20,60,2,2,2,2,2,0,191,156,121,136,121,141,136,151,131,146,146,146,116,265,2,2,150,120,0,0,175,115,115,20,50,190,30,190,
chance,health,,130,110,85,30,50,50,130,130,0,95,0,65,0,0,0,0,0,0,60,25,25,25,25,25,0,146,156,191,171,191,121,151,161,151,156,121,121,186,175,25,25,0,110,0,1,175,115,105,20,50,130,30,130,
chance,plunder,,50,20,50,110,180,150,50,50,1,25,1,105,0,0,0,0,1,1,100,2,2,2,2,2,0,115,115,115,120,115,115,125,115,125,135,115,115,135,115,2,2,100,20,1,1,5,160,20,100,150,50,110,50,
chance,killstreak,,0,120,100,165,150,180,0,0,0,90,0,150,0,0,0,80,0,1,170,3,3,3,3,3,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,3,3,50,120,0,0,5,60,140,180,180,0,165,0,
chance,lethal,,140,75,165,30,0,0,140,140,0,165,0,45,0,0,1,390,5,5,40,10,10,10,10,10,0,156,136,156,141,156,151,186,141,156,106,121,121,121,80,10,10,0,75,0,0,200,0,70,20,0,140,30,140,
chance,tactical,,140,75,155,30,0,0,140,140,0,165,0,45,600,600,1,390,5,5,40,10,10,10,10,10,0,136,111,181,171,181,121,151,111,156,106,121,121,176,80,10,10,0,75,0,0,200,0,70,20,0,140,30,140,
chance,super,,145,230,220,210,200,200,145,145,0,215,0,200,50,50,0,108,5,5,200,20,20,20,20,20,0,80,110,95,95,95,80,80,105,110,135,110,110,125,90,20,20,0,230,0,0,105,145,225,220,200,145,210,145,
chance,weapon,,176,105,60,30,5,120,176,176,0,60,0,55,0,0,0,1,0,0,55,5,5,5,5,5,0,120,175,90,110,90,215,120,175,115,175,215,215,90,190,5,5,25,105,0,0,120,60,100,20,120,176,30,176,
chance,gear,,0,25,50,60,180,220,0,0,0,50,0,190,0,0,0,0,0,5,100,3,3,3,3,3,0,10,0,0,10,0,10,0,0,10,0,10,10,0,0,3,3,100,25,0,0,5,120,20,50,220,0,60,0,
chance,revive,,0,35,20,70,85,0,0,0,0,20,0,60,50,50,0,0,5,5,60,0,2,2,5,0,0,0,0,10,0,10,0,10,0,0,0,0,0,10,0,0,0,50,35,0,0,0,5,30,60,0,0,70,0,
chance,tablet,,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
chance,perkpack,,20,55,0,185,50,0,20,20,0,10,0,10,150,150,0,30,0,0,100,5,5,5,10,5,0,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,5,0,55,0,0,5,100,50,175,0,20,185,20,
chance,token,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
chance,plate_carrier,,7,30,10,50,180,220,7,7,0,10,0,10,150,150,0,0,0,5,10,0,2,2,5,5,0,10,10,10,10,10,10,10,10,10,10,10,10,10,5,0,0,0,30,1,0,5,120,25,40,220,7,50,7,
chance,voucher,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
chance,keycard,,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,
item,brloot_ammo_12g,,150,150,150,150,150,150,150,150,0,150,350,150,0,0,0,150,150,150,150,150,150,150,150,150,0,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,100,100,150,0,0,150,150,150,150,150,150,150,150,
item,brloot_ammo_50cal,,205,205,205,205,205,205,205,205,0,205,100,205,0,0,0,205,205,205,205,205,205,205,205,205,0,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,0,0,205,205,205,205,205,205,205,205,
item,brloot_ammo_762,,330,330,330,330,330,330,330,330,0,330,100,330,0,0,0,330,330,330,330,330,330,330,330,330,0,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,0,0,330,330,330,330,330,330,330,330,
item,brloot_ammo_919,,265,265,265,265,265,265,265,265,0,265,450,265,0,0,0,265,265,265,265,265,265,265,265,265,0,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,0,0,265,265,265,265,265,265,265,265,
item,brloot_ammo_rocket,,50,50,50,50,50,50,50,50,0,50,0,50,0,0,0,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,50,50,50,50,50,50,50,50,
item,brloot_equip_gasmask,,0,400,400,400,400,400,400,400,0,400,0,400,0,0,0,0,0,400,400,400,400,400,400,400,0,400,0,0,400,0,400,0,0,400,0,400,400,0,0,400,400,300,400,0,0,400,400,400,400,400,0,400,0,
item,brloot_equip_gasmask_durable,,0,100,100,100,100,100,100,100,0,100,0,100,0,0,0,0,0,100,100,100,100,100,100,100,0,100,0,0,100,0,100,0,0,100,0,100,100,0,0,100,100,100,100,0,0,100,100,100,100,100,0,100,0,
item,brloot_self_revive,,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,100,1,0,0,0,1,1,1,0,0,1,0,
item,brloot_offhand_atmine,,90,90,90,90,0,0,90,90,0,90,0,90,0,0,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,0,0,90,0,90,90,0,90,90,90,
item,brloot_offhand_claymore,,90,90,90,90,0,0,90,90,0,90,0,90,0,0,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,0,0,90,0,90,90,0,90,90,90,
item,brloot_offhand_c4,,90,90,90,90,0,0,90,90,0,90,0,90,0,0,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,0,0,90,0,90,90,0,90,90,90,
item,brloot_offhand_frag,,90,90,90,90,0,0,90,90,0,90,0,90,0,0,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,0,0,90,0,90,90,0,90,90,90,
item,brloot_offhand_molotov,,90,90,90,90,0,0,90,90,0,90,0,90,0,0,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,0,0,90,0,90,90,0,90,90,90,
item,brloot_offhand_semtex,,90,90,90,90,0,0,90,90,0,90,0,90,0,0,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,0,0,90,0,90,90,0,90,90,90,
item,brloot_offhand_thermite,,90,90,90,90,0,0,90,90,0,90,0,90,0,0,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,0,0,90,0,90,90,0,90,90,90,
item,brloot_offhand_throwingknife,,90,90,90,90,0,0,90,90,0,90,0,90,0,0,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,0,0,90,0,90,90,0,90,90,90,
item,brloot_offhand_bunkerbuster,,100,100,100,100,0,0,100,100,0,100,0,100,0,0,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0,100,0,100,100,0,100,100,100,
item,brloot_offhand_breacherdrone,,90,90,90,90,0,0,90,90,0,90,0,90,0,0,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,0,0,90,0,90,90,0,90,90,90,
item,brloot_offhand_thermobaric,,90,90,90,90,0,0,90,90,0,90,0,90,0,0,90,90,90,90,90,90,90,90,90,90,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,90,0,0,90,0,90,90,0,90,90,90,
item,brloot_offhand_concussion,,105,105,105,105,0,0,105,105,0,105,0,105,0,0,105,105,5,5,105,105,105,105,105,105,0,105,105,105,105,105,105,105,105,105,105,105,105,105,105,5,5,0,105,0,0,105,0,105,105,0,105,105,105,
item,brloot_offhand_decoy,,105,105,105,105,0,0,105,105,0,105,0,105,0,0,105,105,5,5,105,105,105,105,105,105,0,105,105,105,105,105,105,105,105,105,105,105,105,105,105,5,5,0,105,0,0,105,0,105,105,0,105,105,105,
item,brloot_offhand_flash,,105,105,105,105,0,0,105,105,0,105,0,105,0,0,105,105,5,5,105,105,105,105,105,105,0,105,105,105,105,105,105,105,105,105,105,105,105,105,105,5,5,0,105,0,0,105,0,105,105,0,105,105,105,
item,brloot_offhand_gas,,105,105,105,105,0,0,105,105,0,105,0,105,0,0,105,105,5,5,105,105,105,105,105,105,0,105,105,105,105,105,105,105,105,105,105,105,105,105,105,5,5,0,105,0,0,105,0,105,105,0,105,105,105,
item,brloot_offhand_smoke,,105,105,105,105,0,0,105,105,0,105,0,105,0,0,105,105,5,5,105,105,105,105,105,105,0,105,105,105,105,105,105,105,105,105,105,105,105,105,105,5,5,0,105,0,0,105,0,105,105,0,105,105,105,
item,brloot_offhand_snapshot,,105,105,105,105,0,0,105,105,0,105,0,105,0,0,105,105,5,5,105,105,105,105,105,105,0,105,105,105,105,105,105,105,105,105,105,105,105,105,105,5,5,0,105,0,0,105,0,105,105,0,105,105,105,
item,brloot_offhand_shockstick,,105,105,105,105,0,0,105,105,0,105,0,105,0,0,105,105,5,5,105,105,105,105,105,105,0,105,105,105,105,105,105,105,105,105,105,105,105,105,105,5,5,0,105,0,0,105,0,105,105,0,105,105,105,
item,brloot_offhand_battlerage,,45,55,55,55,0,0,55,55,0,55,0,55,0,0,55,55,5,5,55,55,55,55,55,55,0,55,55,55,55,55,55,55,55,55,55,55,55,55,55,5,5,0,55,0,0,55,0,55,55,0,45,55,45,
item,brloot_offhand_tracker,,105,105,105,105,0,0,105,105,0,105,0,105,0,0,105,105,5,5,105,105,105,105,105,105,0,105,105,105,105,105,105,105,105,105,105,105,105,105,105,5,5,0,105,0,0,105,0,105,105,0,105,105,105,
item,brloot_offhand_butterfly_mine,,105,105,105,105,0,0,105,105,0,105,0,105,0,0,105,105,5,5,105,105,105,105,105,105,0,105,105,105,105,105,105,105,105,105,105,105,105,105,105,5,5,0,105,0,0,105,0,105,105,0,105,105,105,
item,brloot_health_adrenaline,,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,
item,brloot_offhand_taccover,,88,70,0,50,50,50,50,50,0,70,0,50,0,0,0,70,50,50,50,70,70,70,70,70,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65,65,0,70,0,0,78,63,70,63,50,88,50,88,
item,brloot_offhand_trophysystem,,88,70,0,50,50,50,50,50,0,70,0,50,0,0,0,70,50,50,50,70,70,70,70,70,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65,65,0,70,0,0,78,63,70,63,50,88,50,88,
item,brloot_killstreak_recondrone,,88,75,0,50,50,50,50,50,0,75,0,50,0,0,0,75,50,50,50,75,75,75,75,75,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65,65,0,75,0,0,78,63,75,63,50,88,50,88,
item,brloot_super_deadsilence,,50,70,0,50,50,50,50,50,0,70,0,50,0,0,0,70,50,50,50,70,70,70,70,70,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,65,65,0,70,0,0,78,63,70,63,50,50,50,50,
item,brloot_super_munitionsbox,,88,70,0,50,50,50,50,50,0,70,0,50,0,0,0,70,50,50,50,70,70,70,70,70,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65,65,0,70,0,0,78,63,70,63,50,88,50,88,
item,brloot_super_armorbox,,88,70,0,50,50,50,50,50,0,70,0,50,0,0,0,70,50,50,50,70,70,70,70,70,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65,65,0,70,0,0,78,63,70,63,50,88,50,88,
item,brloot_super_heartbeatsensor,,88,70,0,50,50,50,50,50,0,70,0,50,0,0,0,70,50,50,50,70,70,70,70,70,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65,65,0,70,0,0,78,63,70,63,50,88,50,88,
item,brloot_super_emppulse,,88,70,0,50,50,50,50,50,0,70,0,50,0,0,0,70,50,50,50,70,70,70,70,70,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65,65,0,70,0,0,78,63,70,63,50,88,50,88,
item,brloot_super_tacticalcamera,,87,70,0,50,50,50,50,50,0,70,0,50,0,0,0,70,50,50,50,70,70,70,70,70,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65,65,0,70,0,0,78,63,70,63,50,87,50,87,
item,brloot_super_stimpistol,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
item,brloot_offhand_deployed_decoy,,87,70,0,50,50,50,50,50,0,70,0,50,0,0,0,70,50,50,50,70,70,70,70,70,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65,65,0,70,0,0,78,63,70,63,50,87,50,87,
item,brloot_super_soundveil,,50,70,0,50,50,50,50,50,0,70,0,50,0,0,0,70,50,50,50,70,70,70,70,70,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,65,65,0,70,0,0,78,63,70,63,50,50,50,50,
item,brloot_super_sonarpulse,,50,70,0,50,50,50,50,50,0,70,0,50,0,0,0,70,50,50,50,70,70,70,70,70,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,60,60,0,70,0,0,77,62,70,62,50,50,50,50,
item,brloot_super_personal_redeploy_drone,,0,30,0,80,100,100,100,100,0,30,0,100,0,0,0,30,100,100,100,30,30,30,30,30,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,0,30,0,0,10,62,30,62,100,0,80,0,
item,brloot_offhand_deconstation,,0,30,0,80,100,100,100,100,0,30,0,100,0,0,0,30,100,100,100,30,30,30,30,30,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,0,30,0,0,10,50,30,50,100,0,80,0,
item,brloot_super_deployablekiosk,,0,30,0,80,100,100,100,100,0,30,0,100,50,50,0,30,100,100,100,30,30,30,30,30,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,0,30,0,0,10,50,30,0,100,0,80,0,
item,brloot_super_reinforcement_flare,,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,
item,brloot_super_oxygenmask,,10,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,10,0,10,
item,brloot_offhand_advancedsupplydrop,,0,5,0,30,25,25,25,25,0,5,0,25,0,0,0,5,25,25,25,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,5,5,0,0,5,0,30,0,
item,brloot_balloon_extract,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
