string,string,string,localized_a,string,string,string,string,string,string,localized_a,string,string,string,localized_a,string,string,string,string,string,string,int
10,execution_005,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_05,0,200,0,1,ui_execution_005,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_005,iw9_execution_sword,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_005,,,WZ2,IW9,0
11,execution_006,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_06,0,200,0,1,ui_execution_006,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_006,iw9_execution_ar,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_006,,,WZ2,IW9,0
12,execution_007,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_07,0,200,0,1,ui_execution_007,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_007,iw9_execution_ar,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_007,,,WZ2,IW9,0
13,execution_008,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_08,0,200,0,1,ui_execution_008,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_008,iw9_execution_sh,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_008,,,WZ2,IW9,0
14,execution_009,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_09,0,200,0,1,ui_execution_009,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_009,iw9_execution_sh,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_009,,,WZ2,IW9,0
15,execution_010,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_10,0,200,0,1,ui_execution_010,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_010,iw9_execution_lm,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_010,,,WZ2,IW9,0
16,execution_011,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_11,0,200,0,1,ui_execution_011,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_011,iw9_execution_lm,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_011,,,WZ2,IW9,0
17,execution_012,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_12,0,200,0,1,ui_execution_012,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_012,iw9_execution_sn,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_012,,,WZ2,IW9,0
18,execution_013,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_13,0,200,0,1,ui_execution_013,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_013,iw9_execution_sn,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_013,,,WZ2,IW9,0
19,execution_014,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_14,0,200,0,1,ui_execution_014,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_014,iw9_execution_hammer,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_014,,,WZ2,IW9,0
20,execution_015,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_15,0,200,0,1,ui_execution_015,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_015,iw9_execution_hammer,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_015,,,WZ2,IW9,0
21,execution_016,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_16,0,200,0,1,ui_execution_016,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_016,iw9_execution_kali,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_016,,,WZ2,IW9,0
22,execution_017,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_17,0,200,0,1,ui_execution_017,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_017,iw9_execution_dual_sword,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_017,,,WZ2,IW9,0
23,execution_018,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_18,0,200,0,1,ui_execution_018,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_018,iw9_execution_hatchet,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_018,,,WZ2,IW9,0
24,execution_019,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_19,0,200,0,1,ui_execution_019,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_019,iw9_execution_hatchet,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_019,,,WZ2,IW9,0
25,execution_020,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_20,0,200,0,1,ui_execution_020,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_020,iw9_execution_pistol,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_020,,,WZ2,IW9,0
26,execution_021,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_21,0,200,0,1,ui_execution_021,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_021,iw9_execution_pistol,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_021,,,WZ2,IW9,0
27,execution_022,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_22,0,200,0,1,ui_execution_022,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_022,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_022,,,WZ2,IW9,0
28,execution_023,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_23,0,200,0,1,ui_execution_023,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_023,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_023,,,WZ2,IW9,0
29,execution_024,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_24,0,200,0,1,ui_execution_024,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_024,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_024,,,WZ2,IW9,0
30,execution_025,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_25,0,200,0,1,ui_execution_025,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_025,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_025,,,WZ2,IW9,0
31,execution_026,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_26,0,200,0,1,ui_execution_026,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_026,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_026,,,WZ2,IW9,0
32,execution_027,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_27,0,200,0,1,ui_execution_027,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_027,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_027,,,WZ2,IW9,0
33,execution_028,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_28,0,200,0,1,ui_execution_028,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_028,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_028,,,WZ2,IW9,0
34,execution_029,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_29,0,200,0,1,ui_execution_029,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_029,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_029,,,WZ2,IW9,0
35,execution_030,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_30,0,200,0,1,ui_execution_030,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_030,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_030,,,WZ2,IW9,0
36,execution_031,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_31,0,200,0,1,ui_execution_031,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_031,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_031,,,WZ2,IW9,0
37,execution_032,debug_only,a&EXECUTIONS/UNIVERSAL_VARIANT_32,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_032,iw9_execution_dog_mp,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,1,,WZ2,IW9,0
38,execution_033,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_33,0,200,0,1,ui_execution_033,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_033,iw9_execution_dog_darpa_mp,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_033,1,universal_dog_darpa,WZ2,IW9,0
39,execution_034,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_34,0,200,0,1,ui_execution_034,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_034,iw9_execution_dog_mp,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_034,1,universal_dog_riley,WZ2,IW9,0
40,execution_035,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_35,0,200,0,1,ui_execution_035,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_035,iw9_execution_dog_bc_mp,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_035,1,universal_dog_merlin,WZ2,IW9,0
41,execution_036,debug_only,a&EXECUTIONS/UNIVERSAL_VARIANT_36,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_036,iw9_execution_dog_mp,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,1,,WZ2,IW9,0
42,execution_037,debug_only,a&EXECUTIONS/UNIVERSAL_VARIANT_37,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_037,iw9_execution_dog_mp,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,1,,WZ2,IW9,0
43,execution_038,debug_only,a&EXECUTIONS/UNIVERSAL_VARIANT_38,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_038,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,WZ2,IW9,0
44,execution_039,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_39,0,200,0,1,ui_execution_039,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_039,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_039,,,WZ2,IW9,0
45,execution_040,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_40,0,200,0,1,ui_execution_040,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_040,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_040,,,WZ2,IW9,0
46,execution_041,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_41,0,200,0,1,ui_execution_041,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_041,iw9_execution_dual_sword02,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_041,,,WZ2,IW9,0
47,execution_042,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_42,0,200,0,1,ui_execution_042,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_042,iw9_execution_dual_sword04,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_042,,,WZ2,IW9,0
48,execution_043,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_43,0,200,0,1,ui_execution_043,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_043,iw9_execution_ar,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_043,,,WZ2,IW9,0
49,execution_044,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_44,0,200,0,1,ui_execution_044,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_044,iw9_execution_ar,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_044,,,WZ2,IW9,0
50,execution_045,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_45,0,200,0,1,ui_execution_045,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_045,iw9_execution_kali,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_045,,,WZ2,IW9,0
51,execution_046,debug_only,a&EXECUTIONS/UNIVERSAL_VARIANT_46,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_046,iw9_execution_kali,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,WZ2,IW9,0
52,execution_047,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_47,0,200,0,1,ui_execution_047,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_047,iw9_execution_hatchet,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_047,,,WZ2,IW9,0
53,execution_048,debug_only,a&EXECUTIONS/UNIVERSAL_VARIANT_48,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_048,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,WZ2,IW9,0
54,execution_049,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_49,0,200,0,1,ui_execution_049,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_049,iw9_execution_spawn_hammer,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_049,,,WZ2,IW9,0
55,execution_050,debug_only,a&EXECUTIONS/UNIVERSAL_VARIANT_50,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_050,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,WZ2,IW9,0
56,execution_051,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_51,0,200,0,1,ui_execution_051,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_051,iw9_execution_pistol,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_051,,,WZ2,IW9,0
57,execution_052,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_52,0,200,0,1,ui_execution_052,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_052,iw9_execution_pistol,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_052,,,WZ2,IW9,0
58,execution_053,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_53,0,200,0,1,ui_execution_053,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_053,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_053,,,WZ2,IW9,0
59,execution_054,debug_only,a&EXECUTIONS/UNIVERSAL_VARIANT_54,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_054,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,WZ2,IW9,0
60,execution_055,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_55,0,200,0,1,ui_execution_055,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_055,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_055,,,WZ2,IW9,0
61,execution_056,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_56,0,200,0,1,ui_execution_056,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_056,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_056,,,WZ2,IW9,0
62,execution_057,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_57,0,200,0,1,ui_execution_057,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_057,iw9_execution_sword02,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_057,,,WZ2,IW9,0
63,execution_058,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_58,0,200,0,1,ui_execution_058,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_058,iw9_execution_sword03,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_058,,,WZ2,IW9,0
64,execution_059,debug_only,a&EXECUTIONS/UNIVERSAL_VARIANT_59,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_059,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,WZ2,IW9,0
65,execution_060,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_60,0,200,0,1,ui_execution_060,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_060,iw9_execution_ed2_sh,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_060,,,WZ2,IW9,0
66,execution_061,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_61,0,200,0,1,ui_execution_061,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_061,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_061,,,WZ2,IW9,0
67,execution_062,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_62,0,200,0,1,ui_execution_062,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_062,iw9_execution_spear,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_062,,,WZ2,IW9,0
68,execution_063,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_63,0,200,0,1,ui_execution_063,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_063,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_063,,,WZ2,IW9,0
69,execution_064,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_64,0,200,0,1,ui_execution_064,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_064,iw9_execution_tonfa,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_064,,,WZ2,IW9,0
70,execution_065,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_65,0,200,0,1,ui_execution_065,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_065,iw9_execution_battering_ram,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_065,,,WZ2,IW9,0
71,execution_066,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_66,0,200,0,1,ui_execution_066,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_066,iw9_execution_taser,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_066,,,WZ2,IW9,0
72,execution_067,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_67,0,200,0,1,ui_execution_067,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_067,iw9_execution_sh,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_067,,,WZ2,IW9,0
73,execution_068,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_68,0,200,0,1,ui_execution_068,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_068,iw9_execution_sh,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_068,,,WZ2,IW9,0
74,execution_069,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_69,0,200,0,1,ui_execution_069,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_069,iw9_execution_lm,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_069,,,WZ2,IW9,0
75,execution_070,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_70,0,200,0,1,ui_execution_070,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_070,iw9_execution_lm,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_070,,,WZ2,IW9,0
76,execution_071,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_71,0,200,0,1,ui_execution_071,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_071,iw9_execution_sn,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_071,,,WZ2,IW9,0
77,execution_072,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_72,0,200,0,1,ui_execution_072,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_072,iw9_execution_sn,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_072,,,WZ2,IW9,0
78,execution_073,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_73,0,200,0,1,ui_execution_073,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_073,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_073,,,WZ2,IW9,0
79,execution_074,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_74,0,200,0,1,ui_execution_074,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_074,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_074,,,WZ2,IW9,MGL,0
80,execution_075,universal_ref,a&EXECUTIONS/UNIVERSAL_VARIANT_75,0,200,0,1,ui_execution_075,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_075,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_075,,,WZ2,IW9,0
81,execution_076,debug_only,a&EXECUTIONS/UNIVERSAL_VARIANT_76,0,200,0,1,icon_execution_base,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_076,none,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,icon_execution_base,,,WZ2,IW9,0
82,execution_077,snoop_western,a&EXECUTIONS/UNIVERSAL_VARIANT_77,0,200,0,1,ui_execution_077,1,a&EXECUTIONS/LYNCH_DEFAULT_DESC,mp_streak_tutorial_uav,execution_077,iw9_execution_knife,a&EXECUTIONS/EXECUTION,icon_execution_base,-1,ui_execution_077,,,WZ2,IW9,MGL,0
