string,string,localized_a,string,string,string,string,string,string
58,cos_058,a&CHARMS/COS_058,ui_charm_058,standard,,,,0
59,cos_059,a&CHARMS/COS_059,ui_charm_059,standard,,,,0
60,cos_060,a&CHARMS/COS_060,ui_charm_060,standard,,,,0
61,cos_061,a&CHARMS/COS_061,ui_charm_061,standard,,,,0
62,cos_062,a&CHARMS/COS_062,ui_charm_062,standard,,,,0
63,cos_063,a&CHARMS/COS_063,ui_charm_063,standard,,,,0
64,cos_064,a&CHARMS/COS_064,ui_charm_064,standard,,,,0
65,cos_065,a&CHARMS/COS_065,ui_charm_065,standard,1,,,0
66,cos_066,a&CHARMS/COS_066,ui_charm_066,standard,,,,0
67,cos_067,a&CHARMS/COS_067,ui_charm_067,standard,1,,,0
68,cos_068,a&CHARMS/COS_068,ui_charm_068,standard,,,,0
69,cos_069,a&CHARMS/COS_069,ui_charm_069,standard,,,,0
70,cos_070,a&CHARMS/COS_070,ui_charm_070,standard,,,,0
71,cos_071,a&CHARMS/COS_071,ui_charm_071,standard,,,,0
72,cos_072,a&CHARMS/COS_072,ui_charm_072,standard,,,,0
73,cos_073,a&CHARMS/COS_073,ui_charm_073,standard,,,,0
74,cos_074,a&CHARMS/COS_074,ui_charm_074,standard,,,,0
75,cos_075,a&CHARMS/COS_075,ui_charm_075,standard,,,,0
76,cos_076,a&CHARMS/COS_076,ui_charm_076,standard,,,,0
77,cos_077,a&CHARMS/COS_077,ui_charm_077,standard,,,,0
78,cos_078,a&CHARMS/COS_078,ui_charm_078,standard,,,,0
79,cos_079,a&CHARMS/COS_079,ui_charm_079,standard,,,,0
80,cos_080,a&CHARMS/COS_080,ui_charm_080,standard,1,,,0
81,cos_081,a&CHARMS/COS_081,ui_charm_081,standard,1,,,0
82,cos_082,a&CHARMS/COS_082,ui_charm_082,standard,1,,,0
83,cos_083,a&CHARMS/COS_083,ui_charm_083,standard,,,,0
84,cos_084,a&CHARMS/COS_084,ui_charm_084,standard,1,,,0
85,cos_085,a&CHARMS/COS_085,ui_charm_085,standard,,,,0
86,cos_086,a&CHARMS/COS_086,ui_charm_086,standard,,,,0
87,cos_087,a&CHARMS/COS_087,ui_charm_087,standard,,,,0
88,cos_088,a&CHARMS/COS_088,ui_charm_088,standard,,,,0
89,cos_089,a&CHARMS/COS_089,ui_charm_089,standard,,,,0
90,cos_090,a&CHARMS/COS_090,ui_charm_090,standard,,,,0
91,cos_091,a&CHARMS/COS_091,ui_charm_091,standard,,,,0
92,cos_092,a&CHARMS/COS_092,ui_charm_092,standard,,,,0
93,cos_093,a&CHARMS/COS_093,ui_charm_093,standard,,,,0
94,cos_094,a&CHARMS/COS_094,ui_charm_094,standard,,,,0
95,cos_095,a&CHARMS/COS_095,ui_charm_095,standard,,,,0
96,cos_096,a&CHARMS/COS_096,ui_charm_096,standard,,,,0
97,cos_097,a&CHARMS/COS_097,ui_charm_097,standard,,,,0
98,cos_098,a&CHARMS/COS_098,ui_charm_098,standard,,,,0
99,cos_099,a&CHARMS/COS_099,ui_charm_099,standard,,,,0
100,cos_100,a&CHARMS/COS_100,ui_charm_100,standard,,,,0
101,cos_101,a&CHARMS/COS_101,ui_charm_101,standard,,,,0
102,cos_102,a&CHARMS/COS_102,ui_charm_102,standard,,,,0
103,cos_103,a&CHARMS/COS_103,ui_charm_103,standard,,,,0
104,cos_104,a&CHARMS/COS_104,ui_charm_104,standard,,,,0
105,cos_105,a&CHARMS/COS_105,ui_charm_105,standard,,,,0
106,cos_106,a&CHARMS/COS_106,ui_charm_106,standard,,,,0
107,cos_107,a&CHARMS/COS_107,ui_charm_107,standard,,,,0
108,cos_108,a&CHARMS/COS_108,ui_charm_108,standard,,,,0
109,cos_109,a&CHARMS/COS_109,ui_charm_109,standard,,,,0
110,cos_110,a&CHARMS/COS_110,ui_charm_110,standard,,,,0
111,cos_111,a&CHARMS/COS_111,ui_charm_111,standard,,,,0
112,cos_112,a&CHARMS/COS_112,ui_charm_112,standard,,,,0
113,cos_113,a&CHARMS/COS_113,ui_charm_113,standard,,,,0
114,cos_114,a&CHARMS/COS_114,ui_charm_114,standard,,,,0
115,cos_115,a&CHARMS/COS_115,ui_charm_115,standard,,,,0
116,cos_116,a&CHARMS/COS_116,ui_charm_116,standard,,,,0
117,cos_117,a&CHARMS/COS_117,ui_charm_117,standard,,,,0
118,cos_118,a&CHARMS/COS_118,ui_charm_118,standard,,,,0
119,cos_119,a&CHARMS/COS_119,ui_charm_119,standard,,,,0
120,cos_120,a&CHARMS/COS_120,ui_charm_120,standard,,,,0
121,cos_121,a&CHARMS/COS_121,ui_charm_121,standard,,,,0
122,cos_122,a&CHARMS/COS_122,ui_charm_122,standard,,,,0
123,cos_123,a&CHARMS/COS_123,ui_charm_123,standard,,,,0
124,cos_124,a&CHARMS/COS_124,ui_charm_124,standard,,,,0
125,cos_125,a&CHARMS/COS_125,ui_charm_125,standard,,,,0
126,cos_126,a&CHARMS/COS_126,ui_charm_126,standard,,,,0
127,cos_127,a&CHARMS/COS_127,ui_charm_127,standard,,,,0
128,cos_128,a&CHARMS/COS_128,ui_charm_128,standard,,,,0
129,cos_129,a&CHARMS/COS_129,ui_charm_129,standard,,,,0
130,cos_130,a&CHARMS/COS_130,ui_charm_130,standard,,,,0
131,cos_131,a&CHARMS/COS_131,ui_charm_131,standard,,,,0
132,cos_132,a&CHARMS/COS_132,ui_charm_132,standard,,,,0
133,cos_133,a&CHARMS/COS_133,ui_charm_133,standard,,,,0
134,cos_134,a&CHARMS/COS_134,ui_charm_134,standard,,,,0
135,cos_135,a&CHARMS/COS_135,ui_charm_135,standard,,,,0
136,cos_136,a&CHARMS/COS_136,ui_charm_136,standard,,,,0
137,cos_137,a&CHARMS/COS_137,ui_charm_137,standard,,,,0
138,cos_138,a&CHARMS/COS_138,ui_charm_138,standard,,,,0
139,cos_139,a&CHARMS/COS_139,ui_charm_139,standard,,,,0
140,cos_140,a&CHARMS/COS_140,ui_charm_140,standard,,,,0
141,cos_141,a&CHARMS/COS_141,ui_charm_141,standard,,,,0
142,cos_142,a&CHARMS/COS_142,ui_charm_142,standard,1,,,0
143,cos_143,a&CHARMS/COS_143,ui_charm_143,standard,,,,0
144,cos_144,a&CHARMS/COS_144,ui_charm_144,standard,,,,0
145,cos_145,a&CHARMS/COS_145,ui_charm_145,standard,,,,0
146,cos_146,a&CHARMS/COS_146,ui_charm_146,standard,,,,0
147,cos_147,a&CHARMS/COS_147,ui_charm_147,standard,,,,0
148,cos_148,a&CHARMS/COS_148,ui_charm_148,standard,,,,0
149,cos_149,a&CHARMS/COS_149,ui_charm_149,standard,,,,0
150,cos_150,a&CHARMS/COS_150,ui_charm_150,standard,,,,0
151,cos_151,a&CHARMS/COS_151,ui_charm_151,standard,,,,0
152,cos_152,a&CHARMS/COS_152,ui_charm_152,standard,,,,0
153,cos_153,a&CHARMS/COS_153,ui_charm_153,standard,,,,0
154,cos_154,a&CHARMS/COS_154,ui_charm_154,standard,,,,0
155,cos_155,a&CHARMS/COS_155,ui_charm_155,standard,,,,0
156,cos_156,a&CHARMS/COS_156,ui_charm_156,standard,,,,0
157,cos_157,a&CHARMS/COS_157,ui_charm_157,standard,,,,0
158,cos_158,a&CHARMS/COS_158,ui_charm_158,standard,,,,0
159,cos_159,a&CHARMS/COS_159,ui_charm_159,standard,,,,0
160,cos_160,a&CHARMS/COS_160,ui_charm_160,standard,,,,0
161,cos_161,a&CHARMS/COS_161,ui_charm_161,standard,,,,0
162,cos_162,a&CHARMS/COS_162,ui_charm_162,standard,,,,0
163,cos_163,a&CHARMS/COS_163,ui_charm_163,standard,,,,0
164,cos_164,a&CHARMS/COS_164,ui_charm_164,standard,,,,0
165,cos_165,a&CHARMS/COS_165,ui_charm_165,standard,,,,0
166,cos_166,a&CHARMS/COS_166,ui_charm_166,standard,,,,0
167,cos_167,a&CHARMS/COS_167,ui_charm_167,standard,,,,0
168,cos_168,a&CHARMS/COS_168,ui_charm_168,standard,,,,0
169,cos_169,a&CHARMS/COS_169,ui_charm_169,standard,,,,0
170,cos_170,a&CHARMS/COS_170,ui_charm_170,standard,,,,0
171,cos_171,a&CHARMS/COS_171,ui_charm_171,standard,,,,0
172,cos_172,a&CHARMS/COS_172,ui_charm_172,standard,,,,0
173,cos_173,a&CHARMS/COS_173,ui_charm_173,standard,,,,0
174,cos_174,a&CHARMS/COS_174,ui_charm_174,standard,,,,0
175,cos_175,a&CHARMS/COS_175,ui_charm_175,standard,,,,0
176,cos_176,a&CHARMS/COS_176,ui_charm_176,standard,,,,0
177,cos_177,a&CHARMS/COS_177,ui_charm_177,standard,,,,0
178,cos_178,a&CHARMS/COS_178,ui_charm_178,standard,,,,0
179,cos_179,a&CHARMS/COS_179,ui_charm_179,standard,,,,0
180,cos_180,a&CHARMS/COS_180,ui_charm_180,standard,,,,0
181,cos_181,a&CHARMS/COS_181,ui_charm_181,standard,,,,0
182,cos_182,a&CHARMS/COS_182,ui_charm_182,standard,,,,0
183,cos_183,a&CHARMS/COS_183,ui_charm_183,standard,,,,0
184,cos_184,a&CHARMS/COS_184,ui_charm_184,standard,,,,0
185,cos_185,a&CHARMS/COS_185,ui_charm_185,standard,,,,0
186,cos_186,a&CHARMS/COS_186,ui_charm_186,standard,1,,,0
187,cos_187,a&CHARMS/COS_187,ui_charm_187,standard,,,,0
188,cos_188,a&CHARMS/COS_188,ui_charm_188,standard,,,,0
189,cos_189,a&CHARMS/COS_189,ui_charm_189,standard,,,,0
190,cos_190,a&CHARMS/COS_190,ui_charm_190,standard,,,,0
191,cos_191,a&CHARMS/COS_191,ui_charm_191,standard,,,,0
192,cos_192,a&CHARMS/COS_192,ui_charm_192,standard,,,,0
193,cos_193,a&CHARMS/COS_193,ui_charm_193,standard,,,,0
194,cos_194,a&CHARMS/COS_194,ui_charm_194,standard,,,,0
195,cos_195,a&CHARMS/COS_195,ui_charm_195,standard,,,,0
196,cos_196,a&CHARMS/COS_196,ui_charm_196,standard,,,,0
197,cos_197,a&CHARMS/COS_197,ui_charm_197,standard,,,,0
198,cos_198,a&CHARMS/COS_198,ui_charm_198,standard,,,,0
199,cos_199,a&CHARMS/COS_199,ui_charm_199,standard,,,,0
200,cos_200,a&CHARMS/COS_200,ui_charm_200,standard,1,,,0
201,cos_201,a&CHARMS/COS_201,ui_charm_201,standard,1,,,0
202,cos_202,a&CHARMS/COS_202,ui_charm_202,standard,,,,0
203,cos_203,a&CHARMS/COS_203,ui_charm_203,standard,1,,,0
204,cos_204,a&CHARMS/COS_204,ui_charm_204,standard,,,,0
205,cos_205,a&CHARMS/COS_205,ui_charm_205,standard,,,,0
206,cos_206,a&CHARMS/COS_206,ui_charm_206,standard,1,,,0
207,cos_207,a&CHARMS/COS_207,ui_charm_207,standard,1,,,0
208,cos_208,a&CHARMS/COS_208,ui_charm_208,standard,,,,0
209,cos_209,a&CHARMS/COS_209,ui_charm_209,standard,,,,0
210,cos_210,a&CHARMS/COS_210,ui_charm_210,standard,,,,0
211,cos_211,a&CHARMS/COS_211,ui_charm_211,standard,,,,0
212,cos_212,a&CHARMS/COS_212,ui_charm_212,standard,,,,0
213,cos_213,a&CHARMS/COS_213,ui_charm_213,standard,,,,0
214,cos_214,a&CHARMS/COS_214,ui_charm_214,standard,,,,0
215,cos_215,a&CHARMS/COS_215,ui_charm_215,standard,,,,0
216,cos_216,a&CHARMS/COS_216,ui_charm_216,standard,,,,0
217,cos_217,a&CHARMS/COS_217,ui_charm_217,standard,1,,,0
218,cos_218,a&CHARMS/COS_218,ui_charm_218,standard,,,,0
219,cos_219,a&CHARMS/COS_219,ui_charm_219,standard,,,,0
220,cos_220,a&CHARMS/COS_220,ui_charm_220,standard,,,,0
221,cos_221,a&CHARMS/COS_221,ui_charm_221,standard,,,,0
222,cos_222,a&CHARMS/COS_222,ui_charm_222,standard,,,,0
223,cos_223,a&CHARMS/COS_223,ui_charm_223,standard,,,,0
224,cos_224,a&CHARMS/COS_224,ui_charm_224,standard,,,,0
225,cos_225,a&CHARMS/COS_225,ui_charm_225,standard,,,,0
226,cos_226,a&CHARMS/COS_226,ui_charm_226,standard,,,,0
227,cos_227,a&CHARMS/COS_227,ui_charm_227,standard,,,,0
228,cos_228,a&CHARMS/COS_228,ui_charm_228,standard,,,,0
229,cos_229,a&CHARMS/COS_229,ui_charm_229,standard,,,,0
230,cos_230,a&CHARMS/COS_230,ui_charm_230,standard,,,,0
231,cos_231,a&CHARMS/COS_231,ui_charm_231,standard,,,,0
232,cos_232,a&CHARMS/COS_232,ui_charm_232,standard,,,,0
233,cos_233,a&CHARMS/COS_233,ui_charm_233,standard,,,,0
234,cos_234,a&CHARMS/COS_234,ui_charm_234,standard,,,,0
235,cos_235,a&CHARMS/COS_235,ui_charm_235,standard,,,,0
236,cos_236,a&CHARMS/COS_236,ui_charm_236,standard,,,,0
237,cos_237,a&CHARMS/COS_237,ui_charm_237,standard,,,,0
238,cos_238,a&CHARMS/COS_238,ui_charm_238,standard,,,,0
239,cos_239,a&CHARMS/COS_239,ui_charm_239,standard,,,,0
240,cos_240,a&CHARMS/COS_240,ui_charm_240,standard,,,,0
241,cos_241,a&CHARMS/COS_241,ui_charm_241,standard,,,,0
242,cos_242,a&CHARMS/COS_242,ui_charm_242,standard,,,,0
243,cos_243,a&CHARMS/COS_243,ui_charm_243,standard,,,,0
244,cos_244,a&CHARMS/COS_244,ui_charm_244,standard,1,,,0
245,cos_245,a&CHARMS/COS_245,ui_charm_245,standard,1,,,0
246,cos_246,a&CHARMS/COS_246,ui_charm_246,standard,,,,0
247,cos_247,a&CHARMS/COS_247,ui_charm_247,standard,,,,0
248,cos_248,a&CHARMS/COS_248,ui_charm_248,standard,,,,0
249,cos_249,a&CHARMS/COS_249,ui_charm_249,standard,,,,0
250,cos_250,a&CHARMS/COS_250,ui_charm_250,standard,,,,0
251,cos_251,a&CHARMS/COS_251,ui_charm_251,standard,,,,0
252,cos_252,a&CHARMS/COS_252,ui_charm_252,standard,,,,0
253,cos_253,a&CHARMS/COS_253,ui_charm_253,standard,,,,0
254,cos_254,a&CHARMS/COS_254,ui_charm_254,standard,,,,0
255,cos_255,a&CHARMS/COS_255,ui_charm_255,standard,,,,0
256,cos_256,a&CHARMS/COS_256,ui_charm_256,standard,,,,0
257,cos_257,a&CHARMS/COS_257,ui_charm_257,standard,,,,0
258,cos_258,a&CHARMS/COS_258,ui_charm_258,standard,,,,0
259,cos_259,a&CHARMS/COS_259,ui_charm_259,standard,,,,0
260,cos_260,a&CHARMS/COS_260,ui_charm_260,standard,,,,0
261,cos_261,a&CHARMS/COS_261,ui_charm_261,standard,,,,0
262,cos_262,a&CHARMS/COS_262,ui_charm_262,standard,,,,0
263,cos_263,a&CHARMS/COS_263,ui_charm_263,standard,,,,0
264,cos_264,a&CHARMS/COS_264,ui_charm_264,standard,,,,0
265,cos_265,a&CHARMS/COS_265,ui_charm_265,standard,,,,0
266,cos_266,a&CHARMS/COS_266,ui_charm_266,standard,,,,0
267,cos_267,a&CHARMS/COS_267,ui_charm_267,standard,,,,0
268,cos_268,a&CHARMS/COS_268,ui_charm_268,standard,,,,0
269,cos_269,a&CHARMS/COS_269,ui_charm_269,standard,,,,0
270,cos_270,a&CHARMS/COS_270,ui_charm_270,standard,,,,0
271,cos_271,a&CHARMS/COS_271,ui_charm_271,standard,,,,0
272,cos_272,a&CHARMS/COS_272,ui_charm_272,standard,,,,0
273,cos_273,a&CHARMS/COS_273,ui_charm_273,standard,,,,0
274,cos_274,a&CHARMS/COS_274,ui_charm_274,standard,,,,0
275,cos_275,a&CHARMS/COS_275,ui_charm_275,standard,,,,0
276,cos_276,a&CHARMS/COS_276,ui_charm_276,standard,,,,0
277,cos_277,a&CHARMS/COS_277,ui_charm_277,standard,,,,0
278,cos_278,a&CHARMS/COS_278,ui_charm_278,standard,1,,,0
279,cos_279,a&CHARMS/COS_279,ui_charm_279,standard,,,,0
280,cos_280,a&CHARMS/COS_280,ui_charm_280,standard,,,,0
281,cos_281,a&CHARMS/COS_281,ui_charm_281,standard,,,,0
282,cos_282,a&CHARMS/COS_282,ui_charm_282,standard,,,,0
283,cos_283,a&CHARMS/COS_283,ui_charm_283,standard,,,,0
284,cos_284,a&CHARMS/COS_284,ui_charm_284,standard,,,,0
285,cos_285,a&CHARMS/COS_285,ui_charm_285,standard,,,,0
286,cos_286,a&CHARMS/COS_286,ui_charm_286,standard,,,,0
287,cos_287,a&CHARMS/COS_287,ui_charm_287,standard,,,,0
288,cos_288,a&CHARMS/COS_288,ui_charm_288,standard,,,,0
289,cos_289,a&CHARMS/COS_289,ui_charm_289,standard,,,,0
290,cos_290,a&CHARMS/COS_290,ui_charm_290,standard,,,,0
291,cos_291,a&CHARMS/COS_291,ui_charm_291,standard,,,,0
292,cos_292,a&CHARMS/COS_292,ui_charm_292,standard,,,,0
293,cos_293,a&CHARMS/COS_293,ui_charm_293,standard,,,,0
294,cos_294,a&CHARMS/COS_294,ui_charm_294,standard,,,,0
295,cos_295,a&CHARMS/COS_295,ui_charm_295,standard,,,,0
296,cos_296,a&CHARMS/COS_296,ui_charm_296,standard,,,,0
297,cos_297,a&CHARMS/COS_297,ui_charm_297,standard,,,,0
298,cos_298,a&CHARMS/COS_298,ui_charm_298,standard,,,,0
299,cos_299,a&CHARMS/COS_299,ui_charm_299,standard,1,,,0
300,cos_300,a&CHARMS/COS_300,ui_charm_300,standard,1,,,0
301,cos_301,a&CHARMS/COS_301,ui_charm_301,standard,1,,,0
302,cos_302,a&CHARMS/COS_302,ui_charm_302,standard,,,,0
303,cos_303,a&CHARMS/COS_303,ui_charm_303,standard,,,,0
304,cos_304,a&CHARMS/COS_304,ui_charm_304,standard,,,,0
305,cos_305,a&CHARMS/COS_305,ui_charm_305,standard,0,,,0
306,cos_306,a&CHARMS/COS_306,ui_charm_306,standard,1,,,0
307,cos_307,a&CHARMS/COS_307,ui_charm_307,standard,,,,0
308,cos_308,a&CHARMS/COS_308,ui_charm_308,standard,1,,,0
309,cos_309,a&CHARMS/COS_309,ui_charm_309,standard,,,,0
310,cos_310,a&CHARMS/COS_310,ui_charm_310,standard,,,,0
311,cos_311,a&CHARMS/COS_311,ui_charm_311,standard,,,,0
312,cos_312,a&CHARMS/COS_312,ui_charm_312,standard,1,,,0
313,cos_313,a&CHARMS/COS_313,ui_charm_313,standard,1,,,0
314,cos_314,a&CHARMS/COS_314,ui_charm_314,standard,1,,,0
315,cos_315,a&CHARMS/COS_315,ui_charm_315,standard,1,,,0
316,cos_316,a&CHARMS/COS_316,ui_charm_316,standard,1,,,0
317,cos_317,a&CHARMS/COS_317,ui_charm_317,standard,1,,,0
318,cos_318,a&CHARMS/COS_318,ui_charm_318,standard,1,,,0
319,cos_319,a&CHARMS/COS_319,ui_charm_319,standard,1,,,0
320,cos_320,a&CHARMS/COS_320,ui_charm_320,standard,1,,,0
321,cos_321,a&CHARMS/COS_321,ui_charm_321,standard,1,,,0
322,cos_322,a&CHARMS/COS_322,ui_charm_322,standard,1,,,0
323,cos_323,a&CHARMS/COS_323,ui_charm_323,standard,1,,,0
324,cos_324,a&CHARMS/COS_324,ui_charm_324,standard,1,,,0
325,cos_325,a&CHARMS/COS_325,ui_charm_325,standard,1,,,0
326,cos_326,a&CHARMS/COS_326,ui_charm_326,standard,1,,,0
327,cos_327,a&CHARMS/COS_327,ui_charm_327,standard,1,,,0
328,cos_328,a&CHARMS/COS_328,ui_charm_328,standard,1,,,0
329,cos_329,a&CHARMS/COS_329,ui_charm_329,standard,1,,,0
330,cos_330,a&CHARMS/COS_330,ui_charm_330,standard,1,,,0
331,cos_331,a&CHARMS/COS_331,ui_charm_331,standard,1,,,0
332,cos_332,a&CHARMS/COS_332,ui_charm_332,standard,1,,,0
333,cos_333,a&CHARMS/COS_333,ui_charm_333,standard,1,,,0
334,cos_334,a&CHARMS/COS_334,ui_charm_334,standard,1,,,0
335,cos_335,a&CHARMS/COS_335,ui_charm_335,standard,1,,,0
336,cos_336,a&CHARMS/COS_336,ui_charm_336,standard,1,,,0
337,cos_337,a&CHARMS/COS_337,ui_charm_337,standard,1,,,0
338,cos_338,a&CHARMS/COS_338,ui_charm_338,standard,1,,,0
339,cos_339,a&CHARMS/COS_339,ui_charm_339,standard,1,,,0
340,cos_340,a&CHARMS/COS_340,ui_charm_340,standard,1,,,0
341,cos_341,a&CHARMS/COS_341,ui_charm_341,standard,,,,0
342,cos_342,a&CHARMS/COS_342,ui_charm_342,standard,,,,0
343,cos_343,a&CHARMS/COS_343,ui_charm_343,standard,,,,0
344,cos_344,a&CHARMS/COS_344,ui_charm_344,standard,,,,0
345,cos_345,a&CHARMS/COS_345,ui_charm_345,standard,,,,0
346,cos_346,a&CHARMS/COS_346,ui_charm_346,standard,,,,0
347,cos_347,a&CHARMS/COS_347,ui_charm_347,standard,1,,,0
348,cos_348,a&CHARMS/COS_348,ui_charm_348,standard,1,,,0
349,cos_349,a&CHARMS/COS_349,ui_charm_349,standard,,,,0
350,cos_350,a&CHARMS/COS_350,ui_charm_350,standard,,,,0
351,cos_351,a&CHARMS/COS_351,ui_charm_351,standard,,,,0
352,cos_352,a&CHARMS/COS_352,ui_charm_352,standard,,,,0
353,cos_353,a&CHARMS/COS_353,ui_charm_353,standard,,,,0
354,cos_354,a&CHARMS/COS_354,ui_charm_354,standard,,,,0
355,cos_355,a&CHARMS/COS_355,ui_charm_355,standard,,,,0
356,cos_356,a&CHARMS/COS_356,ui_charm_356,standard,1,,,0
357,cos_357,a&CHARMS/COS_357,ui_charm_357,standard,1,,,0
358,cos_358,a&CHARMS/COS_358,ui_charm_358,standard,1,,,0
359,cos_359,a&CHARMS/COS_359,ui_charm_359,standard,1,,,0
360,cos_360,a&CHARMS/COS_360,ui_charm_360,standard,1,,,0
361,cos_361,a&CHARMS/COS_361,ui_charm_361,standard,1,,,0
362,cos_362,a&CHARMS/COS_362,ui_charm_362,standard,,,,0
363,cos_363,a&CHARMS/COS_363,ui_charm_363,standard,,,,0
364,cos_364,a&CHARMS/COS_364,ui_charm_364,standard,,,,0
365,cos_365,a&CHARMS/COS_365,ui_charm_365,standard,,,,0
366,cos_366,a&CHARMS/COS_366,ui_charm_366,standard,,,,0
367,cos_367,a&CHARMS/COS_367,ui_charm_367,standard,,,,0
368,cos_368,a&CHARMS/COS_368,ui_charm_368,standard,,,,0
369,cos_369,a&CHARMS/COS_369,ui_charm_369,standard,,,,0
370,cos_370,a&CHARMS/COS_370,ui_charm_370,standard,,,,0
371,cos_371,a&CHARMS/COS_371,ui_charm_371,standard,,,,0
372,cos_372,a&CHARMS/COS_372,ui_charm_372,standard,,,,0
373,cos_373,a&CHARMS/COS_373,ui_charm_373,standard,,,,0
374,cos_374,a&CHARMS/COS_374,ui_charm_374,standard,,,,0
375,cos_375,a&CHARMS/COS_375,ui_charm_375,standard,,,,0
376,cos_376,a&CHARMS/COS_376,ui_charm_376,standard,,,,0
377,cos_377,a&CHARMS/COS_377,ui_charm_377,standard,,,,0
378,cos_378,a&CHARMS/COS_378,ui_charm_378,standard,,,,0
379,cos_379,a&CHARMS/COS_379,ui_charm_379,standard,,,,0
380,cos_380,a&CHARMS/COS_380,ui_charm_380,standard,,,,0
381,cos_381,a&CHARMS/COS_381,ui_charm_381,standard,1,,,0
382,cos_382,a&CHARMS/COS_382,ui_charm_382,standard,,,,0
383,cos_383,a&CHARMS/COS_383,ui_charm_383,standard,,,,0
384,cos_384,a&CHARMS/COS_384,ui_charm_384,standard,,,,0
385,cos_385,a&CHARMS/COS_385,ui_charm_385,standard,,,,0
