string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a
12,power_opticWave,a&PERKS/POWER_OPTICWAVE,a&PERKS/POWER_OPTICWAVE_DESC,power_opticwave_sm,power_opticwave_lrg,weapon,power_opticwave_mp,60,1,1,0,archetype_sniper,camper,regular|hardened|veteran,charges,0,a&
13,power_phaseSplit,a&PERKS/POWER_PHASESPLIT,a&PERKS/POWER_PHASESPLIT_DESC,power_phasesplit_sm,power_phasesplit_lrg,weapon,power_phasesplit_mp,45,1,1,0,archetype_sniper,camper,regular|hardened|veteran,drain,0,a&
14,power_discMarker,a&PERKS/POWER_DISC_MARKER,a&PERKS/POWER_DISC_MARKER_DESC,weapon_disc_marker_sm,weapon_disc_marker,weapon,disc_marker_mp,12,1,1,0,archetype_demolitions,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
15,power_adrenalineMist,a&PERKS/POWER_ADRENALINE_MIST,a&PERKS/POWER_ADRENALINE_MIST_DESC,hud_icon_equipment_stim,icon_equipment_slot_stim_pack,weapon,adrenaline_mist_mp,45,1,1,0,archetype_medic,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
16,power_caseBomb,a&PERKS/POWER_CASE_BOMB,a&PERKS/POWER_CASE_BOMB_DESC,weapon_case_bomb_sm,weapon_case_bomb_large,weapon,case_bomb_mp,45,1,1,0,archetype_demolitions,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
17,power_semtex,a&PERKS/POWER_SEMTEX,a&PERKS/POWER_SEMTEX_DESC,hud_icon_equipment_semtex,icon_equipment_slot_semtex,weapon,semtex_mp,45,1,1,0,archetype_demolitions,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
18,power_thermobaric,a&PERKS/POWER_THERMOBARIC,a&PERKS/POWER_THERMOBARIC_DESC,weapon_thermobaric,weapon_thermobaric_360,weapon,thermobaric_grenade_mp,30,1,1,0,archetype_demolitions,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
19,power_overCharge,a&PERKS/POWER_OVERCHARGE,a&PERKS/POWER_OVERCHARGE_DESC,icon_ability_overcharge,icon_ability_overcharge,weapon,power_overcharge_mp,45,1,1,0,archetype_assault,run_and_gun|cqb,hardened|veteran,drain,0,a&
20,power_smokeWall,a&PERKS/POWER_THROWING_KNIFE_SMOKEWALL,a&PERKS/POWER_THROWING_KNIFE_SMOKEWALL_DESC,throw_knifesmokewall_sm,throw_knifesmokewall_lrg,weapon,throwingknifesmokewall_mp,45,1,1,0,archetype_scout,run_and_gun|cqb,recruit|regular|hardened|veteran,charges,0,a&
21,power_copycatGrenade,a&PERKS_POWER_COPYCAT_GRENADE,a&PERKS_POWER_COPYCAT_GRENADE_DESC,weapon_flashbang,weapon_flashbang,weapon,copycat_grenade_mp,10,1,1,0,archetype_engineer,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
22,power_speedStrip,a&PERKS/POWER_SPEED_STRIP,a&PERKS/POWER_SPEED_STRIP_DESC,weapon_speed_strip,weapon_speed_strip_large,weapon,speed_strip_mp,60,1,1,0,archetype_medic,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
23,power_comlink,a&PERKS/POWER_COMLINK,a&PERKS/POWER_COMLINK_DESC,power_comlink_sm,power_comlink_lrg,weapon,<power_script_generic_weapon>,30,1,1,0,none,none,none,charges,0,a&
24,power_empGrenade,a&WEAPON/EMP_GRENADE,a&PERKS/POWER_EMP_GRENADE_DESC,icon_ability_emp_grenade,icon_weapon_render_emp_grenade,weapon,emp_grenade_mp,30,1,1,0,archetype_assault,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
25,power_shardBall,a&PERKS/POWER_SHARD_BALL,a&PERKS/POWER_SHARD_BALL_DESC,weapon_shard_ball,weapon_shard_ball_large,weapon,shard_ball_mp,45,1,1,0,archetype_assault,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
26,power_splashGrenade,a&PERKS/SEMTEX,a&PERKS/DESC_SEMTEX,equipment_icon_slot_plasmagrenade,equipment_icon_showcase_plasmagrenade,weapon,splash_grenade_mp,45,1,1,0,archetype_assault,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
27,power_forcePush,a&PERKS/POWER_FORCEPUSH,a&PERKS/POWER_FORCEPUSH_DESC,power_forcePush_sm,power_forcePush_lrg,weapon,forcepush_mp,30,1,1,0,archetype_assault,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
28,power_c4,a&PERKS/C4,a&PERKS/DESC_C4,hud_icon_equipment_c4,icon_equipment_slot_c4,weapon,c4_mp,45,1,1,0,archetype_assault,run_and_gun|cqb,regular|hardened|veteran,interact,0,a&
29,power_throwingReap,a&PERKS/POWER_THROWING_REAPER,a&PERKS/POWER_THROWING_REAPER_DESC,power_plasmaspear_sm,power_plasmaspear_lrg,weapon,throwingreaper_mp,5,1,1,0,archetype_reaper,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
30,power_portalGenerator,a&PERKS/POWER_PORTAL_GENERATOR,a&PERKS/POWER_PORTAL_GENERATOR_DESC,weapon_portal_generator_sm,weapon_portal_generator_lrg,weapon,portal_generator_mp,10,1,1,0,archetype_medic,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
31,power_transponder,a&PERKS/POWER_TRANSPONDER,a&PERKS/POWER_TRANSPONDER_DESC,power_transponder_sm,power_transponder_lrg,weapon,transponder_mp,20,1,1,0,archetype_sniper,run_and_gun|cqb,recruit|regular|hardened|veteran,interact,0,a&
32,power_sonicSensor,a&PERKS/POWER_SONICSENSOR,a&PERKS/POWER_SONICSENSOR_DESC,weapon_concsensor_sm,weapon_concsensor_360,weapon,sonic_sensor_mp,15,1,1,0,archetype_sniper,none,none,charges,0,a&
33,power_barrier,a&PERKS/POWER_BARRIER,a&PERKS/POWER_BARRIER_DESC,power_barrier_sm,power_barrier_lrg,weapon,<power_script_generic_weapon>,60,1,1,0,archetype_assault,run_and_gun|cqb,recruit|regular|hardened|veteran,charges,0,a&
34,power_mortarMount,a&PERKS/POWER_MORTARMOUNT,a&PERKS/POWER_MORTARMOUNT_DESC,power_mortarmount_sm,power_mortarmount_lrg,weapon,<power_script_generic_weapon>,30,1,1,0,archetype_heavy,,,drain,0,a&
35,power_adrenaline,a&PERKS/HEALING_SYRINGE,a&PERKS/HEALING_SYRINGE_DESC,hud_icon_equipment_stim,icon_equipment_slot_stim_pack,weapon,adrenaline_mp,20,1,1,0,archetype_assault,run_and_gun|cqb,hardened|veteran,drain,0,a&MENU/KILLS
36,power_multiVisor,a&PERKS/MULTIVISOR,a&PERKS/MULTIVISOR_DESC,power_opticwave_sm,power_opticwave_lrg,weapon,power_multivisor_mp,20,1,1,0,archetype_assault,run_and_gun|cqb,hardened|veteran,charges,0,a&
37,power_trophy,a&PERKS/TROPHY,a&PERKS/DESC_TROPHY,equipment_icon_slot_trophysystem,equipment_icon_showcase_trophysystem,weapon,trophy_mp,20,1,1,0,archetype_assault,run_and_gun|cqb,hardened|veteran,charges,0,a&MP_FRONTEND_ONLY/STAT_SAVES
38,power_stealthMode,a&PERKS/POWER_STEALTH_MODE,a&PERKS/POWER_STEALTH_MODE_DESC,power_stealthmode_sm,power_stealthmode_lrg,weapon,power_stealthmode_mp,20,1,1,0,archetype_scout,run_and_gun|cqb,hardened|veteran,drain,0,a&
39,power_disruptor,a&PERKS/POWER_DISRUPTOR,a&PERKS/POWER_DISRUPTOR_DESC,weapon_shard_ball,weapon_shard_ball_large,weapon,throwingknifedisruptor_mp,5,1,1,0,archetype_scout,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
40,power_pulseGrenade,a&PERKS/PULSE_GRENADE,a&PERKS/DESC_PULSE_GRENADE,power_pulse_grenade_sm,power_pulse_grenade_lrg,weapon,pulse_grenade_mp,45,1,1,0,archetype_scout,run_and_gun|cqb,hardened|veteran,charges,0,a&
41,power_siphonKnife,a&PERKS/POWER_SIPHONKNIFE,a&PERKS/POWER_SIPHONKNIFE_DESC,throw_knifesiphon_sm,weapon_knifesiphon_lrg,weapon,throwingknifesiphon_mp,60,1,1,0,archetype_heavy,,,charges,0,a&
42,power_engineerDrone,a&PERKS/POWER_ENG_DRONE,a&PERKS/POWER_ENG_DRONE_DESC,util_drone_sm,util_drone_lrg,weapon,power_utility_drone_mp,20,1,1,0,archetype_engineer,run_and_gun|cqb,regular|hardened|veteran,drain,0,a&
43,power_ammoBox,a&PERKS/POWER_AMMO_BOX,a&PERKS/POWER_AMMO_BOX_DESC,power_ammo_box_sm,power_ammo_box_lrg,weapon,ammo_box_mp,40,1,1,0,archetype_engineer,run_and_gun|cqb,hardened|veteran,charges,0,a&
44,power_portalGrenade,a&PERKS/POWER_PORTAL_GRENADE,a&PERKS/POWER_PORTAL_GRENADE_DESC,weapon_portal_grenade_sm,weapon_portal_grenade,weapon,portal_grenade_mp,20,1,1,0,archetype_assassin,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
45,power_virusGrenade,a&PERKS/POWER_VIRUS_GRENADE,a&PERKS/POWER_VIRUS_GRENADE_DESC,power_virus_grenade_sm,power_virus_grenade_lrg,weapon,virus_grenade_mp,30,1,1,0,archetype_assassin,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
46,power_fearGrenade,a&PERKS/POWER_FEAR_GRENADE,a&PERKS/POWER_FEAR_GRENADE_DESC,power_feargrenade_sm,power_feargrenade_lrg,weapon,fear_grenade_mp,20,1,1,0,archetype_sniper,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
47,power_distortionField,a&PERKS/POWER_DISTORTIONFIELD_GRENADE,a&PERKS/POWER_DISTORTIONFIELD_GRENADE_DESC,power_virus_grenade_sm,power_virus_grenade_lrg,weapon,distortionfield_grenade_mp,5,1,1,0,archetype_sniper,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
48,power_attackDrone,a&PERKS/POWER_ATTACK_DRONE,a&PERKS/POWER_ATTACK_DRONE_DESC,power_attack_drone_sm,power_attack_drone_lrg,weapon,power_attack_drone_mp,45,1,1,0,archetype_sniper,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
49,power_frag,a&PERKS/FRAG_GRENADE,a&PERKS/DESC_FRAG_GRENADE,hud_icon_equipment_frag,icon_equipment_slot_frag,weapon,frag_grenade_mp,45,1,1,0,archetype_sniper,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
50,power_cryoMine,a&PERKS/POWER_CRYO_MINE,a&PERKS/POWER_CRYO_MINE_DESC,equipment_icon_slot_cryomine,equipment_icon_showcase_cryomine,weapon,cryo_mine_mp,45,1,1,0,archetype_scout,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&MENU/HITS
51,power_wristRocket,a&PERKS/POWER_WRISTROCKET,a&PERKS/POWER_WRISTROCKET_DESC,equipment_icon_slot_trackinggrenade,equipment_icon_showcase_trackinggrenade,weapon,pop_rocket_mp,45,1,1,0,archetype_heavy,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
52,power_explodingDrone,a&PERKS/POWER_EXPLODING_DRONE,a&PERKS/POWER_EXPLODING_DRONE_DESC,equipment_icon_slot_explodingdrone,equipment_icon_showcase_explodingdrone,weapon,power_exploding_drone_mp,30,1,1,0,archetype_engineer,run_and_gun|cqb,regular|hardened|veteran,interact,0,a&
53,power_claymore,a&PERKS/CLAYMORE,a&PERKS/DESC_CLAYMORE,hud_icon_equipment_claymore,icon_equipment_slot_claymore,weapon,claymore_mp,45,1,1,0,archetype_assault,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
54,power_coneFlash,a&PERKS/POWER_CONE_FLASH,a&PERKS/POWER_CONE_FLASH_DESC,power_coneflash_sm,power_coneflash_lrg,weapon,coneflash_mp,25,1,1,0,archetype_heavy,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
55,power_blackhat,a&PERKS/POWER_BLACKHAT,a&PERKS/POWER_BLACKHAT_DESC,power_blackhat_sm,power_blackhat_lrg,weapon,power_blackhat_mp,20,1,1,0,engineer,run_and_gun|cqb,hardened|veteran,charges,0,a&
56,power_deployableCover,a&PERKS/POWER_DEPLOYABLE_COVER,a&PERKS/POWER_DEPLOYABLE_COVER_DESC,equipment_icon_slot_foam,render_equipment_foam,weapon,deployable_cover_mp,30,1,1,0,archetype_heavy,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
57,power_spiderGrenade,a&PERKS/POWER_SPIDER_GRENADE,a&PERKS/POWER_SPIDER_GRENADE_DESC,equipment_icon_slot_seeker,render_equipment_seeker,weapon,power_spider_grenade_mp,45,1,1,0,archetype_sniper,,,charges,0,a&
58,power_hackKnife,a&PERKS/POWER_HACK_KNIFE,a&PERKS/POWER_HACK_KNIFE_DESC,power_plasmaspear_sm,power_plasmaspear_lrg,weapon,throwingknifehack_mp,45,1,1,0,archetype_sniper,,,charges,0,a&
59,power_concussionGrenade,a&PERKS/CONCUSSION_GRENADE,a&PERKS/DESC_CONCUSSION_GRENADE,hud_icon_equipment_stun,icon_equipment_slot_stun,weapon,concussion_grenade_mp,30,1,1,0,,,,charges,0,a&MENU/HITS
60,power_splitGrenade,a&PERKS/POWER_SPLIT_GRENADE,a&PERKS/POWER_SPLIT_GRENADE_DESC,equipment_icon_slot_splitgren,equipment_icon_showcase_splitgren,weapon,split_grenade_mp,45,1,1,0,,,,charges,0,a&
61,power_tripMine,a&PERKS/POWER_TRIP_MINE,a&PERKS/POWER_TRIP_MINE_DESC,equipment_icon_slot_tripmine,equipment_icon_showcase_tripmine,weapon,trip_mine_mp,45,1,1,0,,,,charges,0,a&
62,power_periphVis,a&PERKS/POWER_PERIPHVIS,a&PERKS/POWER_PERIPHVIS_DESC,equipment_icon_slot_personalradar,equipment_icon_showcase_personalradar,weapon,<power_script_generic_weapon>,30,1,1,0,,,,drain,0,a&MENU/KILLS
63,power_throwingKnife,a&PERKS/THROWING_KNIFE,a&PERKS/DESC_THROWING_KNIFE,equipment_icon_slot_biospike,equipment_icon_showcase_biospike,weapon,throwingknife_mp,60,1,1,0,archetype_assault,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
64,power_tacInsert,a&PERKS/TACTICALINSERTION,a&PERKS/DESC_TACTICALINSERTION,equipment_icon_slot_tactical_insert,equipment_icon_slot_tactical_insert,weapon,flare_mp,60,1,1,0,archetype_assault,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
65,power_flash,a&PERKS/FLASH_GRENADE,a&PERKS/FLASH_GRENADE_DESC,hud_icon_equipment_flash,icon_equipment_slot_flash,weapon,flash_grenade_mp,10,1,1,0,archetype_engineer,run_and_gun|cqb,regular|hardened|veteran,charges,0,a&
66,power_helmet,a&PERKS/HELMET,a&PERKS/HELMET_DESC,hud_helmet,hud_helmet,weapon,power_helmet_mp,0,1,1,0,archetype_heavy,run_and_gun|cqb,recruit|regular|hardened|veteran,charges,0,a&
