string,string,string,string,string,string,string,string,string,string,string,string,xhash32,xhash32,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized
item,brloot_offhand_claymore,lethal,2,1,,,,equip_claymore,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_equipment_claymore,,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_claymore,,&EQUIPMENT/CLAYMORE_BR
item,brloot_offhand_molotov,lethal,1,1,,,,equip_molotov,,,,x32#hash_c7c1c3c4,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_equipment_molotov,,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_molotov,,&
item,brloot_offhand_semtex,lethal,0,1,,,,equip_semtex,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_equipment_semtex,iw9_br_pickup_tactical,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_semtex,,&EQUIPMENT/SEMTEX_BR
item,brloot_offhand_thermite,lethal,1,1,,,,equip_thermite,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_equipment_thermite,,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_thermite,,&EQUIPMENT/THERMITE_BR
item,brloot_offhand_throwingknife,lethal,0,1,,,,equip_throwing_knife,,,,x32#hash_c7c1c41c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_equipment_throwingknife,,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_throwingknife,,&EQUIPMENT/THROWING_KNIFE_BR
item,brloot_health_adrenaline,tactical,0,1,,,,equip_adrenaline,,,,x32#hash_c7c1ac20,x32#hash_c7e09ba7,ui_mp_br_loot_icon_health_stim,,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_health_stim,,&EQUIPMENT/ADRENALINE_BR 
item,brloot_offhand_concussion,tactical,1,1,,,,equip_concussion,,,,x32#hash_c7c1c378,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_equipment_concussion,,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_concussion,,&EQUIPMENT/CONCUSSION_BR
item,brloot_offhand_decoy,tactical,0,1,,,,equip_decoy,,,,x32#hash_c7c1aeae,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_equipment_decoy,,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_decoy,,&EQUIPMENT/DECOY_BR
item,brloot_offhand_flash,tactical,1,1,,,,equip_flash,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_equipment_flash,iw9_br_pickup_tactical,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_flash,,&EQUIPMENT/FLASH_BR
item,brloot_offhand_binoculars,tactical,0,1,,,,equip_binoculars,,,,x32#hash_c7fa1d64,x32#hash_c7bbcaa8,hud_icon_equipment_spotter_scope,,,2,1,,,,,,1,,,,,,,,,,hud_icon_equipment_spotter_scope,,&EQUIPMENT/BINOCULARS
item,brloot_offhand_smoke,tactical,1,1,,,,equip_smoke,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_equipment_smoke,iw9_br_pickup_tactical,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_smoke,,&EQUIPMENT/SMOKE
item,brloot_offhand_gas,tactical,0,1,,,,equip_gas_grenade,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_equipment_gas,,,2,2,,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_gas,,&EQUIPMENT/GAS_BR
item,brloot_offhand_heartbeatsensor,tactical,2,1,,,,equip_hb_sensor,,,,x32#hash_c7fa1d80,x32#hash_c7bbcaa8,hud_icon_equipment_hb_sensor,,,2,1,,,,,,1,,,,,,,,,,hud_icon_equipment_hb_sensor,,&EQUIPMENT/HEARTBEATSENSOR_BR
item,brloot_quest_tablet,tablet,6,1,,,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,hud_icon_fieldupgrade_ammo_box,,4,2,1,,,,,,,,#Loot Card - Contract Type,#Loot Card - Contract Time,#Loot Card - Reward 1,#Loot Card - Reward 2,#missionIndex,#Always Draw In World,#Always Snap To Edge,,hud_icon_fieldupgrade_ammo_box,,&MP/BR_MISSION_TABLET
item,brloot_assassination_tablet_mgl,tablet,6,1,,,,,,,,x32#hash_14c,x32#hash_c7e07ad8,ui_mp_mobile_contract_assassin_icon,,4,2,1,,ui_mp_br_mapmenu_icon_assassin_tablet,mp/loot/br/resurgence_mgl/lootset_contract_asn.csv,,,,,MP_BR_INGAME/CONTRACT_TYPE_COMBAT,180,plunder_large,,assassination,,,,ui_mp_mobile_contract_assassin_icon,,&MP_BR_INGAME/ASSASSIN_CONTRACT
item,brloot_domination_tablet_mgl,tablet,6,1,,,,,,,,x32#hash_c7c1c336,x32#hash_14c,ui_mp_mobile_contract_dom_icon,,4,2,1,,ui_mp_br_mapmenu_icon_dom_tablet,mp/loot/br/resurgence_mgl/lootset_contract_dom.csv,,,,,MP_BR_INGAME/CONTRACT_TYPE_LOCATION,240,plunder_small,circle_peek,domination,,,,ui_mp_mobile_contract_dom_icon,,&MP_BR_INGAME/DOMINATION_CONTRACT
item,brloot_scavenger_tablet_mgl,tablet,6,1,,,,,,,,x32#hash_c80124e0,x32#hash_14c,ui_mp_mobile_contract_search_icon,,4,2,1,,ui_mp_br_mapmenu_icon_scavengerhunt_tablet,mp/loot/br/resurgence_mgl/lootset_contract_scav1.csv,mp/loot/br/resurgence_mgl/lootset_contract_scav2.csv,mp/loot/br/resurgence_mgl/lootset_contract_scav3.csv,,,MP_BR_INGAME/CONTRACT_TYPE_LOOTING,300,plunder_medium,loot_platepouch_nosplash,scavenger,,,,ui_mp_mobile_contract_search_icon,,&MP_BR_INGAME/SCAVENGER_CONTRACT
item,brloot_vip_tablet_mgl,tablet,6,1,,,,,,,,x32#hash_c7fa1d2c,x32#hash_c7e06c54,ui_mp_mobile_contract_vip_icon,,4,2,1,,ui_mp_br_mapmenu_icon_vip_tablet,mp/loot/br/resurgence_mgl/lootset_empty.csv,,,,,MP_BR_INGAME/CONTRACT_TYPE_COMBAT,180,plunder_large,team_revive,vip,,,,ui_mp_mobile_contract_vip_icon,,&MP_BR_INGAME/VIP_CONTRACT
item,brloot_timedrun_tablet_mgl,tablet,6,1,,,,,,,,x32#hash_14c,x32#hash_14c,ui_mp_mobile_contract_timedrun_icon,,4,2,1,,ui_mp_br_mapmenu_icon_timedrun_tablet,mp/loot/br/resurgence_mgl/lootset_empty.csv,,,,,MP_BR_INGAME/CONTRACT_TYPE_LOCATION,120,plunder_small,fire_sale,timedrun,,,,ui_mp_mobile_contract_timedrun_icon,,&MP_BR_INGAME/TIMEDRUN_CONTRACT
item,br_loot_cache,cache,2,1,,,,,,,,x32#hash_14c,x32#hash_c7e08dee,ui_mp_br_loot_icon_generic_crate,,4,2,1,,,,,,,,,,,,,,,,ui_mp_br_loot_icon_generic_crate,,&MP/BR_LOOT_CACHE
item,br_loot_cache_lege,cache,4,1,,,,,,,,x32#hash_14c,x32#hash_c7e08dee,ui_mp_br_loot_icon_generic_crate,br_legendary_loot_pickup,4,2,1,,,,,,,,,,,,,,,,ui_mp_br_loot_icon_generic_crate,,&MP/BR_LOOT_CACHE
item,br_scavenger_quest_cache,cache,6,1,,,,,,,,x32#hash_c8012507,x32#hash_c7bbcaa8,ui_mp_mobile_contract_search_icon,,4,2,1,,,mp/loot/br/resurgence_mgl/lootset_contract_scav1.csv,mp/loot/br/resurgence_mgl/lootset_contract_scav2.csv,mp/loot/br/resurgence_mgl/lootset_contract_scav3.csv,,,,,,,,,,,ui_mp_mobile_contract_search_icon,,&LUA_MENU_MOBILE/LOOT_CARD_SCAVENGER_LOOT_CACHE_TITLE
item,br_plunder_box,kiosk,1,1,,,,,,,,x32#hash_c7c1b5a3,x32#hash_c7e06930,hud_icon_br_plunder_box,,4,2,1,,hud_icon_br_plunder_box,,,,,,,,,,,,,,hud_icon_br_plunder_box,,&MP_BR_INGAME/ARMORY_KIOSK
item,br_reusable_loot_cache,cache,6,1,,,,,,,,x32#hash_c7c1acdc,x32#hash_14c,ui_mp_br_loot_icon_generic_crate,,4,2,1,,,mp/loot/br/resurgence_mgl/lootset_cache_reusable1.csv,mp/loot/br/resurgence_mgl/lootset_cache_reusable2.csv,mp/loot/br/resurgence_mgl/lootset_cache_reusable3.csv,,,,,,,,,,,ui_mp_br_loot_icon_generic_crate,,&MP_BR_INGAME/ITEM_TYPE_CACHE
item,brloot_backpack,container,0,1,,nodrop,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,hud_icon_loot_pack,,4,2,1,,,,,,,,,,,,,,,,hud_icon_loot_pack,,&LOOT_MP/BACKPACK
item,brloot_backpack_player_small,container,0,1,,nodrop,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,hud_icon_loot_pack,,4,2,1,,,,,,,,,,,,,,,,hud_icon_loot_pack,,&LOOT_MP/BACKPACK
item,brloot_backpack_player_medium,container,0,1,,nodrop,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,hud_icon_loot_pack,,4,2,1,,,,,,,,,,,,,,,,hud_icon_loot_pack,,&LOOT_MP/BACKPACK
item,brloot_backpack_player_large,container,0,1,,nodrop,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,hud_icon_loot_pack,,4,2,1,,,,,,,,,,,,,,,,hud_icon_loot_pack,,&LOOT_MP/BACKPACK
item,brloot_killstreak_clusterstrike_mgl,killstreak,3,1,,,,,,,,x32#hash_14c,x32#hash_c8012bc7,hud_icon_killstreak_tomastrike,,,4,,toma_strike,,,,,1,,,,,,,,,,hud_icon_killstreak_tomastrike,,&KILLSTREAKS/TOMA_STRIKE_MOBILE
item,brloot_killstreak_precision_airstrike_mgl,killstreak,4,1,,,,,,,,x32#hash_c7fa1d8e,x32#hash_c8012b61,hud_icon_killstreak_airstrike,br_legendary_loot_pickup,,4,,precision_airstrike,,,,,1,,,,,,,,,,hud_icon_killstreak_airstrike,,&KILLSTREAKS/PRECISION_AIRSTRIKE
item,brloot_killstreak_uav_mgl,killstreak,4,1,,,,,,,,x32#hash_14c,x32#hash_c7e0aa23,hud_icon_killstreak_uav,br_legendary_loot_pickup,,4,,uav,,,,,1,,,,,,,,,,hud_icon_killstreak_uav,,&KILLSTREAKS/UAV
item,brloot_killstreak_auav_mgl,killstreak,4,1,,,,,,,,x32#hash_14c,x32#hash_14c,hud_icon_killstreak_auav,br_legendary_loot_pickup,,4,,directional_uav,,,,,1,,,,,,,,,,hud_icon_killstreak_auav,,&KILLSTREAKS/DIRECTIONAL_UAV
item,brloot_offhand_taccover,super,2,1,,,,equip_tac_cover,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_equipment_taccover,,4,2,1,super_tac_cover,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_taccover,,&EQUIPMENT/TACTICAL_COVER
item,brloot_offhand_trophysystem,super,2,1,,,,equip_trophy,,,,x32#hash_c7fa1cb0,x32#hash_c8012507,hud_icon_equipment_trophy,,4,2,1,super_trophy,,,,,1,,,,,,,,,,hud_icon_equipment_trophy,,&EQUIPMENT/TROPHY
item,brloot_super_stoppingpower,super,4,1,,,,equip_stoppingpower,,,,x32#hash_c7bfbd30,x32#hash_14c,hud_icon_fieldupgrade_stopping_power,br_legendary_loot_pickup,4,2,1,super_support_box,,,,,1,,,,,,,,,,hud_icon_fieldupgrade_stopping_power,,&EQUIPMENT/SUPPORT_BOX
item,brloot_super_munitionsbox,super,4,1,,,,equip_munitionsbox,,,,x32#hash_c8017c30,x32#hash_14c,hud_icon_fieldupgrade_ammo_box,br_legendary_loot_pickup,4,2,1,super_ammo_drop,,,,,1,,,,,,,,,,hud_icon_fieldupgrade_ammo_box,,&EQUIPMENT/AMMO_DROP
item,brloot_super_armorbox,super,4,1,,,,equip_armorbox,,,,x32#hash_c7c1c406,x32#hash_14c,hud_icon_fieldupgrade_armor_box,br_legendary_loot_pickup,4,2,1,super_armor_drop,,,,,1,,,,,,,,,,hud_icon_fieldupgrade_armor_box,,&EQUIPMENT/ARMOR_DROP
item,brloot_offhand_advancedsupplydrop,super,4,1,,,,equip_advanced_supply_drop,,,,x32#hash_c7c1c3da,x32#hash_c8012aff,ui_mp_br_loot_icon_equipment_requisition_airdrop,br_legendary_loot_pickup,4,2,1,super_supply_drop,,,,,1,,,,,,,,,,ui_mp_br_loot_icon_equipment_requisition_airdrop,,&EQUIPMENT/ADVANCED_SUPPLY_DROP
item,brloot_weapon_generic_me,weapon,10,,,,,iw9_me_knife,brloot_weapon_generic_me,,,x32#hash_14c,x32#hash_c8012b43,icon_weapon_me_tactical_knife_v10,,,,,,,,,,1,,,,,,,,,,icon_weapon_me_tactical_knife_v10,,&MP/BR_TYPE_GENERIC_ME
item,brloot_weapon_generic_pi,weapon,10,,,,,iw9_pi_golf17,brloot_weapon_generic_pi,,,x32#hash_c80124f9,x32#hash_c8012ab8,hud_icon_weapon_pi_golf17,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_pi_golf17,,&MP/BR_TYPE_GENERIC_PI
item,brloot_weapon_generic_sh,weapon,10,,,,,iw9_sh_mbravo,brloot_weapon_generic_sh,,,x32#hash_14c,x32#hash_c7bfbdbe,hud_icon_weapon_sh_mbravo,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sh_mbravo,,&MP/BR_TYPE_GENERIC_SH
item,brloot_weapon_generic_sm,weapon,10,,,,,iw9_sm_mpapa5,brloot_weapon_generic_sm,,,x32#hash_c7fa1d56,x32#hash_14c,hud_icon_weapon_sm_mpapa5,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sm_mpapa5,,&MP/BR_TYPE_GENERIC_SM
item,brloot_weapon_generic_ar,weapon,10,,,,,iw9_ar_mike4,brloot_weapon_generic_ar,,,x32#hash_14c,x32#hash_c8012b43,icon_weapon_ar_mike4,,,,,,,,,,1,,,,,,,,,,icon_weapon_ar_mike4,,&MP/BR_TYPE_GENERIC_AR
item,brloot_weapon_generic_lm,weapon,10,,,,,iw9_lm_slima,brloot_weapon_generic_lm,,,x32#hash_c7c1b6db,x32#hash_c7e056bf,hud_icon_weapon_lm_slima,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_lm_slima,,&MP/BR_TYPE_GENERIC_LM
item,brloot_weapon_generic_dm,weapon,10,,,,,iw9_dm_pgolf1,brloot_weapon_generic_dm,,,x32#hash_c7fa1d48,x32#hash_14c,hud_icon_weapon_dm_pgolf1,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_dm_pgolf1,,&MP/BR_TYPE_GENERIC_DM
item,brloot_weapon_generic_sn,weapon,10,,,,,iw9_sn_alpha50,brloot_weapon_generic_sn,,,x32#hash_14c,x32#hash_14c,icon_weapon_sn_alpha50,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sn_alpha50,,&MP/BR_TYPE_GENERIC_SN
item,brloot_weapon_generic_la,weapon,10,,,,,iw9_la_rpapa7,brloot_weapon_generic_la,,,x32#hash_14c,x32#hash_14c,icon_weapon_la_rpapa7,,,,,,,,,,1,,,,,,,,,,icon_weapon_la_rpapa7,,&MP/BR_TYPE_GENERIC_LA
item,brloot_weapon_me_tactical_knife_comm,weapon,0,,11355,,,iw9_me_knife,,,iw9_me_knife_mp+iw9_me_knife,x32#hash_c8037f18,x32#hash_c8012b43,icon_weapon_me_tactical_knife_v10,,,,,,,,,,1,,,,,,,,,,icon_weapon_me_tactical_knife_v10,,&MP/BR_TYPE_KN
item,brloot_weapon_pi_golf17_comm,weapon,0,,11307,,,iw9_pi_golf17,,,iw9_pi_golf17_mp+ammo_9p+bar_pi_p24+ironsdefault_golf17+mag_pi_p24+pgrip_p24+rec_golf17+stockno_pi_p24,x32#hash_c7fa1ce0,x32#hash_c8012ab8,hud_icon_weapon_pi_golf17,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_pi_golf17,,&MP/BR_TYPE_PI
item,brloot_weapon_pi_golf17_unco,weapon,1,,11307,,,iw9_pi_golf17,,iw9_silencer01,iw9_pi_golf17_mp+ammo_9p+bar_pi_p24+ironsdefault_golf17+mag_pi_p24+pgrip_p24+rec_golf17+stockno_pi_p24+iw9_silencer01,x32#hash_c7fa1ce0,x32#hash_c8012ab8,hud_icon_weapon_pi_golf17,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_pi_golf17,,&MP/BR_TYPE_PI
item,brloot_weapon_pi_golf17_rare,weapon,2,,11307,,,iw9_pi_golf17,,iw9_minireddot02_pstl+iw9_silencer01,iw9_pi_golf17_mp+ammo_9p+bar_pi_p24+iw9_minireddot02_pstl+mag_pi_p24+pgrip_p24+rec_golf17+stockno_pi_p24+iw9_silencer01,x32#hash_c7fa1ce0,x32#hash_c8012ab8,hud_icon_weapon_pi_golf17,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_pi_golf17,,&MP/BR_TYPE_PI
item,brloot_weapon_pi_golf18_comm,weapon,0,,11361,,,iw9_pi_golf18,,,iw9_pi_golf18_mp+rec_golf18+bar_sm_p24+stockno_pi_p24+mag_pi_p24+ironsdefault_golf17+ammo_9p+pgrip_p24+trigger_p24,x32#hash_c7fa1ce0,x32#hash_14c,hud_icon_weapon_pi_golf18,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_pi_golf18,,&MP/BR_TYPE_PI
item,brloot_weapon_pi_golf18_unco,weapon,1,,11361,,,iw9_pi_golf18,,iw9_minireddot03_pstl,iw9_pi_golf18_mp+rec_golf18+bar_sm_p24+stockno_pi_p24+mag_pi_p24+iw9_minireddot03_pstl+ammo_9p+pgrip_p24+trigger_p24,x32#hash_c7fa1ce0,x32#hash_14c,hud_icon_weapon_pi_golf18,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_pi_golf18,,&MP/BR_TYPE_PI
item,brloot_weapon_pi_golf18_rare,weapon,2,,11361,,,iw9_pi_golf18,,iw9_minireddot03_pstl+iw9_silencer02,iw9_pi_golf18_mp+rec_golf18+bar_sm_p24+stockno_pi_p24+mag_pi_p24+iw9_minireddot03_pstl+ammo_9p+pgrip_p24+trigger_p24+iw9_silencer02,x32#hash_c7fa1ce0,x32#hash_14c,hud_icon_weapon_pi_golf18,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_pi_golf18,,&MP/BR_TYPE_PI
item,brloot_weapon_sh_mbravo_comm,weapon,0,,11356,,,iw9_sh_mbravo,,,iw9_sh_mbravo_mp+rec_mbravo+bartube_sh_p13+stockr_sh_p13_mbravo+tube_8_12g_mbravo+grip_mbravo+ironsdefault_mbravo+guard_p13+ammo_12g,x32#hash_14c,x32#hash_c7bfbdbe,hud_icon_weapon_sh_mbravo,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sh_mbravo,,&MP/BR_TYPE_SH
item,brloot_weapon_sh_mbravo_unco,weapon,1,,11356,,,iw9_sh_mbravo,,holo02,iw9_sh_mbravo_mp+rec_mbravo+bartube_sh_p13+stockr_sh_p13_mbravo+tube_8_12g_mbravo+grip_mbravo+holo02+guard_p13+ammo_12g,x32#hash_14c,x32#hash_c7bfbdbe,hud_icon_weapon_sh_mbravo,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sh_mbravo,,&MP/BR_TYPE_SH
item,brloot_weapon_sh_mbravo_rare,weapon,2,,11356,,,iw9_sh_mbravo,,holo02+iw9_silencer02,iw9_sh_mbravo_mp+rec_mbravo+bartube_sh_p13+stockr_sh_p13_mbravo+tube_8_12g_mbravo+grip_mbravo+holo02+guard_p13+ammo_12g+iw9_silencer02,x32#hash_14c,x32#hash_c7bfbdbe,hud_icon_weapon_sh_mbravo,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sh_mbravo,,&MP/BR_TYPE_SH
item,brloot_weapon_sh_mike1014_comm,weapon,0,,11366,,,iw9_sh_mike1014,,,iw9_sh_mike1014_mp+rec_mike1014+bar_sh_p12+stock_sh_p12+tube_7_12g_mike1014+guard_p12+ironsdefault_mike1014+ammo_12g+bolt_p12,x32#hash_14c,x32#hash_c7e05f64,hud_icon_weapon_sh_mike1014,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sh_mike1014,,&MP/BR_TYPE_SH
item,brloot_weapon_sh_mike1014_unco,weapon,1,,11366,,,iw9_sh_mike1014,,holo01,iw9_sh_mike1014_mp+rec_mike1014+bar_sh_p12+stock_sh_p12+tube_7_12g_mike1014+guard_p12+ammo_12g+bolt_p12+holo01,x32#hash_14c,x32#hash_c7e05f64,hud_icon_weapon_sh_mike1014,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sh_mike1014,,&MP/BR_TYPE_SH
item,brloot_weapon_sh_mike1014_rare,weapon,2,,11366,,,iw9_sh_mike1014,,holo01+iw9_silencer02,iw9_sh_mike1014_mp+rec_mike1014+bar_sh_p12+stock_sh_p12+tube_7_12g_mike1014+guard_p12+ammo_12g+bolt_p12+holo01+iw9_silencer02,x32#hash_14c,x32#hash_c7e05f64,hud_icon_weapon_sh_mike1014,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sh_mike1014,,&MP/BR_TYPE_SH
item,brloot_weapon_sm_mpapa5_comm,weapon,0,,11338,,,iw9_sm_mpapa5,,,iw9_sm_mpapa5_mp+rec_mpapa5_mp+bar_sm_p02+stock_sm_p02_mpapa5+mag_sm_p02+ironsdefault_mpapa5+selectburst_mpapa5+ammo_9p+pgrip_sm_tac_p02,x32#hash_c7c1b4de,x32#hash_14c,hud_icon_weapon_sm_mpapa5,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sm_mpapa5,,&MP/BR_TYPE_SM
item,brloot_weapon_sm_mpapa5_unco,weapon,1,,11338,,,iw9_sm_mpapa5,,iw9_brake01,iw9_sm_mpapa5_mp+rec_mpapa5_mp+bar_sm_p02+stock_sm_p02_mpapa5+mag_sm_p02+ironsdefault_mpapa5+selectburst_mpapa5+ammo_9p+pgrip_sm_tac_p02+iw9_brake01,x32#hash_c7c1b4de,x32#hash_14c,hud_icon_weapon_sm_mpapa5,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sm_mpapa5,,&MP/BR_TYPE_SM
item,brloot_weapon_sm_mpapa5_rare,weapon,2,,11338,,,iw9_sm_mpapa5,,holo01+grip_vert01,iw9_sm_mpapa5_mp+rec_mpapa5_mp+bar_sm_p02+stock_sm_p02_mpapa5+mag_sm_p02+selectburst_mpapa5+ammo_9p+pgrip_sm_tac_p02+holo01+grip_vert01,x32#hash_c7c1b4de,x32#hash_14c,hud_icon_weapon_sm_mpapa5,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sm_mpapa5,,&MP/BR_TYPE_SM
item,brloot_weapon_sm_mpapa5_epic,weapon,3,,11338,,,iw9_sm_mpapa5,,holo01+grip_vert01+iw9_silencer01,iw9_sm_mpapa5_mp+rec_mpapa5_mp+bar_sm_p02+stock_sm_p02_mpapa5+mag_sm_p02+selectburst_mpapa5+ammo_9p+pgrip_sm_tac_p02+holo01+grip_vert01+iw9_silencer01,x32#hash_c7c1b4de,x32#hash_14c,hud_icon_weapon_sm_mpapa5,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sm_mpapa5,,&MP/BR_TYPE_SM
item,brloot_weapon_sm_alpha57_comm,weapon,0,,11365,,,iw9_sm_alpha57,,,iw9_sm_alpha57_mp+rec_alpha57+bar_sm_p01+stock_sm_p01_alpha57+mag_sm_p01+ironsdefault_alpha57+iw9_selectsemi+pgrip_p01,x32#hash_c7c1b4de,x32#hash_c8012aeb,hud_icon_weapon_sm_alpha57,,,,,,,,,,1,,,,,,,,,,hud_icon_weapon_sm_alpha57,,&MP/BR_TYPE_SM
