string,string,string,string,string,string
choose,0,,,,
zone,airport_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,airport_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,lone_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,lone_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,oldtwn_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,oldtwn_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,oldtwn_hotzone_04,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,3,,,,
zone,mtntwn_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,mtntwn_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,mtntwn_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,marshland_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,marshland_hotzone_04,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,marshland_hotzone_05,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,marshland_hotzone_06,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sira_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sira_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sira_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sira_hotzone_05,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,observatory_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,observatory_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,observatory_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,2,,,,
zone,hydro_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_04,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_05,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_06,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_07,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_08,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_09,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_10,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,
zone,fort_hotzone_01,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,fort_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,fort_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,2,,,,
zone,moderncity_hotzone_03,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_06,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_07,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_08,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_09,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_10,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_11,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_12,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,2,,,,
zone,moderncity_hotzone_13,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_14,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_15,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_16,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_17,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_18,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_19,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_20,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_21,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_22,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_23,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_24,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_25,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,
zone,sunken_hotzone_04,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sunken_hotzone_05,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,0,,,,
zone,hydro_hotzone_07,mp/loot/br/default/lootset_stronghold_black.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#ELT ONLY, delete later
zone,sira_hotzone_05,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#ELT ONLY, delete later
zone,wartorn_hotzone_02,mp/loot/br/default/lootset_stronghold_high.csv,mp/loot/br/default/lootset_cache_spawns_stronghold.csv,,#ELT ONLY, delete later
