string,string,string,localized,string,localized,localized,int
iw9_lm_rkilo,rec_rkilo,4,&WEAPON/LM_RKILO,icon_attachment_p04_lm_rkilo_rec_v0,&PERKS/LM_RKILO,&WEAPON/PLATFORM_04_NAME,0
iw9_ar_scharlie,iw9_rec_scharlie,5,&WEAPON/AR_SCHARLIE,,&PERKS/AR_SCHARLIE,&WEAPON/PLATFORM_05_NAME,0
iw9_ar_schotel,rec_schotel,5,&WEAPON/AR_SCHOTEL,icon_attachment_p05_ar_schotel_rec_v0,&PERKS/AR_SCHOTEL,&WEAPON/PLATFORM_05_NAME,0
iw9_dm_scromeo,rec_scromeo,5,&WEAPON/DM_SCROMEO,,&PERKS/DM_SCROMEO,&WEAPON/PLATFORM_05_NAME,0
iw9_sm_papa90,iw9_rec_papa90,7,&WEAPON/SM_PAPA90,icon_attachment_p07_sm_papa90_rec_v0,&PERKS/SM_PAPA90,&WEAPON/PLATFORM_07_NAME,0
iw9_sm_mpapax,rec_mpapax,8,&WEAPON/SM_MPAPAX,icon_attachment_p08_sm_mpapax_rec_v0,&PERKS/SM_MPAPAX,&WEAPON/PLATFORM_08_NAME,0
iw9_ar_mcharlie,iw9_rec_mcharlie,8,&WEAPON/AR_MCHARLIE,,&PERKS/AR_MCHARLIE,&WEAPON/PLATFORM_08_NAME,0
iw9_ar_mcbravo,rec_mcbravo,8,&WEAPON/AR_MCBRAVO,icon_attachment_p08_ar_mcbravo_rec_v0,&PERKS/AR_MCBRAVO,&WEAPON/PLATFORM_08_NAME,0
iw9_sm_mpapa7,rec_mpapa7,9,&WEAPON/SM_MPAPA7,icon_attachment_p09_sm_mpapa7_rec_v0,&PERKS/SM_MPAPA7,&WEAPON/PLATFORM_09_NAME,0
iw9_sm_victor,rec_victor,10,&WEAPON/SM_VICTOR,icon_attachment_p10_sm_victor_rec_v0,&PERKS/SM_VICTOR,&WEAPON/PLATFORM_10_NAME,0
iw9_sh_mike1014,rec_mike1014,12,&WEAPON/SH_MIKE1014,icon_attachment_p12_sh_mike1014_rec_v0,&PERKS/SH_MIKE1014,&WEAPON/PLATFORM_12_NAME,0
iw9_sh_mbravo,rec_mbravo,13,&WEAPON/SH_MBRAVO,icon_attachment_p13_sh_mbravo_rec_v0,&PERKS/SH_MBRAVO,&WEAPON/PLATFORM_13_NAME,0
iw9_sh_mviktor,rec_mviktor,13,&WEAPON/SH_MVIKTOR,icon_attachment_p13_sh_mbravo_rec_v0,&PERKS/SH_MVIKTOR,&WEAPON/PLATFORM_13_NAME,0
iw9_sh_charlie725,iw9_rec_charlie725,14,&WEAPON/SH_CHARLIE725,,&PERKS/SH_CHARLIE725,&WEAPON/PLATFORM_14_NAME,0
iw9_lm_slima,rec_slima,16,&WEAPON/LM_SLIMA,icon_attachment_p16_lm_slima_rec_v0,&PERKS/LM_SLIMA,&WEAPON/PLATFORM_16_NAME,0
iw9_lm_ngolf7,rec_ngolf7,17,&WEAPON/LM_NGOLF7,icon_attachment_p17_lm_ngolf7_rec_v0,&PERKS/LM_NGOLF7,&WEAPON/PLATFORM_17_NAME,0
iw9_dm_mike14,rec_mike14,18,&WEAPON/DM_MIKE14,icon_attachment_p18_dm_mike14_rec_v0,&PERKS/DM_MIKE14,&WEAPON/PLATFORM_18_NAME,0
iw9_dm_sbeta,iw9_rec_sbeta,19,&WEAPON/DM_SBETA,icon_attachment_p19_dm_sbeta_rec_v0,&PERKS/DM_SBETA,&WEAPON/PLATFORM_19_NAME,0
iw9_dm_mike24,rec_mike24,20,&WEAPON/DM_MIKE24,icon_attachment_p20_dm_mike24_rec_v0,&PERKS/DM_MIKE24,&WEAPON/PLATFORM_20_NAME,0
iw9_dm_sa700,rec_sa700,20,&WEAPON/DM_SA700,icon_attachment_p20_dm_sa700_rec_v0,&PERKS/DM_SA700,&WEAPON/PLATFORM_20_NAME,0
iw9_dm_la700,rec_la700,20,&WEAPON/DM_LA700,icon_attachment_p20_sn_la700_rec_v0,&PERKS/DM_LA700,&WEAPON/PLATFORM_20_NAME,0
iw9_dm_xmike2010,rec_xmike2010,20,&WEAPON/DM_XMIKE2010,icon_attachment_p20_sn_xmike2010_rec_v0,&PERKS/DM_XMIKE2010,&WEAPON/PLATFORM_20_NAME,0
iw9_sn_mromeo,rec_mromeo,21,&WEAPON/SN_MROMEO,icon_attachment_p21_sn_mromeo_rec_v0,&PERKS/SN_MROMEO,&WEAPON/PLATFORM_21_NAME,0
iw9_sn_limax,rec_limax,22,&WEAPON/SN_LIMAX,icon_attachment_p22_sn_limax_rec_v0,&PERKS/SN_LIMAX,&WEAPON/PLATFORM_22_NAME,0
iw9_sn_alpha50,rec_alpha50,23,&WEAPON/SN_ALPHA50,icon_attachment_p23_sn_alpha50_rec_v0,&PERKS/SN_ALPHA50,&WEAPON/PLATFORM_23_NAME,0
iw9_pi_golf17,rec_golf17,24,&WEAPON/PI_GOLF17,icon_attachment_p24_pi_golf17_rec_v0,&PERKS/PI_GOLF17,&WEAPON/PLATFORM_24_NAME,0
iw9_pi_golf18,rec_golf18,24,&WEAPON/PI_GOLF18,icon_attachment_p24_pi_golf17_rec_v0,&PERKS/PI_GOLF18,&WEAPON/PLATFORM_24_NAME,0
iw9_pi_swhiskey,rec_swhiskey,26,&WEAPON/PI_SWHISKEY,icon_attachment_p26_pi_swhiskey_rec_v0,&PERKS/PI_SWHISKEY,&WEAPON/PLATFORM_26_NAME,0
iw9_pi_papa220,rec_papa220,27,&WEAPON/PI_PAPA220,icon_attachment_p27_pi_papa220_rec_v0,&PERKS/PI_PAPA220,&WEAPON/PLATFORM_27_NAME,0
