string,string,string,string,string,string,string,string,string,string,string,string,xhash32,xhash32,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
item,brloot_armor_plate,health,0,1,8372,small&loadout,20,equip_armorplate,,,,x32#hash_c7c1bbf2,x32#hash_c7bbcaa8,hud_icon_loot_armor_plate,,3,2,3,armor_plate,,,,,1,,,,,,,,,1,,,ping_loot_armor,ping_loot_confirm_armor
item,brloot_plate_pouch,noDrop,4,1,8421,medium&powerful&loadout,150,,,,,x32#hash_c7c1acdc,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_health_armor_satchel,,,,1,armor_satchel,,,,,,,,,,,,,,1,,,ping_loot_armorpouch,ping_loot_confirm_armorpouch
item,brloot_plunder_cash_common_1,plunder,0,10,8395,small,10,,,,,x32#hash_c7c1c1e5,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash
item,brloot_plunder_cash_uncommon_1,plunder,1,50,8395,small,50,,,,,x32#hash_c7c1c1e5,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash
item,brloot_plunder_cash_uncommon_2,plunder,1,80,8395,small,80,,,,,x32#hash_c7c1c1e5,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash
item,brloot_plunder_cash_uncommon_3,plunder,1,120,8395,small,120,,,,,x32#hash_c7c1c1e5,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash
item,brloot_plunder_cash_rare_1,plunder,2,200,8395,medium,200,,,,,x32#hash_c7c1c1e5,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash
item,brloot_plunder_cash_rare_2,plunder,2,350,8395,medium,350,,,,,x32#hash_c7c1c1e5,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash
item,brloot_plunder_cash_epic_1,plunder,3,500,8395,medium,500,,,,,x32#hash_c7c1c1e5,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash
item,brloot_plunder_cash_epic_2,plunder,3,800,8395,medium,800,,,,,x32#hash_c7c1c1e5,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash
item,brloot_plunder_cash_legendary_1,plunder,4,1200,8395,medium&powerful,1200,,,,,x32#hash_c7c1c1e5,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_plunder,,,,,cash,,,,,1,,,,,,,,,,,,ping_loot_cash,ping_loot_confirm_cash
item,brloot_self_revive,revive,4,1,8548,small&loadout&powerful,1000,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_revive_item,br_legendary_loot_pickup,,,1,brloot_self_revive,,,,,,,,,,,,,,1,,brightGold,ping_loot_selfrevive,ping_loot_confirm_selfrevive
item,brloot_access_card_blue,keycard,4,1,,small,,,,,,x32#hash_c7c1bdf2,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,1,,brightGold,ping_loot_keycard,ping_loot_confirm_keycard
item,brloot_access_card_green,keycard,4,1,,small,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,1,,brightGold,ping_loot_keycard,ping_loot_confirm_keycard
item,brloot_access_card_red,keycard,4,1,8587,small,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,1,,brightGold,ping_loot_keycard,ping_loot_confirm_keycard
item,brloot_access_card_blue_stadium_parking,keycard,4,1,,small,,,,,,x32#hash_14c,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,1,,brightGold,ping_loot_keycard,ping_loot_confirm_keycard
item,brloot_access_card_blue_stadium_executive,keycard,4,1,,small,,,,,,x32#hash_c7c1bbb0,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,1,,brightGold,ping_loot_keycard,ping_loot_confirm_keycard
item,brloot_access_card_blue_stadium_concourse,keycard,4,1,,small,,,,,,x32#hash_c7c1b0e4,x32#hash_c7bbcaa8,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,,,,,,,,,,,,,,,1,,brightGold,ping_loot_keycard,ping_loot_confirm_keycard
item,loot_key_fortress,key,4,1,8557,small&pristine,100,,,,,x32#hash_c7c1b9b5,x32#hash_14c,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_fortress,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_quarry_storage,key,4,1,8532,small&nobr&pristine,150,,,,,x32#hash_14c,x32#hash_c7c20159,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_quarry_storage,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_quarry_office,key,4,1,8630,small&nobr&pristine,150,,,,,x32#hash_c7c1c4d0,x32#hash_c7c20159,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_quarry_office,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_quarry_control,key,4,1,8576,small&nobr&pristine,150,,,,,x32#hash_14c,x32#hash_c7c20159,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_quarry_control,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_hydro_storage,key,4,1,8472,small&nobr&pristine&keytier1,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_hydro_storage,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_hydro_apt,key,4,1,8507,small&nobr&pristine&keytier2,150,,,,,x32#hash_14c,x32#hash_c7c201a2,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_hydro_apt,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_hydro_weapondrop,key,4,1,8428,small&nobr&pristine&keytier3,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_hydro_weapondrop,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_trapper_door,key,4,1,8537,small&nobr&pristine,150,,,,,x32#hash_c7c1bde2,x32#hash_c7c1fd37,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_trapper_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_resort_entrance,key,4,1,8550,small&nobr&pristine,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_resort_entrance,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_fortress_interior,key,4,1,8495,small&nobr&pristine,100,,,,,x32#hash_14c,x32#hash_c7c20586,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_fortress_interior,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_multi_key_fortress,key,3,1,8525,small&nobr&pristine,100,,,,,x32#hash_14c,x32#hash_14c,hud_icon_splash_jailkey,iw9_br_pickup_key_special,,,,loot_multi_key_fortress,,,,,,,,,,,,,,3,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_gulag,key,4,1,8457,small&pristine,100,,,,,x32#hash_c7c1bf93,x32#hash_14c,hud_icon_loot_key_skeleton,iw9_br_pickup_key_special,,,,loot_key_gulag,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_biolab_door,key,4,1,8403,small&nobr&pristine&biolab,100,,,,,x32#hash_c7c1ac31,x32#hash_14c,ui_mp_br_loot_icon_keycard,iw9_br_pickup_key_special,,,,loot_key_biolab_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_red_door,key,4,1,9071,small&nobr&pristine&biolab,10,,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_red_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_blue_door,key,4,1,9070,small&nobr&pristine&biolab,10,,,,,x32#hash_c7c1bdf2,x32#hash_c7c1fce6,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_blue_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_green_door,key,4,1,9073,small&nobr&pristine&biolab,10,,,,,x32#hash_14c,x32#hash_c7c203a9,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_green_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_black_door,key,4,1,9074,small&nobr&pristine&biolab,10,,,,,x32#hash_c7c1c022,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_black_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_gold_door,key,4,1,9072,small&nobr&pristine&biolab,10,,,,,x32#hash_14c,x32#hash_c7c20385,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_gold_door,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_firefighttest01,key,4,1,8382,small&nobr&pristine&nodrop&nodmz,100,,,,,x32#hash_c7c1b864,x32#hash_c7c204f2,ui_mp_br_loot_icon_keycard,iw9_br_pickup_key_special,,,,loot_key_firefighttest01,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_fortress_used,key,4,1,8497,small&used,100,,,,,x32#hash_c7c1bc8f,x32#hash_14c,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_fortress_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_quarry_storage_used,key,4,1,8563,small&nobr&used,150,,,,,x32#hash_14c,x32#hash_c7c20159,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_quarry_storage_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_quarry_office_used,key,4,1,8475,small&nobr&used,150,,,,,x32#hash_c7c1be6d,x32#hash_c7c20159,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_quarry_office_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_quarry_control_used,key,4,1,8388,small&nobr&used,150,,,,,x32#hash_c7c1c87f,x32#hash_c7c20159,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_quarry_control_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_hydro_storage_used,key,4,1,8609,small&nobr&used&keytier1,150,,,,,x32#hash_c7c1b83a,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_hydro_storage_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_hydro_apt_used,key,4,1,8436,small&nobr&used&keytier2,150,,,,,x32#hash_14c,x32#hash_c7c201a2,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_hydro_apt_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_hydro_weapondrop_used,key,4,1,8625,small&nobr&used&keytier3,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_hydro_weapondrop_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_trapper_door_used,key,4,1,8610,small&nobr&nodrop&used,150,,,,,x32#hash_14c,x32#hash_c7c1fd37,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_trapper_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_resort_entrance_used,key,4,1,8558,small&nobr&used,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_resort_entrance_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_fortress_interior_used,key,4,1,8533,small&nobr&used,100,,,,,x32#hash_14c,x32#hash_c7c20586,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_fortress_interior_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_multi_key_fortress_used,key,3,1,8585,small&nobr&used,100,,,,,x32#hash_c7c1b39d,x32#hash_14c,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_multi_key_fortress_used,,,,,,,,,,,,,,3,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_gulag_used,key,4,1,8620,small&used,100,,,,,x32#hash_c7c1bf93,x32#hash_14c,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_gulag_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_biolab_door_used,key,4,1,8559,small&nobr&used&biolab,100,,,,,x32#hash_c7c1ac31,x32#hash_14c,ui_mp_br_loot_icon_keycard,iw9_br_pickup_key_special,,,,loot_key_biolab_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_red_door_used,key,4,1,11163,small&nobr&used&biolab,10,,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_red_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_blue_door_used,key,4,1,11166,small&nobr&used&biolab,10,,,,,x32#hash_c7c1bdf2,x32#hash_c7c1fce6,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_blue_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_green_door_used,key,4,1,11159,small&nobr&used&biolab,10,,,,,x32#hash_14c,x32#hash_c7c203a9,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_green_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_black_door_used,key,4,1,11160,small&nobr&used&biolab,10,,,,,x32#hash_c7c1c022,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_black_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_gold_door_used,key,4,1,11168,small&nobr&used&biolab,10,,,,,x32#hash_14c,x32#hash_c7c20385,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_gold_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_firefighttest01_used,key,4,1,8518,small&nobr&nodrop&used,100,,,,,x32#hash_c7c1c3da,x32#hash_c7c204f2,ui_mp_br_loot_icon_keycard,iw9_br_pickup_key_special,,,,loot_key_firefighttest01_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_resort_entrance_shelf,key,4,1,8465,small&nobr&pristine,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_resort_entrance,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_resort_entrance_shelf_used,key,4,1,8621,small&nobr&used,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_resort_entrance_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_fortress_worn,key,4,1,8574,small&worn,100,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_fortress_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_quarry_storage_worn,key,4,1,8514,small&nobr&worn,150,,,,,x32#hash_14c,x32#hash_c7c20159,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_quarry_storage_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_quarry_office_worn,key,4,1,8462,small&nobr&worn,150,,,,,x32#hash_14c,x32#hash_c7c20159,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_quarry_office_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_quarry_control_worn,key,4,1,8556,small&nobr&worn,150,,,,,x32#hash_14c,x32#hash_c7c20159,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_quarry_control_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_hydro_storage_worn,key,4,1,8439,small&nobr&worn&keytier1,150,,,,,x32#hash_c7c1b2b6,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_hydro_storage_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_hydro_apt_worn,key,4,1,8564,small&nobr&worn&keytier2,150,,,,,x32#hash_14c,x32#hash_c7c201a2,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_hydro_apt_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_hydro_weapondrop_worn,key,4,1,8612,small&nobr&worn&keytier3,150,,,,,x32#hash_c7c1b41d,x32#hash_14c,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_hydro_weapondrop_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_trapper_door_worn,key,4,1,8546,small&nobr&nodrop&worn,150,,,,,x32#hash_14c,x32#hash_c7c1fd37,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_trapper_door_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_resort_entrance_worn,key,4,1,8365,small&nobr&worn,150,,,,,x32#hash_c7c1ca6e,x32#hash_14c,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_resort_entrance_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_fortress_interior_worn,key,4,1,8485,small&nobr&worn,100,,,,,x32#hash_c7c1bf62,x32#hash_c7c20586,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_fortress_interior_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_multi_key_fortress_worn,key,3,1,8414,small&nobr&worn,100,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_multi_key_fortress_worn,,,,,,,,,,,,,,3,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_gulag_worn,key,4,1,8491,small&worn,100,,,,,x32#hash_c7c1bf93,x32#hash_14c,hud_icon_loot_key_fortress,iw9_br_pickup_key_special,,,,loot_key_gulag_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_biolab_door_worn,key,4,1,8362,small&nobr&worn&biolab,100,,,,,x32#hash_c7c1ac31,x32#hash_14c,ui_mp_br_loot_icon_keycard,iw9_br_pickup_key_special,,,,loot_key_biolab_door_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_red_door_worn,key,4,1,11161,small&nobr&worn&biolab,10,,,,,x32#hash_14c,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_red_door_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_blue_door_worn,key,4,1,11165,small&nobr&worn&biolab,10,,,,,x32#hash_c7c1bdf2,x32#hash_c7c1fce6,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_blue_door_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_green_door_worn,key,4,1,11162,small&nobr&worn&biolab,10,,,,,x32#hash_14c,x32#hash_c7c203a9,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_green_door_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_black_door_worn,key,4,1,11164,small&nobr&worn&biolab,10,,,,,x32#hash_c7c1c022,x32#hash_14c,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_black_door_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_gold_door_worn,key,4,1,11167,small&nobr&worn&biolab,10,,,,,x32#hash_14c,x32#hash_c7c20385,ui_mp_br_loot_icon_keycard,br_legendary_loot_pickup,,,,loot_key_gold_door_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_firefighttest01_worn,key,4,1,8425,small&nobr&worn,100,,,,,x32#hash_c7c1beec,x32#hash_c7c204f2,ui_mp_br_loot_icon_keycard,iw9_br_pickup_key_special,,,,loot_key_firefighttest01_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_resort_entrance_shelf_worn,key,4,1,8470,small&nobr&worn,150,,,,,x32#hash_c7c1ca6e,x32#hash_14c,hud_icon_loot_key_02,iw9_br_pickup_key_special,,,,loot_key_resort_entrance_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_conference_room,key,4,1,8512,small&nobr&pristine&keytier2,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_conference_room,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_conference_room_used,key,4,1,8461,small&nobr&used&keytier2,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_conference_room_used,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_conference_room_worn,key,4,1,8517,small&nobr&worn&keytier2,150,,,,,x32#hash_14c,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_conference_room_worn,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
item,loot_key_maintenance,key,4,1,8451,small&nobr&pristine&keytier3,150,,,,,x32#hash_c7c1b633,x32#hash_14c,hud_icon_loot_key_01,iw9_br_pickup_key_special,,,,loot_key_maintenance,,,,,,,,,,,,,,1,,brightGold,ping_loot_key,ping_loot_confirm_key
