string,localized,string
469,&MONTAGE_CANALS/FAIL_HINT_DEATH,
470,&MONTAGE_CANALS/FAIL_HINT_STEALTH,
471,&CONVOY_CHASE/TAKEOVER_DEATH,
472,&PARTY/INTERROGATION_DEATH_HINT_1,
473,&PARTY/INTERROGATION_DEATH_HINT_2,
474,&PARTY/INTERROGATION_DEATH_HINT_Q1,
475,&PARTY/INTERROGATION_DEATH_HINT_Q2,
476,&PARTY/INTERROGATION_DEATH_HINT_Q3,
477,&PARTY/INTERROGATION_DEATH_HINT_Q4,
478,&STOLEN/PLAYER_LEAN_DEATH_HINT,
479,&TOWER/ELEVATOR_DEATH_HINT,
480,&TOWER/FINALE_FRIENDLY_FIRE_DEATH_HINT,
481,&TOWER/FINALE_TIMEOUT_DEATH_HINT,
482,&CONVOY_CHASE/ALLY_CRASH,
483,&CONVOY_CHASE/STAY_RIGHT,
484,&MONTAGE_CANALS/FAIL_HINT_CHASE,
485,&TOWER/GAS_TRAP_DEATH_HINT,
486,&TOWER/INFIL_DEATH_HINT,
487,&STRIKE/MISSILE_CANYON_NAV_FAIL,
488,&TOWER/TOOLBOX_DISTRACT_DEATH_HINT,
489,&TOWER/TOOLBOX_EXIT_DEATH_HINT,
490,&TOWER/TOOLBOX_LURE_DEATH_HINT,
491,&TOWER/TOOLBOX_TRAP_DEATH_HINT,
492,&MONTAGE_CANALS/FAIL_HINT_PRICE,
493,&INTERCEPT/MORTARS_RELOCATE_DEATH_HINT,
494,&SHIPAF/MISSILE_DEFUSAL_DEATH_HINT,
495,&PARTY/CRUSHED_DEATH_HINT,
496,&PARTY/GENERIC_FAIL_DEATH_HINT,
497,&BORDER/FAIL_HINT_HOLD_FIRE,
498,&BORDER/FAIL_HINT_HOLD_FIRE2,
499,&SCRIPT/MISSIONFAIL_CIVILIAN_KILLED_3,
500,&WOUNDED/FIND_GUN_DEATH_HINT,
501,&WOUNDED/CRAFTING_DEATH_HINT_A,
502,&WOUNDED/CRAFTING_DEATH_HINT_B,
503,&WOUNDED/CRAFTING_DEATH_HINT_C,
504,&WOUNDED/CRAFTING_DEATH_HINT_SMOKE_BOMB,
505,&WOUNDED/CRAFTING_DEATH_HINT_IMPROVISED_MINE,
506,&WOUNDED/CRAFTING_DEATH_HINT_MOLOTOV,
507,&CONVOY_CHASE/DAMAGED_HINT2,
