string,string,string,localized,string,string,string,string,string,string,string,string
33,ui_emblem_mobile_033,ui_emblem_mobile_033,&EMBLEMS/EMBLEM_033,standard,,TRUE,1,,,0,
34,ui_emblem_mobile_034,ui_emblem_mobile_034,&EMBLEMS/EMBLEM_034,standard,,TRUE,1,,,0,
35,ui_emblem_mobile_035,ui_emblem_mobile_035,&EMBLEMS/EMBLEM_035,standard,,TRUE,1,,,0,
36,ui_emblem_mobile_036,ui_emblem_mobile_036,&EMBLEMS/EMBLEM_036,standard,,TRUE,1,,,0,
37,ui_emblem_mobile_037,ui_emblem_mobile_037,&EMBLEMS/EMBLEM_037,standard,,TRUE,1,,,0,
38,ui_emblem_mobile_038,ui_emblem_mobile_038,&EMBLEMS/EMBLEM_038,standard,,TRUE,1,,,0,
39,ui_emblem_mobile_039,ui_emblem_mobile_039,&EMBLEMS/EMBLEM_039,standard,,TRUE,1,,,0,
40,ui_emblem_mobile_040,ui_emblem_mobile_040,&EMBLEMS/EMBLEM_040,standard,,TRUE,1,,,0,
41,ui_emblem_mobile_041,ui_emblem_mobile_041,&EMBLEMS/EMBLEM_041,standard,,TRUE,1,,,0,
42,ui_emblem_mobile_042,ui_emblem_mobile_042,&EMBLEMS/EMBLEM_042,standard,,TRUE,1,,,0,
43,ui_emblem_mobile_043,ui_emblem_mobile_043,&EMBLEMS/EMBLEM_043,standard,,TRUE,1,,,0,
44,ui_emblem_mobile_044,ui_emblem_mobile_044,&EMBLEMS/EMBLEM_044,standard,,TRUE,1,,,0,
45,ui_emblem_mobile_045,ui_emblem_mobile_045,&EMBLEMS/EMBLEM_045,standard,,TRUE,1,,,0,
46,ui_emblem_mobile_046,ui_emblem_mobile_046,&EMBLEMS/EMBLEM_046,standard,,TRUE,1,,,0,
47,ui_emblem_mobile_047,ui_emblem_mobile_047,&EMBLEMS/EMBLEM_047,standard,,TRUE,1,,,0,
48,ui_emblem_mobile_048,ui_emblem_mobile_048,&EMBLEMS/EMBLEM_048,standard,,TRUE,1,,,0,
49,ui_emblem_mobile_049,ui_emblem_mobile_049,&EMBLEMS/EMBLEM_049,standard,,TRUE,1,,,0,
50,ui_emblem_mobile_050,ui_emblem_mobile_050,&EMBLEMS/EMBLEM_050,standard,,TRUE,1,,,0,
51,ui_emblem_mobile_051,ui_emblem_mobile_051,&EMBLEMS/EMBLEM_051,standard,,TRUE,1,,,0,
52,ui_emblem_mobile_052,ui_emblem_mobile_052,&EMBLEMS/EMBLEM_052,standard,,TRUE,1,,,0,
53,ui_emblem_mobile_053,ui_emblem_mobile_053,&EMBLEMS/EMBLEM_053,standard,,TRUE,1,,,0,
54,ui_emblem_mobile_054,ui_emblem_mobile_054,&EMBLEMS/EMBLEM_054,standard,,TRUE,1,,,0,
55,ui_emblem_mobile_055,ui_emblem_mobile_055,&EMBLEMS/EMBLEM_055,standard,,TRUE,1,,,0,
56,ui_emblem_mobile_056,ui_emblem_mobile_056,&EMBLEMS/EMBLEM_056,standard,,TRUE,1,,,0,
57,ui_emblem_mobile_057,ui_emblem_mobile_057,&EMBLEMS/EMBLEM_057,standard,,TRUE,1,,,0,
58,ui_emblem_mobile_058,ui_emblem_mobile_058,&EMBLEMS/EMBLEM_058,standard,,TRUE,1,,,0,
59,ui_emblem_mobile_059,ui_emblem_mobile_059,&EMBLEMS/EMBLEM_059,standard,,TRUE,1,,,0,
60,ui_emblem_mobile_060,ui_emblem_mobile_060,&EMBLEMS/EMBLEM_060,standard,,TRUE,1,,,0,
61,ui_emblem_mobile_061,ui_emblem_mobile_061,&EMBLEMS/EMBLEM_061,standard,,TRUE,1,,,0,
62,ui_emblem_mobile_062,ui_emblem_mobile_062,&EMBLEMS/EMBLEM_062,standard,,TRUE,1,,,0,
63,ui_emblem_mobile_063,ui_emblem_mobile_063,&EMBLEMS/EMBLEM_063,standard,,TRUE,1,,,0,
64,ui_emblem_mobile_064,ui_emblem_mobile_064,&EMBLEMS/EMBLEM_064,standard,,TRUE,1,,,0,
65,ui_emblem_mobile_065,ui_emblem_mobile_065,&EMBLEMS/EMBLEM_065,standard,,TRUE,1,,,0,
66,ui_emblem_mobile_066,ui_emblem_mobile_066,&EMBLEMS/EMBLEM_066,standard,,TRUE,1,,,0,
67,ui_emblem_mobile_067,ui_emblem_mobile_067,&EMBLEMS/EMBLEM_067,standard,,TRUE,1,,,0,
68,ui_emblem_mobile_068,ui_emblem_mobile_068,&EMBLEMS/EMBLEM_068,standard,,TRUE,1,,,0,
69,ui_emblem_mobile_069,ui_emblem_mobile_069,&EMBLEMS/EMBLEM_069,standard,,TRUE,1,,,0,
70,ui_emblem_mobile_070,ui_emblem_mobile_070,&EMBLEMS/EMBLEM_070,standard,,TRUE,1,,,0,
71,ui_emblem_mobile_071,ui_emblem_mobile_071,&EMBLEMS/EMBLEM_071,standard,,TRUE,1,,,0,
72,ui_emblem_mobile_072,ui_emblem_mobile_072,&EMBLEMS/EMBLEM_072,standard,,TRUE,1,,,0,
73,ui_emblem_mobile_073,ui_emblem_mobile_073,&EMBLEMS/EMBLEM_073,standard,,TRUE,1,,,0,
74,ui_emblem_mobile_074,ui_emblem_mobile_074,&EMBLEMS/EMBLEM_074,standard,,TRUE,1,,,0,
75,ui_emblem_mobile_075,ui_emblem_mobile_075,&EMBLEMS/EMBLEM_075,standard,,TRUE,1,,,0,
76,ui_emblem_mobile_076,ui_emblem_mobile_076,&EMBLEMS/EMBLEM_076,standard,,TRUE,1,,,0,
77,ui_emblem_mobile_077,ui_emblem_mobile_077,&EMBLEMS/EMBLEM_077,standard,,TRUE,1,,,0,
78,ui_emblem_mobile_078,ui_emblem_mobile_078,&EMBLEMS/EMBLEM_078,standard,,TRUE,1,,,0,
79,ui_emblem_mobile_079,ui_emblem_mobile_079,&EMBLEMS/EMBLEM_079,standard,,TRUE,1,,,0,
80,ui_emblem_mobile_080,ui_emblem_mobile_080,&EMBLEMS/EMBLEM_080,standard,,TRUE,1,,,0,
81,ui_emblem_mobile_081,ui_emblem_mobile_081,&EMBLEMS/EMBLEM_081,standard,,TRUE,1,,,0,
82,ui_emblem_mobile_082,ui_emblem_mobile_082,&EMBLEMS/EMBLEM_082,standard,,TRUE,1,,,0,
83,ui_emblem_mobile_083,ui_emblem_mobile_083,&EMBLEMS/EMBLEM_083,standard,,TRUE,1,,,0,
84,ui_emblem_mobile_084,ui_emblem_mobile_084,&EMBLEMS/EMBLEM_084,standard,,TRUE,1,,,0,
85,ui_emblem_mobile_085,ui_emblem_mobile_085,&EMBLEMS/EMBLEM_085,standard,,TRUE,1,,,0,
86,ui_emblem_mobile_086,ui_emblem_mobile_086,&EMBLEMS/EMBLEM_086,standard,,TRUE,1,,,0,
87,ui_emblem_mobile_087,ui_emblem_mobile_087,&EMBLEMS/EMBLEM_087,standard,,TRUE,1,,,0,
88,ui_emblem_mobile_088,ui_emblem_mobile_088,&EMBLEMS/EMBLEM_088,standard,,TRUE,1,,,0,
89,ui_emblem_mobile_089,ui_emblem_mobile_089,&EMBLEMS/EMBLEM_089,standard,,TRUE,1,,,0,
90,ui_emblem_mobile_090,ui_emblem_mobile_090,&EMBLEMS/EMBLEM_090,standard,,TRUE,1,,,0,
91,ui_emblem_mobile_091,ui_emblem_mobile_091,&EMBLEMS/EMBLEM_091,standard,,TRUE,1,,,0,
92,ui_emblem_mobile_092,ui_emblem_mobile_092,&EMBLEMS/EMBLEM_092,standard,,TRUE,1,,,0,
93,ui_emblem_mobile_093,ui_emblem_mobile_093,&EMBLEMS/EMBLEM_093,standard,,TRUE,1,,,0,
94,ui_emblem_mobile_094,ui_emblem_mobile_094,&EMBLEMS/EMBLEM_094,standard,,TRUE,1,,,0,
95,ui_emblem_mobile_095,ui_emblem_mobile_095,&EMBLEMS/EMBLEM_095,standard,,TRUE,1,,,0,
96,ui_emblem_mobile_096,ui_emblem_mobile_096,&EMBLEMS/EMBLEM_096,standard,,TRUE,1,,,0,
97,ui_emblem_mobile_097,ui_emblem_mobile_097,&EMBLEMS/EMBLEM_097,standard,,TRUE,1,,,0,
98,ui_emblem_mobile_098,ui_emblem_mobile_098,&EMBLEMS/EMBLEM_098,standard,,TRUE,1,,,0,
99,ui_emblem_mobile_099,ui_emblem_mobile_099,&EMBLEMS/EMBLEM_099,standard,,TRUE,1,,,0,
100,ui_emblem_mobile_100,ui_emblem_mobile_100,&EMBLEMS/EMBLEM_100,standard,,TRUE,1,,,0,
101,ui_emblem_mobile_101,ui_emblem_mobile_101,&EMBLEMS/EMBLEM_101,standard,,TRUE,1,,,0,
102,ui_emblem_mobile_102,ui_emblem_mobile_102,&EMBLEMS/EMBLEM_102,standard,,TRUE,1,,,0,
103,ui_emblem_mobile_103,ui_emblem_mobile_103,&EMBLEMS/EMBLEM_103,standard,,TRUE,1,,,0,
104,ui_emblem_mobile_104,ui_emblem_mobile_104,&EMBLEMS/EMBLEM_104,standard,,TRUE,1,,,0,
105,ui_emblem_mobile_105,ui_emblem_mobile_105,&EMBLEMS/EMBLEM_105,standard,,TRUE,1,,,0,
106,ui_emblem_mobile_106,ui_emblem_mobile_106,&EMBLEMS/EMBLEM_106,standard,,TRUE,1,,,0,
107,ui_emblem_mobile_107,ui_emblem_mobile_107,&EMBLEMS/EMBLEM_107,standard,,TRUE,1,,,0,
108,ui_emblem_mobile_108,ui_emblem_mobile_108,&EMBLEMS/EMBLEM_108,standard,,TRUE,1,,,0,
109,ui_emblem_mobile_109,ui_emblem_mobile_109,&EMBLEMS/EMBLEM_109,standard,,TRUE,1,,,0,
110,ui_emblem_mobile_110,ui_emblem_mobile_110,&EMBLEMS/EMBLEM_110,standard,,TRUE,1,,,0,
111,ui_emblem_mobile_111,ui_emblem_mobile_111,&EMBLEMS/EMBLEM_111,standard,,TRUE,1,,,0,
112,ui_emblem_mobile_112,ui_emblem_mobile_112,&EMBLEMS/EMBLEM_112,standard,,TRUE,1,,,0,
113,ui_emblem_mobile_113,ui_emblem_mobile_113,&EMBLEMS/EMBLEM_113,standard,,TRUE,1,,,0,
114,ui_emblem_mobile_114,ui_emblem_mobile_114,&EMBLEMS/EMBLEM_114,standard,,TRUE,1,,,0,
115,ui_emblem_mobile_115,ui_emblem_mobile_115,&EMBLEMS/EMBLEM_115,standard,,TRUE,1,,,0,
116,ui_emblem_mobile_116,ui_emblem_mobile_116,&EMBLEMS/EMBLEM_116,standard,,TRUE,1,,,0,
117,ui_emblem_mobile_117,ui_emblem_mobile_117,&EMBLEMS/EMBLEM_117,standard,,TRUE,1,,,0,
118,ui_emblem_mobile_118,ui_emblem_mobile_118,&EMBLEMS/EMBLEM_118,standard,,TRUE,1,,,0,
119,ui_emblem_mobile_119,ui_emblem_mobile_119,&EMBLEMS/EMBLEM_119,standard,,TRUE,1,,,0,
120,ui_emblem_mobile_120,ui_emblem_mobile_120,&EMBLEMS/EMBLEM_120,standard,,TRUE,1,,,0,
121,ui_emblem_mobile_121,ui_emblem_mobile_121,&EMBLEMS/EMBLEM_121,standard,,TRUE,1,,,0,
122,ui_emblem_mobile_122,ui_emblem_mobile_122,&EMBLEMS/EMBLEM_122,standard,,TRUE,1,,,0,
123,ui_emblem_mobile_123,ui_emblem_mobile_123,&EMBLEMS/EMBLEM_123,standard,,TRUE,1,,,0,
124,ui_emblem_mobile_124,ui_emblem_mobile_124,&EMBLEMS/EMBLEM_124,standard,,TRUE,1,,,0,
125,ui_emblem_mobile_125,ui_emblem_mobile_125,&EMBLEMS/EMBLEM_125,standard,,TRUE,1,,,0,
126,ui_emblem_mobile_126,ui_emblem_mobile_126,&EMBLEMS/EMBLEM_126,standard,,TRUE,1,,,0,
127,ui_emblem_mobile_127,ui_emblem_mobile_127,&EMBLEMS/EMBLEM_127,standard,,TRUE,1,,,0,
128,ui_emblem_mobile_128,ui_emblem_mobile_128,&EMBLEMS/EMBLEM_128,standard,,TRUE,1,,,0,
129,ui_emblem_mobile_129,ui_emblem_mobile_129,&EMBLEMS/EMBLEM_129,standard,,TRUE,1,,,0,
130,ui_emblem_mobile_130,ui_emblem_mobile_130,&EMBLEMS/EMBLEM_130,standard,,TRUE,1,,,0,
131,ui_emblem_mobile_131,ui_emblem_mobile_131,&EMBLEMS/EMBLEM_131,standard,,TRUE,1,,,0,
132,ui_emblem_mobile_132,ui_emblem_mobile_132,&EMBLEMS/EMBLEM_132,standard,,TRUE,1,,,0,
133,ui_emblem_mobile_133,ui_emblem_mobile_133,&EMBLEMS/EMBLEM_133,standard,,TRUE,1,,,0,
134,ui_emblem_mobile_134,ui_emblem_mobile_134,&EMBLEMS/EMBLEM_134,standard,,TRUE,1,,,0,
135,ui_emblem_mobile_135,ui_emblem_mobile_135,&EMBLEMS/EMBLEM_135,standard,,TRUE,1,,,0,
136,ui_emblem_mobile_136,ui_emblem_mobile_136,&EMBLEMS/EMBLEM_136,standard,,TRUE,1,,,0,
137,ui_emblem_mobile_137,ui_emblem_mobile_137,&EMBLEMS/EMBLEM_137,standard,,TRUE,1,,,0,
138,ui_emblem_mobile_138,ui_emblem_mobile_138,&EMBLEMS/EMBLEM_138,standard,,TRUE,1,,,0,
139,ui_emblem_mobile_139,ui_emblem_mobile_139,&EMBLEMS/EMBLEM_139,standard,,TRUE,1,,,0,
140,ui_emblem_mobile_140,ui_emblem_mobile_140,&EMBLEMS/EMBLEM_140,standard,,TRUE,1,,,0,
141,ui_emblem_mobile_141,ui_emblem_mobile_141,&EMBLEMS/EMBLEM_141,standard,,TRUE,1,,,0,
142,ui_emblem_mobile_142,ui_emblem_mobile_142,&EMBLEMS/EMBLEM_142,standard,,TRUE,1,,,0,
143,ui_emblem_mobile_143,ui_emblem_mobile_143,&EMBLEMS/EMBLEM_143,standard,,TRUE,1,,,0,
144,ui_emblem_mobile_144,ui_emblem_mobile_144,&EMBLEMS/EMBLEM_144,standard,,TRUE,1,,,0,
145,ui_emblem_mobile_145,ui_emblem_mobile_145,&EMBLEMS/EMBLEM_145,standard,,TRUE,1,,,0,
146,ui_emblem_mobile_146,ui_emblem_mobile_146,&EMBLEMS/EMBLEM_146,standard,,TRUE,1,,,0,
147,ui_emblem_mobile_147,ui_emblem_mobile_147,&EMBLEMS/EMBLEM_147,standard,,TRUE,1,,,0,
148,ui_emblem_mobile_148,ui_emblem_mobile_148,&EMBLEMS/EMBLEM_148,standard,,TRUE,1,,,0,
149,ui_emblem_mobile_149,ui_emblem_mobile_149,&EMBLEMS/EMBLEM_149,standard,,TRUE,1,,,0,
150,ui_emblem_mobile_150,ui_emblem_mobile_150,&EMBLEMS/EMBLEM_150,standard,,TRUE,1,,,0,
151,ui_emblem_mobile_151,ui_emblem_mobile_151,&EMBLEMS/EMBLEM_151,standard,,TRUE,1,,,0,
152,ui_emblem_mobile_152,ui_emblem_mobile_152,&EMBLEMS/EMBLEM_152,standard,,TRUE,1,,,0,
153,ui_emblem_mobile_153,ui_emblem_mobile_153,&EMBLEMS/EMBLEM_153,standard,,TRUE,1,,,0,
154,ui_emblem_mobile_154,ui_emblem_mobile_154,&EMBLEMS/EMBLEM_154,standard,,TRUE,1,,,0,
155,ui_emblem_mobile_155,ui_emblem_mobile_155,&EMBLEMS/EMBLEM_155,standard,,TRUE,1,,,0,
156,ui_emblem_mobile_156,ui_emblem_mobile_156,&EMBLEMS/EMBLEM_156,standard,,TRUE,1,,,0,
157,ui_emblem_mobile_157,ui_emblem_mobile_157,&EMBLEMS/EMBLEM_157,standard,,TRUE,1,,,0,
158,ui_emblem_mobile_158,ui_emblem_mobile_158,&EMBLEMS/EMBLEM_158,standard,,TRUE,1,,,0,
159,ui_emblem_mobile_159,ui_emblem_mobile_159,&EMBLEMS/EMBLEM_159,standard,,TRUE,1,,,0,
160,ui_emblem_mobile_160,ui_emblem_mobile_160,&EMBLEMS/EMBLEM_160,standard,,TRUE,1,,,0,
161,ui_emblem_mobile_161,ui_emblem_mobile_161,&EMBLEMS/EMBLEM_161,standard,,TRUE,1,,,0,
162,ui_emblem_mobile_162,ui_emblem_mobile_162,&EMBLEMS/EMBLEM_162,standard,,TRUE,1,,,0,
163,ui_emblem_mobile_163,ui_emblem_mobile_163,&EMBLEMS/EMBLEM_163,standard,,TRUE,1,,,0,
164,ui_emblem_mobile_164,ui_emblem_mobile_164,&EMBLEMS/EMBLEM_164,standard,,TRUE,1,,,0,
165,ui_emblem_mobile_165,ui_emblem_mobile_165,&EMBLEMS/EMBLEM_165,standard,,TRUE,1,,,0,
166,ui_emblem_mobile_166,ui_emblem_mobile_166,&EMBLEMS/EMBLEM_166,standard,,TRUE,1,,,0,
167,ui_emblem_mobile_167,ui_emblem_mobile_167,&EMBLEMS/EMBLEM_167,standard,,TRUE,1,,,0,
168,ui_emblem_mobile_168,ui_emblem_mobile_168,&EMBLEMS/EMBLEM_168,standard,,TRUE,1,,,0,
169,ui_emblem_mobile_169,ui_emblem_mobile_169,&EMBLEMS/EMBLEM_169,standard,,TRUE,1,,,0,
170,ui_emblem_mobile_170,ui_emblem_mobile_170,&EMBLEMS/EMBLEM_170,standard,,TRUE,1,,,0,
171,ui_emblem_mobile_171,ui_emblem_mobile_171,&EMBLEMS/EMBLEM_171,standard,,TRUE,1,,,0,
172,ui_emblem_mobile_172,ui_emblem_mobile_172,&EMBLEMS/EMBLEM_172,standard,,TRUE,1,,,0,
173,ui_emblem_mobile_173,ui_emblem_mobile_173,&EMBLEMS/EMBLEM_173,standard,,TRUE,1,,,0,
174,ui_emblem_mobile_174,ui_emblem_mobile_174,&EMBLEMS/EMBLEM_174,standard,,TRUE,1,,,0,
175,ui_emblem_mobile_175,ui_emblem_mobile_175,&EMBLEMS/EMBLEM_175,standard,,TRUE,1,,,0,
176,ui_emblem_mobile_176,ui_emblem_mobile_176,&EMBLEMS/EMBLEM_176,standard,,TRUE,1,,,0,
177,ui_emblem_mobile_177,ui_emblem_mobile_177,&EMBLEMS/EMBLEM_177,standard,,TRUE,1,,,0,
178,ui_emblem_mobile_178,ui_emblem_mobile_178,&EMBLEMS/EMBLEM_178,standard,,TRUE,1,,,0,
179,ui_emblem_mobile_179,ui_emblem_mobile_179,&EMBLEMS/EMBLEM_179,standard,,TRUE,1,,,0,
180,ui_emblem_mobile_180,ui_emblem_mobile_180,&EMBLEMS/EMBLEM_180,standard,,TRUE,1,,,0,
181,ui_emblem_mobile_181,ui_emblem_mobile_181,&EMBLEMS/EMBLEM_181,standard,,TRUE,1,,,0,
182,ui_emblem_mobile_182,ui_emblem_mobile_182,&EMBLEMS/EMBLEM_182,standard,,TRUE,1,,,0,
183,ui_emblem_mobile_183,ui_emblem_mobile_183,&EMBLEMS/EMBLEM_183,standard,,TRUE,1,,,0,
184,ui_emblem_mobile_184,ui_emblem_mobile_184,&EMBLEMS/EMBLEM_184,standard,,TRUE,1,,,0,
185,ui_emblem_mobile_185,ui_emblem_mobile_185,&EMBLEMS/EMBLEM_185,standard,,TRUE,1,,,0,
186,ui_emblem_mobile_186,ui_emblem_mobile_186,&EMBLEMS/EMBLEM_186,standard,,TRUE,1,,,0,
187,ui_emblem_mobile_187,ui_emblem_mobile_187,&EMBLEMS/EMBLEM_187,standard,,TRUE,1,,,0,
188,ui_emblem_mobile_188,ui_emblem_mobile_188,&EMBLEMS/EMBLEM_188,standard,,TRUE,1,,,0,
189,ui_emblem_mobile_189,ui_emblem_mobile_189,&EMBLEMS/EMBLEM_189,standard,,TRUE,1,,,0,
190,ui_emblem_mobile_190,ui_emblem_mobile_190,&EMBLEMS/EMBLEM_190,standard,,TRUE,1,,,0,
191,ui_emblem_mobile_191,ui_emblem_mobile_191,&EMBLEMS/EMBLEM_191,standard,,TRUE,1,,,0,
192,ui_emblem_mobile_192,ui_emblem_mobile_192,&EMBLEMS/EMBLEM_192,standard,,TRUE,1,,,0,
193,ui_emblem_mobile_193,ui_emblem_mobile_193,&EMBLEMS/EMBLEM_193,standard,,TRUE,1,,,0,
194,ui_emblem_mobile_194,ui_emblem_mobile_194,&EMBLEMS/EMBLEM_194,standard,,TRUE,1,,,0,
195,ui_emblem_mobile_195,ui_emblem_mobile_195,&EMBLEMS/EMBLEM_195,standard,,TRUE,1,,,0,
196,ui_emblem_mobile_196,ui_emblem_mobile_196,&EMBLEMS/EMBLEM_196,standard,,TRUE,1,,,0,
197,ui_emblem_mobile_197,ui_emblem_mobile_197,&EMBLEMS/EMBLEM_197,standard,,TRUE,1,,,0,
198,ui_emblem_mobile_198,ui_emblem_mobile_198,&EMBLEMS/EMBLEM_198,standard,,TRUE,1,,,0,
199,ui_emblem_mobile_199,ui_emblem_mobile_199,&EMBLEMS/EMBLEM_199,standard,,TRUE,1,,,0,
200,ui_emblem_mobile_200,ui_emblem_mobile_200,&EMBLEMS/EMBLEM_200,standard,,TRUE,1,,,0,
201,ui_emblem_mobile_201,ui_emblem_mobile_201,&EMBLEMS/EMBLEM_201,standard,,TRUE,1,,,0,
202,ui_emblem_mobile_202,ui_emblem_mobile_202,&EMBLEMS/EMBLEM_202,standard,,TRUE,1,,,0,
203,ui_emblem_mobile_203,ui_emblem_mobile_203,&EMBLEMS/EMBLEM_203,standard,,TRUE,1,,,0,
204,ui_emblem_mobile_204,ui_emblem_mobile_204,&EMBLEMS/EMBLEM_204,standard,,TRUE,1,,,0,
205,ui_emblem_mobile_205,ui_emblem_mobile_205,&EMBLEMS/EMBLEM_205,standard,,TRUE,1,,,0,
206,ui_emblem_mobile_206,ui_emblem_mobile_206,&EMBLEMS/EMBLEM_206,standard,,TRUE,1,,,0,
207,ui_emblem_mobile_207,ui_emblem_mobile_207,&EMBLEMS/EMBLEM_207,standard,,TRUE,1,,,0,
208,ui_emblem_mobile_208,ui_emblem_mobile_208,&EMBLEMS/EMBLEM_208,standard,,TRUE,1,,,0,
209,ui_emblem_mobile_209,ui_emblem_mobile_209,&EMBLEMS/EMBLEM_209,standard,,TRUE,1,,,0,
210,ui_emblem_mobile_210,ui_emblem_mobile_210,&EMBLEMS/EMBLEM_210,standard,,TRUE,1,,,0,
211,ui_emblem_mobile_211,ui_emblem_mobile_211,&EMBLEMS/EMBLEM_211,standard,,TRUE,1,,,0,
212,ui_emblem_mobile_212,ui_emblem_mobile_212,&EMBLEMS/EMBLEM_212,standard,,TRUE,1,,,0,
213,ui_emblem_mobile_213,ui_emblem_mobile_213,&EMBLEMS/EMBLEM_213,standard,,TRUE,1,,,0,
214,ui_emblem_mobile_214,ui_emblem_mobile_214,&EMBLEMS/EMBLEM_214,standard,,TRUE,1,,,0,
215,ui_emblem_mobile_215,ui_emblem_mobile_215,&EMBLEMS/EMBLEM_215,standard,,TRUE,1,,,0,
216,ui_emblem_mobile_216,ui_emblem_mobile_216,&EMBLEMS/EMBLEM_216,standard,,TRUE,1,,,0,
217,ui_emblem_mobile_217,ui_emblem_mobile_217,&EMBLEMS/EMBLEM_217,standard,,TRUE,1,,,0,
218,ui_emblem_mobile_218,ui_emblem_mobile_218,&EMBLEMS/EMBLEM_218,standard,,TRUE,1,,,0,
219,ui_emblem_mobile_219,ui_emblem_mobile_219,&EMBLEMS/EMBLEM_219,standard,,TRUE,1,,,0,
220,ui_emblem_mobile_220,ui_emblem_mobile_220,&EMBLEMS/EMBLEM_220,standard,,TRUE,1,,,0,
221,ui_emblem_mobile_221,ui_emblem_mobile_221,&EMBLEMS/EMBLEM_221,standard,,TRUE,1,,,0,
222,ui_emblem_mobile_222,ui_emblem_mobile_222,&EMBLEMS/EMBLEM_222,standard,,TRUE,1,,,0,
223,ui_emblem_mobile_223,ui_emblem_mobile_223,&EMBLEMS/EMBLEM_223,standard,,TRUE,1,,,0,
224,ui_emblem_mobile_224,ui_emblem_mobile_224,&EMBLEMS/EMBLEM_224,standard,,TRUE,1,,,0,
225,ui_emblem_mobile_225,ui_emblem_mobile_225,&EMBLEMS/EMBLEM_225,standard,,TRUE,1,,,0,
