string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,string,string
11881,iw9_br_msecho,0,0,0,0,iw9_br_msecho_v3,,,,,,,,,,,,,,0,5,0
11305,iw9_ar_akilo,0,0,0,0,iw9_ar_akilo_variant_0,,,,,,,,,,,,,,0,0,0
11880,iw9_ar_akilo,0,0,0,0,iw9_ar_akilo_v4,,,,,,,,,,,,,,0,1,0
11837,iw9_ar_akilo,0,0,0,0,iw9_ar_akilo_v2,,,,,,,,,,,,,,0,2,0
11830,iw9_ar_akilo,0,0,0,0,iw9_ar_akilo_v7,,,,,,,,,,,,,,0,3,0
11816,iw9_ar_akilo,0,0,0,0,iw9_ar_akilo_v3,,,,,,,,,,,,,,0,4,0
11327,iw9_ar_akilo74,0,0,0,0,iw9_ar_akilo74_variant_0,,,,,,,,,,,,,,0,0,0
11989,iw9_ar_akilo74,0,0,0,0,iw9_ar_akilo74_v1,,,,,,,,,,,,,,0,1,0
11323,iw9_ar_akilo105,0,0,0,0,iw9_ar_akilo105_variant_0,,,,,,,,,,,,,,0,0,0
11863,iw9_ar_akilo105,0,0,0,0,iw9_ar_akilo105_v2,,,,,,,,,,,,,,0,1,0
11346,iw9_ar_mcharlie,0,0,0,0,iw9_ar_mcharlie_variant_0,,,,,,,,,,,,,,0,0,0
11842,iw9_ar_mcharlie,0,0,0,0,iw9_ar_mcharlie_v1,,,,,,,,,,,,,,0,1,0
11850,iw9_ar_mcharlie,0,0,0,0,iw9_ar_mcharlie_v3,,,,,,,,,,,,,,0,2,0
11302,iw9_ar_scharlie,0,0,0,0,iw9_ar_scharlie_variant_0,,,,,,,,,,,,,,0,0,0
11877,iw9_ar_scharlie,0,0,0,0,iw9_ar_scharlie_v5,,,,,,,,,,,,,,0,1,0
11872,iw9_ar_scharlie,0,0,0,0,iw9_ar_scharlie_v7,,,,,,,,,,,,,,0,2,0
11996,iw9_ar_scharlie,0,0,0,0,iw9_ar_scharlie_v1,,,,,,,,,,,,,,0,3,0
11351,iw9_la_rpapa7,0,0,0,0,iw9_la_rpapa7_variant_0,,,,,,,,,,,,,,0,0,0
11344,iw9_la_gromeo,0,0,0,0,iw9_la_gromeo_variant_0,,,,,,,,,,,,,,0,0,0
11337,iw9_la_juliet,0,0,0,0,iw9_la_juliet_variant_0,,,,,,,,,,,,,,0,0,0
11326,iw9_la_kgolf,0,0,0,0,iw9_la_kgolf_variant_0,,,,,,,,,,,,,,0,0,0
11333,iw9_la_mike32,0,0,0,0,iw9_la_mike32_variant_0,,,,,,,,,,,,,,0,0,0
11349,iw9_dm_pgolf1,0,0,0,0,iw9_dm_pgolf1_variant_0,,,,,,,,,,,,,,0,0,0
12002,iw9_dm_pgolf1,0,0,0,0,iw9_dm_pgolf1_v1,,,,,,,,,,,,,,0,1,0
11330,iw9_dm_mike24,0,0,0,0,iw9_dm_mike24_variant_0,,,,,,,,,,,,,,0,0,0
11835,iw9_dm_mike24,0,0,0,0,iw9_dm_mike24_v3,,,,,,,,,,,,,,0,1,0
11845,iw9_dm_mike24,0,0,0,0,iw9_dm_mike24_v4,,,,,,,,,,,,,,0,2,0
11350,iw9_dm_mike14,0,0,0,0,iw9_dm_mike14_variant_0,,,,,,,,,,,,,,0,0,0
11864,iw9_dm_mike14,0,0,0,0,iw9_dm_mike14_v1,,,,,,,,,,,,,,0,1,0
11865,iw9_dm_mike14,0,0,0,0,iw9_dm_mike14_v2,,,,,,,,,,,,,,0,2,0
11316,iw9_dm_sa700,0,0,0,0,iw9_dm_sa700_variant_0,,,,,,,,,,,,,,0,0,0
11329,iw9_dm_sbeta,0,0,0,0,iw9_dm_sbeta_variant_0,,,,,,,,,,,,,,0,0,0
11999,iw9_dm_sbeta,0,0,0,0,iw9_dm_sbeta_v2,,,,,,,,,,,,,,0,1,0
11312,iw9_dm_scromeo,0,0,0,0,iw9_dm_scromeo_variant_0,,,,,,,,,,,,,,0,0,0
12013,iw9_dm_scromeo,0,0,0,0,iw9_dm_scromeo_v2,,,,,,,,,,,,,,0,1,0
11348,iw9_dm_la700,0,0,0,0,iw9_dm_la700_variant_0,,,,,,,,,,,,,,0,0,0
11818,iw9_dm_la700,0,0,0,0,iw9_dm_la700_v2,,,,,,,,,,,,,,0,1,0
11340,iw9_dm_xmike2010,0,0,0,0,iw9_dm_xmike2010_variant_0,,,,,,,,,,,,,,0,0,0
11811,iw9_dm_xmike2010,0,0,0,0,iw9_dm_xmike2010_v1,,,,,,,,,,,,,,0,1,0
11317,iw9_sn_mromeo,0,0,0,0,iw9_sn_mromeo_variant_0,,,,,,,,,,,,,,0,0,0
11883,iw9_sn_mromeo,0,0,0,0,iw9_sn_mromeo_v1,,,,,,,,,,,,,,0,1,0
11805,iw9_sn_mromeo,0,0,0,0,iw9_sn_mromeo_v2,,,,,,,,,,,,,,0,2,0
11798,iw9_sn_mromeo,0,0,0,0,iw9_sn_mromeo_v7,,,,,,,,,,,,,,0,3,0
11807,iw9_sn_mromeo,0,0,0,0,iw9_sn_mromeo_v4,,,,,,,,,,,,,,0,4,0
11359,iw9_sn_alpha50,0,0,0,0,iw9_sn_alpha50_variant_0,,,,,,,,,,,,,,0,0,0
11815,iw9_sn_alpha50,0,0,0,0,iw9_sn_alpha50_v2,,,,,,,,,,,,,,0,1,0
12014,iw9_sn_alpha50,0,0,0,0,iw9_sn_alpha50_v7,,,,,,,,,,,,,,0,2,0
12015,iw9_sn_alpha50,0,0,0,0,iw9_sn_alpha50_v3,,,,,,,,,,,,,,0,3,0
11358,iw9_sn_limax,0,0,0,0,iw9_sn_limax_variant_0,,,,,,,,,,,,,,0,0,0
12008,iw9_sn_limax,0,0,0,0,iw9_sn_limax_v6,,,,,,,,,,,,,,0,1,0
11313,iw9_sh_charlie725,0,0,0,0,iw9_sh_charlie725_variant_0,,,,,,,,,,,,,,0,0,0
11884,iw9_sh_charlie725,0,0,0,0,iw9_sh_charlie725_v2,,,,,,,,,,,,,,0,1,0
11873,iw9_sh_charlie725,0,0,0,0,iw9_sh_charlie725_v1,,,,,,,,,,,,,,0,2,0
11356,iw9_sh_mbravo,0,0,0,0,iw9_sh_mbravo_variant_0,,,,,,,,,,,,,,0,0,0
11826,iw9_sh_mbravo,0,0,0,0,iw9_sh_mbravo_v3,,,,,,,,,,,,,,0,1,0
11328,iw9_sh_mviktor,0,0,0,0,iw9_sh_mviktor_variant_0,,,,,,,,,,,,,,0,0,0
11846,iw9_sh_mviktor,0,0,0,0,iw9_sh_mviktor_v1,,,,,,,,,,,,,,0,2,0
11841,iw9_sh_mviktor,0,0,0,0,iw9_sh_mviktor_v4,,,,,,,,,,,,,,0,3,0
11366,iw9_sh_mike1014,0,0,0,0,iw9_sh_mike1014_variant_0,,,,,,,,,,,,,,0,0,0
11887,iw9_sh_mike1014,0,0,0,0,iw9_sh_mike1014_v2,,,,,,,,,,,,,,0,1,0
11986,iw9_sh_mike1014,0,0,0,0,iw9_sh_mike1014_v7,,,,,,,,,,,,,,0,2,0
12007,iw9_sh_mike1014,0,0,0,0,iw9_sh_mike1014_v3,,,,,,,,,,,,,,0,3,0
11314,iw9_lm_slima,0,0,0,0,iw9_lm_slima_variant_0,,,,,,,,,,,,,,0,0,0
11840,iw9_lm_slima,0,0,0,0,iw9_lm_slima_v1,,,,,,,,,,,,,,0,1,0
11985,iw9_lm_slima,0,0,0,0,iw9_lm_slima_v2,,,,,,,,,,,,,,0,2,0
11318,iw9_lm_ahotel,0,0,0,0,iw9_lm_ahotel_variant_0,,,,,,,,,,,,,,0,0,0
12012,iw9_lm_ahotel,0,0,0,0,iw9_lm_ahotel_v4,,,,,,,,,,,,,,0,1,0
11331,iw9_lm_foxtrot,0,0,0,0,iw9_lm_foxtrot_variant_0,,,,,,,,,,,,,,0,0,0
11803,iw9_lm_foxtrot,0,0,0,0,iw9_lm_foxtrot_agg,,,,,,,,,,,,,,0,1,0
11828,iw9_lm_foxtrot,0,0,0,0,iw9_lm_foxtrot_def,,,,,,,,,,,,,,0,2,0
11848,iw9_lm_foxtrot,0,0,0,0,iw9_lm_foxtrot_tac,,,,,,,,,,,,,,0,3,0
11868,iw9_lm_foxtrot,0,0,0,0,iw9_lm_foxtrot_v90,,,,,,,,,,,,,,0,4,0
11360,iw9_lm_rkilo,0,0,0,0,iw9_lm_rkilo_variant_0,,,,,,,,,,,,,,0,0,0
11838,iw9_lm_rkilo,0,0,0,0,iw9_lm_rkilo_v1,,,,,,,,,,,,,,0,1,0
11342,iw9_lm_kilo21,0,0,0,0,iw9_lm_kilo21_variant_0,,,,,,,,,,,,,,0,0,0
11303,iw9_lm_ngolf7,0,0,0,0,iw9_lm_ngolf7_variant_0,,,,,,,,,,,,,,0,0,0
11363,iw8_lm_dblmg,0,0,0,0,iw8_lm_dblmg_variant_0,,,,,,,,,,,,,,0,0,0
11347,iw9_lm_dblmg,0,0,0,0,iw9_lm_dblmg_variant_0,,,,,,,,,,,,,,0,0,0
