string,string,string,localized,localized,string,string,string,int
firstpartylicence,25,1,&LOOT_MP/PLACEHOLDER,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,0
tracker,99,1,&LOOT_MP/PLACEHOLDER,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,0
bundle,28,0,&LOOT_MP/PLACEHOLDER,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
role,18,0,&LOOT_MP/FIELD_UPGRADE,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
battlepass,29,0,&LOOT_MP/BATTLE_PASS,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
vehicle_horn,32,0,&LOOT_MP/VEHICLE_HORN,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
vehicle_camo,31,0,&LOOT_MP/VEHICLE_SKIN,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
mission,33,0,&LOOT_MP/MISSION,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
vehicle_track,34,0,&LOOT_MP/VEHICLE_TRACK,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
iw8_pi_golf21_attachment,100,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_golf21,0
iw8_pi_papa320_attachment,101,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_papa320,0
iw8_pi_decho_attachment,102,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_decho,0
iw8_pi_mike1911_attachment,103,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_mike1911,0
iw8_pi_cpapa_attachment,104,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_cpapa,0
iw8_sm_mpapa5_attachment,105,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_mpapa5,0
iw8_sm_beta_attachment,106,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_beta,0
iw8_sm_augolf_attachment,107,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_augolf,0
iw8_sm_papa90_attachment,108,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_papa90,0
iw8_sm_mpapa7_attachment,109,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_mpapa7,0
iw8_sm_uzulu_attachment,110,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_uzulu,0
iw8_me_riotshield_attachment,111,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_me_riotshield,0
iw8_knife_attachment,112,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_knife,0
iw8_ar_mike4_attachment,113,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_mike4,0
iw8_ar_akilo47_attachment,114,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_akilo47,0
iw8_ar_asierra12_attachment,115,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_asierra12,0
iw8_ar_falpha_attachment,116,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_falpha,0
iw8_ar_mcharlie_attachment,117,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_mcharlie,0
iw8_ar_kilo433_attachment,118,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_kilo433,0
iw8_ar_falima_attachment,119,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_falima,0
iw8_ar_scharlie_attachment,120,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_scharlie,0
iw8_la_rpapa7_attachment,121,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_rpapa7,0
iw8_la_gromeo_attachment,122,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_gromeo,0
iw8_la_juliet_attachment,123,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_juliet,0
iw8_la_kgolf_attachment,124,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_kgolf,0
iw8_sn_mike14_attachment,125,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_mike14,0
iw8_sn_kilo98_attachment,126,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_kilo98,0
iw8_sn_sbeta_attachment,127,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_sbeta,0
iw8_sn_alpha50_attachment,128,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_alpha50,0
iw8_sn_delta_attachment,129,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_delta,0
iw8_sn_hdromeo_attachment,130,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_hdromeo,0
iw8_sn_crossbow_attachment,131,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_crossbow,0
iw8_sh_dpapa12_attachment,132,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_dpapa12,0
iw8_sh_oscar12_attachment,133,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_oscar12,0
iw8_sh_charlie725_attachment,134,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_charlie725,0
iw8_sh_romeo870_attachment,135,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_romeo870,0
iw8_lm_kilo121_attachment,136,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_kilo121,0
iw8_lm_pkilo_attachment,137,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_pkilo,0
iw8_lm_lima86_attachment,138,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_lima86,0
iw8_lm_mgolf34_attachment,139,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_mgolf34,0
iw8_ar_tango21_attachment,140,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_tango21,0
iw8_lm_mgolf36_attachment,141,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_mgolf36,0
iw8_sm_charlie9_attachment,142,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_charlie9,0
iw8_sm_smgolf45_attachment,143,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_smgolf45,0
iw8_sh_mike26_attachment,144,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_mike26,0
iw8_ar_sierra552_attachment,145,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_sierra552,0
iw8_pi_mike9_attachment,146,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_mike9,0
iw8_sn_sksierra_attachment,147,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_sksierra,0
iw8_lm_mkilo3_attachment,148,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_mkilo3,0
iw8_ar_galima_attachment,149,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_galima,0
iw8_sm_victor_attachment,150,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_victor,0
iw8_me_akimboblades_attachment,151,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_me_akimboblades,0
iw8_me_akimboblunt_attachment,152,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_me_akimboblunt,0
iw8_ar_anovember94_attachment,153,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_anovember94,0
iw8_sn_xmike109_attachment,154,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_xmike109,0
iw8_lm_sierrax_attachment,155,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_sierrax,0
iw8_sn_romeo700_attachment,156,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_romeo700,0
iw8_ar_valpha_attachment,157,0,&LOOT_MP/ATTACHMENT,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_valpha,0
iw8_pi_golf21_camos,158,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_golf21,0
iw8_pi_papa320_camos,159,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_papa320,0
iw8_pi_decho_camos,160,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_decho,0
iw8_pi_mike1911_camos,161,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_mike1911,0
iw8_pi_cpapa_camos,162,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_pi_cpapa,0
iw8_sm_mpapa5_camos,163,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_mpapa5,0
iw8_sm_beta_camos,164,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_beta,0
iw8_sm_augolf_camos,165,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_augolf,0
iw8_sm_papa90_camos,166,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_papa90,0
iw8_sm_mpapa7_camos,167,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_mpapa7,0
iw8_sm_uzulu_camos,168,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_uzulu,0
iw8_me_riotshield_camos,169,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_me_riotshield,0
iw8_knife_camos,170,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_knife,0
iw8_ar_mike4_camos,171,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_mike4,0
iw8_ar_akilo47_camos,172,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_akilo47,0
iw8_ar_asierra12_camos,173,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_asierra12,0
iw8_ar_falpha_camos,174,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_falpha,0
iw8_ar_mcharlie_camos,175,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_mcharlie,0
iw8_ar_kilo433_camos,176,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_kilo433,0
iw8_ar_falima_camos,177,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_falima,0
iw8_ar_scharlie_camos,178,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_scharlie,0
iw8_la_rpapa7_camos,179,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_rpapa7,0
iw8_la_gromeo_camos,180,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_gromeo,0
iw8_la_juliet_camos,181,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_juliet,0
iw8_la_kgolf_camos,182,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_la_kgolf,0
iw8_sn_mike14_camos,183,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_mike14,0
iw8_sn_kilo98_camos,184,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_kilo98,0
iw8_sn_sbeta_camos,185,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_sbeta,0
iw8_sn_alpha50_camos,186,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_alpha50,0
iw8_sn_delta_camos,187,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_delta,0
iw8_sn_hdromeo_camos,188,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_hdromeo,0
iw8_sn_crossbow_camos,189,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sn_crossbow,0
iw8_sh_dpapa12_camos,190,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_dpapa12,0
iw8_sh_oscar12_camos,191,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_oscar12,0
iw8_sh_charlie725_camos,192,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_charlie725,0
iw8_sh_romeo870_camos,193,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_romeo870,0
iw8_lm_kilo121_camos,194,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_kilo121,0
iw8_lm_pkilo_camos,195,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_pkilo,0
iw8_lm_lima86_camos,196,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_lima86,0
iw8_lm_mgolf34_camos,197,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_mgolf34,0
iw8_ar_tango21_camos,198,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_tango21,0
iw8_lm_mgolf36_camos,199,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_lm_mgolf36,0
iw8_sm_charlie9_camos,200,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_sm_charlie9,0
iw8_sm_smgolf45_camos,201,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sm_smgolf45,0
iw8_sh_mike26_camos,202,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_sh_mike26,0
iw8_ar_sierra552_camos,203,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_ar_sierra552,0
iw8_pi_mike9_camos,204,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_pi_mike9,0
iw8_sn_sksierra_camos,205,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_sn_sksierra,0
iw8_lm_mkilo3_camos,206,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_lm_mkilo3,0
iw8_ar_galima_camos,207,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_ar_galima,0
iw8_sm_victor_camos,208,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_sm_victor,0
iw8_me_akimboblades_camos,209,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_me_akimboblades,0
iw8_me_akimboblunt_camos,210,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw8_me_akimboblunt,0
iw8_ar_anovember94_camos,211,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_ar_anovember94,0
iw8_sn_xmike109_camos,212,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_sn_xmike109,0
iw8_lm_sierrax_camos,213,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_lm_sierrax,0
iw8_sn_romeo700_camos,214,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_sn_romeo700,0
iw8_ar_valpha_camos,215,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_ar_valpha,0
iw8_sh_aalpha12_camos,216,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,2,iw8_sh_aalpha12,0
iw9_ar_golf3_camos,217,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_ar_golf3,0
iw9_ar_kilo53_camos,218,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_ar_kilo53,0
iw9_sm_mpapa5_camos,219,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sm_mpapa5,0
iw9_sm_mpapa7_camos,220,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sm_mpapa7,0
iw9_sn_alpha50_camos,221,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sn_alpha50,0
iw9_pi_decho_camos,222,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_pi_decho,0
iw9_pi_papa220_camos,223,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_pi_papa220,0
iw9_lm_kilo21_camos,224,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_lm_kilo21,0
iw9_sh_mbravo_camos,225,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sh_mbravo,0
iw9_lm_slima_camos,226,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_lm_slima,0
iw9_dm_mike24_camos,227,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_dm_mike24,0
iw9_dm_pgolf1_camos,228,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_dm_pgolf1,0
iw9_ar_mike4_camos,229,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_ar_mike4,0
iw9_ar_akilo_camos,230,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_ar_akilo,0
iw9_pi_golf17_camos,231,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_pi_golf17,0
iw9_pi_stimpistol_camos,232,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_pi_stimpistol,0
iw9_sn_mromeo_camos,233,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sn_mromeo,0
iw9_me_knife_camos,234,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_me_knife,0
iw9_lm_mkilo3_camos,236,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_lm_mkilo3,0
iw9_ar_schotel_camos,237,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_ar_schotel,0
iw9_la_rpapa7_camos,238,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_la_rpapa7,0
iw9_sn_limax_camos,239,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sn_limax,0
iw9_sh_charlie725_camos,240,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_sh_charlie725,0
iw9_dm_xmike2010_camos,241,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_dm_xmike2010,0
iw9_dm_sa700_camos,242,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_dm_sa700,0
iw9_dm_la700_camos,243,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_dm_la700,0
iw9_pi_golf18_camos,244,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_pi_golf18,0
iw9_dm_sbeta_camos,245,0,&LOOT_MP/CAMO,&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,iw9_dm_sbeta,0
