string,string,string,string,string,string,string,string,string,string,string,string
36,obs_intel_usb_02,,CP_INTEL/BILLET_NAME_ALICE,CP_INTEL/BILLET_HEADER3_ALICE,CP_INTEL/BILLET_HEADER1_DONOTCOPY,billet,0,,,,1
37,obs_intel_usb_03,,CP_INTEL/BILLET_NAME_CHARLY,CP_INTEL/BILLET_HEADER3_CHARLEY,CP_INTEL/BILLET_HEADER1_DONOTCOPY,images,1,,,,1
38,obs_intel_usb_04,,CP_INTEL/BILLET_NAME_DOMINO,CP_INTEL/BILLET_HEADER3_DOMINO,CP_INTEL/BILLET_HEADER1_DONOTCOPY,missing,2,,,,1
39,obs_intel_usb_05,,CP_INTEL/BILLET_NAME_GOLEM,CP_INTEL/BILLET_HEADER3_GOLEM,CP_INTEL/BILLET_HEADER1_DONOTCOPY,notes,3,,,,1
40,test_01,,CP_INTEL/BILLET_NAME_RAINES,CP_INTEL/BILLET_HEADER3_RAINES,CP_INTEL/BILLET_HEADER1_DONOTCOPY,reports,4,,,,1
41,test_02,,CP_INTEL/BILLET_NAME_THORNE,CP_INTEL/BILLET_HEADER3_THORNE,CP_INTEL/BILLET_HEADER1_DONOTCOPY,sms,5,,,,1
42,test_03,,CP_INTEL/BILLET_NAME_WYATT,CP_INTEL/BILLET_HEADER3_WYATT,CP_INTEL/BILLET_HEADER1_DONOTCOPY,billet,0,,,,0
43,test_04,,CP_INTEL/BILLET_NAME_AZUR,CP_INTEL/BILLET_HEADER3_AZUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,images,1,,,,0
44,test_05,,CP_INTEL/BILLET_NAME_BALE,CP_INTEL/BILLET_HEADER3_BALE,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,missing,2,,,,0
45,test_06,,CP_INTEL/BILLET_NAME_GRINCH,CP_INTEL/BILLET_HEADER3_GRINCH,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,notes,3,,,,0
46,test_07,,CP_INTEL/BILLET_NAME_KRUEGER,CP_INTEL/BILLET_HEADER3_KRUEGER,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,reports,4,,,,0
47,test_08,,CP_INTEL/BILLET_NAME_MINOTAUR,CP_INTEL/BILLET_HEADER3_MINOTAUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,sms,5,,,,0
48,test_09,,CP_INTEL/BILLET_NAME_RODION,CP_INTEL/BILLET_HEADER3_RODION,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,billet,0,,,,1
49,test_10,,CP_INTEL/BILLET_NAME_SYD,CP_INTEL/BILLET_HEADER3_SYD,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,images,1,,,,1
50,r1_01,,CP_INTEL/BILLET_NAME_YEGOR,CP_INTEL/BILLET_HEADER3_YEGOR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,missing,2,,,,1
51,r1_02,,CP_INTEL/BILLET_NAME_ZANE,CP_INTEL/BILLET_HEADER3_ZANE,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,notes,3,,,,1
52,r1_03,,CP_INTEL/BILLET_NAME_OTTER,CP_INTEL/BILLET_HEADER3_OTTER,CP_INTEL/BILLET_HEADER1_DONOTCOPY,reports,4,,,,1
53,r1_04,,CP_INTEL/BILLET_NAME_DDAY,CP_INTEL/BILLET_HEADER3_DDAY,CP_INTEL/BILLET_HEADER1_DONOTCOPY,sms,5,,,,1
54,r1_05,,CP_INTEL/BILLET_NAME_ALICE,CP_INTEL/BILLET_HEADER3_ALICE,CP_INTEL/BILLET_HEADER1_DONOTCOPY,billet,0,,,,0
55,r1_06,,CP_INTEL/BILLET_NAME_CHARLY,CP_INTEL/BILLET_HEADER3_CHARLEY,CP_INTEL/BILLET_HEADER1_DONOTCOPY,images,1,,,,0
56,r1_07,,CP_INTEL/BILLET_NAME_DOMINO,CP_INTEL/BILLET_HEADER3_DOMINO,CP_INTEL/BILLET_HEADER1_DONOTCOPY,missing,2,,,,0
57,r1_08,,CP_INTEL/BILLET_NAME_GOLEM,CP_INTEL/BILLET_HEADER3_GOLEM,CP_INTEL/BILLET_HEADER1_DONOTCOPY,notes,3,,,,0
58,r1_09,,CP_INTEL/BILLET_NAME_RAINES,CP_INTEL/BILLET_HEADER3_RAINES,CP_INTEL/BILLET_HEADER1_DONOTCOPY,reports,4,,,,0
59,r1_10,,CP_INTEL/BILLET_NAME_THORNE,CP_INTEL/BILLET_HEADER3_THORNE,CP_INTEL/BILLET_HEADER1_DONOTCOPY,sms,5,,,,0
60,r1_11,,,,,,,,,,
61,r1_12,,,,,,,,,,
62,r1_13,,,,,,,,,,
63,r1_14,,,,,,,,,,
64,r1_15,,,,,,,,,,
65,r1_16,,,,,,,,,,
66,r1_17,,,,,,,,,,
67,r1_18,,,,,,,,,,
68,r1_19,,,,,,,,,,
69,r1_20,,,,,,,,,,
70,r2_01,,CP_INTEL/BILLET_NAME_WYATT,CP_INTEL/BILLET_HEADER3_WYATT,CP_INTEL/BILLET_HEADER1_DONOTCOPY,billet,0,,,,1
71,r2_02,,CP_INTEL/BILLET_NAME_AZUR,CP_INTEL/BILLET_HEADER3_AZUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,images,1,,,,1
72,r2_03,,CP_INTEL/BILLET_NAME_BALE,CP_INTEL/BILLET_HEADER3_BALE,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,missing,2,,,,1
73,r2_04,,CP_INTEL/BILLET_NAME_GRINCH,CP_INTEL/BILLET_HEADER3_GRINCH,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,notes,3,,,,1
74,r2_05,,CP_INTEL/BILLET_NAME_KRUEGER,CP_INTEL/BILLET_HEADER3_KRUEGER,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,reports,4,,,,1
75,r2_06,,CP_INTEL/BILLET_NAME_MINOTAUR,CP_INTEL/BILLET_HEADER3_MINOTAUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,sms,5,,,,1
76,r2_07,,CP_INTEL/BILLET_NAME_RODION,CP_INTEL/BILLET_HEADER3_RODION,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,billet,0,,,,0
77,r2_08,,CP_INTEL/BILLET_NAME_SYD,CP_INTEL/BILLET_HEADER3_SYD,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,images,1,,,,0
78,r2_09,,CP_INTEL/BILLET_NAME_YEGOR,CP_INTEL/BILLET_HEADER3_YEGOR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,missing,2,,,,0
79,r2_10,,CP_INTEL/BILLET_NAME_ZANE,CP_INTEL/BILLET_HEADER3_ZANE,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,notes,3,,,,0
80,r3_01,,CP_INTEL/BILLET_NAME_OTTER,CP_INTEL/BILLET_HEADER3_OTTER,CP_INTEL/BILLET_HEADER1_DONOTCOPY,reports,4,,,,0
81,r3_02,,CP_INTEL/BILLET_NAME_DDAY,CP_INTEL/BILLET_HEADER3_DDAY,CP_INTEL/BILLET_HEADER1_DONOTCOPY,sms,5,,,,0
82,r3_03,,CP_INTEL/BILLET_NAME_ALICE,CP_INTEL/BILLET_HEADER3_ALICE,CP_INTEL/BILLET_HEADER1_DONOTCOPY,billet,0,,,,1
83,r3_04,,CP_INTEL/BILLET_NAME_CHARLY,CP_INTEL/BILLET_HEADER3_CHARLEY,CP_INTEL/BILLET_HEADER1_DONOTCOPY,images,1,,,,1
84,r3_05,,CP_INTEL/BILLET_NAME_DOMINO,CP_INTEL/BILLET_HEADER3_DOMINO,CP_INTEL/BILLET_HEADER1_DONOTCOPY,missing,2,,,,1
85,r3_06,,CP_INTEL/BILLET_NAME_GOLEM,CP_INTEL/BILLET_HEADER3_GOLEM,CP_INTEL/BILLET_HEADER1_DONOTCOPY,notes,3,,,,1
86,r3_07,,CP_INTEL/BILLET_NAME_RAINES,CP_INTEL/BILLET_HEADER3_RAINES,CP_INTEL/BILLET_HEADER1_DONOTCOPY,reports,4,,,,1
87,r3_08,,CP_INTEL/BILLET_NAME_THORNE,CP_INTEL/BILLET_HEADER3_THORNE,CP_INTEL/BILLET_HEADER1_DONOTCOPY,sms,5,,,,1
88,r3_09,,CP_INTEL/BILLET_NAME_WYATT,CP_INTEL/BILLET_HEADER3_WYATT,CP_INTEL/BILLET_HEADER1_DONOTCOPY,billet,0,,,,0
89,r3_10,,CP_INTEL/BILLET_NAME_AZUR,CP_INTEL/BILLET_HEADER3_AZUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,images,1,,,,0
90,bs_11,,CP_INTEL/BILLET_NAME_DOMINO,CP_INTEL/BILLET_HEADER3_DOMINO,CP_INTEL/BILLET_HEADER1_DONOTCOPY,missing,2,,,,0
91,bs_12,,CP_INTEL/BILLET_NAME_GOLEM,CP_INTEL/BILLET_HEADER3_GOLEM,CP_INTEL/BILLET_HEADER1_DONOTCOPY,notes,3,,,,0
92,bs_13,,CP_INTEL/BILLET_NAME_RAINES,CP_INTEL/BILLET_HEADER3_RAINES,CP_INTEL/BILLET_HEADER1_DONOTCOPY,reports,4,,,,0
93,bs_14,,CP_INTEL/BILLET_NAME_THORNE,CP_INTEL/BILLET_HEADER3_THORNE,CP_INTEL/BILLET_HEADER1_DONOTCOPY,sms,5,,,,0
94,bs_15,,CP_INTEL/BILLET_NAME_WYATT,CP_INTEL/BILLET_HEADER3_WYATT,CP_INTEL/BILLET_HEADER1_DONOTCOPY,billet,0,,,,1
95,bs_16,,CP_INTEL/BILLET_NAME_AZUR,CP_INTEL/BILLET_HEADER3_AZUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,images,1,,,,1
96,bs_17,,CP_INTEL/BILLET_NAME_BALE,CP_INTEL/BILLET_HEADER3_BALE,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,missing,2,,,,1
97,bs_18,,CP_INTEL/BILLET_NAME_GRINCH,CP_INTEL/BILLET_HEADER3_GRINCH,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,notes,3,,,,1
98,bs_19,,CP_INTEL/BILLET_NAME_KRUEGER,CP_INTEL/BILLET_HEADER3_KRUEGER,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,reports,4,,,,1
99,bs_20,,CP_INTEL/BILLET_NAME_MINOTAUR,CP_INTEL/BILLET_HEADER3_MINOTAUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,sms,5,,,,1
100,ve_11,,CP_INTEL/BILLET_NAME_DOMINO,CP_INTEL/BILLET_HEADER3_DOMINO,CP_INTEL/BILLET_HEADER1_DONOTCOPY,missing,2,,,,0
101,ve_12,,CP_INTEL/BILLET_NAME_GOLEM,CP_INTEL/BILLET_HEADER3_GOLEM,CP_INTEL/BILLET_HEADER1_DONOTCOPY,notes,3,,,,0
102,ve_13,,CP_INTEL/BILLET_NAME_RAINES,CP_INTEL/BILLET_HEADER3_RAINES,CP_INTEL/BILLET_HEADER1_DONOTCOPY,reports,4,,,,0
103,ve_14,,CP_INTEL/BILLET_NAME_THORNE,CP_INTEL/BILLET_HEADER3_THORNE,CP_INTEL/BILLET_HEADER1_DONOTCOPY,sms,5,,,,0
104,ve_15,,CP_INTEL/BILLET_NAME_WYATT,CP_INTEL/BILLET_HEADER3_WYATT,CP_INTEL/BILLET_HEADER1_DONOTCOPY,billet,0,,,,1
105,ve_16,,CP_INTEL/BILLET_NAME_AZUR,CP_INTEL/BILLET_HEADER3_AZUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,images,1,,,,1
106,ve_17,,CP_INTEL/BILLET_NAME_BALE,CP_INTEL/BILLET_HEADER3_BALE,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,missing,2,,,,1
107,ve_18,,CP_INTEL/BILLET_NAME_GRINCH,CP_INTEL/BILLET_HEADER3_GRINCH,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,notes,3,,,,1
108,ve_19,,CP_INTEL/BILLET_NAME_KRUEGER,CP_INTEL/BILLET_HEADER3_KRUEGER,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,reports,4,,,,1
109,ve_20,,CP_INTEL/BILLET_NAME_MINOTAUR,CP_INTEL/BILLET_HEADER3_MINOTAUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,sms,5,,,,1
